Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Grant Williams,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,16.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0
Grant Williams,2022-23,Postseason,Sat 5/27,@MIA,W104-103,22.0,0-4,0.0,0-3,0.0,1-2,50.0,3.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0
Grant Williams,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,27.0,1-4,25.0,1-4,25.0,3-4,75.0,4.0,0.0,1.0,0.0,3.0,0.0,6.0,1.0,4.0
Grant Williams,2022-23,Postseason,Tue 5/23,@MIA,W116-99,29.0,4-7,57.1,4-6,66.7,2-2,100.0,6.0,2.0,1.0,1.0,2.0,0.0,14.0,4.0,6.0
Grant Williams,2022-23,Postseason,Sun 5/21,@MIA,L128-102,29.0,5-7,71.4,2-3,66.7,0-0,0.0,3.0,2.0,0.0,0.0,3.0,1.0,12.0,2.0,3.0
Grant Williams,2022-23,Postseason,Fri 5/19,vsMIA,L111-105,26.0,4-6,66.7,1-2,50.0,0-0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,9.0,1.0,2.0
Grant Williams,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Williams,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,8.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Grant Williams,2022-23,Postseason,Sun 5/7,@PHI,L116-115 OT,12.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0
Grant Williams,2022-23,Postseason,Fri 5/5,@PHI,W114-102,23.0,0-3,0.0,0-3,0.0,0-0,0.0,4.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0
Grant Williams,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,29.0,4-8,50.0,4-8,50.0,0-0,0.0,4.0,4.0,0.0,1.0,2.0,0.0,12.0,4.0,8.0
Grant Williams,2022-23,Postseason,Mon 5/1,vsPHI,L119-115,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Williams,2022-23,Postseason,Thu 4/27,@ATL,W128-120,17.0,1-4,25.0,1-2,50.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0
Grant Williams,2022-23,Postseason,Sun 4/23,@ATL,W129-121,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grant Williams,2022-23,Postseason,Fri 4/21,@ATL,L130-122,18.0,4-4,100.0,4-4,100.0,2-2,100.0,2.0,2.0,0.0,1.0,2.0,0.0,14.0,4.0,4.0
