Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Grayson Allen,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,26.0,2-7,28.6,2-5,40.0,2-2,100.0,4.0,3.0,0.0,0.0,3.0,0.0,8.0,2.0,5.0
Grayson Allen,2022-23,Postseason,Mon 4/24,@MIA,L119-114,33.0,2-6,33.3,2-5,40.0,2-2,100.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,2.0,5.0
Grayson Allen,2022-23,Postseason,Sat 4/22,@MIA,L121-99,27.0,5-10,50.0,4-7,57.1,0-0,0.0,4.0,2.0,0.0,0.0,1.0,1.0,14.0,4.0,7.0
Grayson Allen,2022-23,Postseason,Wed 4/19,vsMIA,W138-122,31.0,5-11,45.5,4-8,50.0,2-3,66.7,2.0,1.0,0.0,0.0,0.0,1.0,16.0,4.0,8.0
Grayson Allen,2022-23,Postseason,Sun 4/16,vsMIA,L130-117,31.0,5-7,71.4,2-4,50.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,2.0,12.0,2.0,4.0
Grayson Allen,2022-23,Regular,Sun 4/2,vsPHI,W117-104,20.0,1-3,33.3,0-2,0.0,0-0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0
Grayson Allen,2022-23,Regular,Thu 3/30,vsBOS,L140-99,22.0,1-4,25.0,1-3,33.3,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0
Grayson Allen,2022-23,Regular,Wed 3/29,@IND,W149-136,26.0,1-3,33.3,0-1,0.0,1-1,100.0,2.0,3.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0
Grayson Allen,2022-23,Regular,Mon 3/27,@DET,W126-117,30.0,2-9,22.2,2-7,28.6,1-2,50.0,2.0,7.0,0.0,1.0,3.0,3.0,7.0,2.0,7.0
Grayson Allen,2022-23,Regular,Sat 3/25,@DEN,L129-106,25.0,3-7,42.9,3-6,50.0,4-4,100.0,4.0,1.0,1.0,0.0,2.0,0.0,13.0,3.0,6.0
