Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Harrison Barnes,2022-23,Postseason,Sun 4/30,vsGS,L120-100,14.0,1-4,25.0,0-2,0.0,2-4,50.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Harrison Barnes,2022-23,Postseason,Fri 4/28,@GS,W118-99,15.0,2-5,40.0,1-1,100.0,1-2,50.0,4.0,0.0,1.0,0.0,0.0,1.0,6.0,1.0,1.0
Harrison Barnes,2022-23,Postseason,Wed 4/26,vsGS,L123-116,33.0,3-6,50.0,0-2,0.0,7-7,100.0,3.0,1.0,1.0,2.0,1.0,2.0,13.0,0.0,2.0
Harrison Barnes,2022-23,Postseason,Sun 4/23,@GS,L126-125,31.0,3-11,27.3,1-6,16.7,2-2,100.0,3.0,1.0,0.0,0.0,2.0,0.0,9.0,1.0,6.0
Harrison Barnes,2022-23,Postseason,Thu 4/20,@GS,L114-97,34.0,6-10,60.0,3-7,42.9,2-4,50.0,1.0,0.0,0.0,0.0,1.0,0.0,17.0,3.0,7.0
Harrison Barnes,2022-23,Postseason,Mon 4/17,vsGS,W114-106,34.0,5-13,38.5,0-4,0.0,3-5,60.0,6.0,1.0,0.0,3.0,1.0,0.0,13.0,0.0,4.0
Harrison Barnes,2022-23,Postseason,Sat 4/15,vsGS,W126-123,36.0,5-11,45.5,1-3,33.3,2-2,100.0,7.0,2.0,0.0,3.0,0.0,0.0,13.0,1.0,3.0
Harrison Barnes,2022-23,Regular,Sun 4/9,@DEN,L109-95,18.0,5-7,71.4,5-7,71.4,2-2,100.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,5.0,7.0
Harrison Barnes,2022-23,Regular,Fri 4/7,vsGS,L119-97,29.0,5-9,55.6,1-3,33.3,2-3,66.7,3.0,2.0,0.0,2.0,0.0,1.0,13.0,1.0,3.0
Harrison Barnes,2022-23,Regular,Wed 4/5,@DAL,L123-119,30.0,7-14,50.0,0-2,0.0,2-2,100.0,5.0,0.0,0.0,0.0,2.0,0.0,16.0,0.0,2.0
Harrison Barnes,2022-23,Regular,Tue 4/4,@NO,W121-103,31.0,5-9,55.6,1-3,33.3,5-5,100.0,0.0,1.0,0.0,3.0,0.0,0.0,16.0,1.0,3.0
Harrison Barnes,2022-23,Regular,Sun 4/2,vsSA,L142-134 OT,37.0,5-12,41.7,1-3,33.3,4-6,66.7,4.0,1.0,0.0,2.0,1.0,3.0,15.0,1.0,3.0
Harrison Barnes,2022-23,Regular,Fri 3/31,@POR,W138-114,30.0,2-6,33.3,1-4,25.0,6-6,100.0,2.0,1.0,0.0,1.0,1.0,1.0,11.0,1.0,4.0
Harrison Barnes,2022-23,Regular,Wed 3/29,@POR,W120-80,27.0,1-5,20.0,0-2,0.0,5-6,83.3,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
Harrison Barnes,2022-23,Regular,Mon 3/27,vsMIN,L119-115,35.0,5-12,41.7,0-3,0.0,9-11,81.8,5.0,1.0,0.0,0.0,2.0,0.0,19.0,0.0,3.0
Harrison Barnes,2022-23,Regular,Sat 3/25,vsUTAH,W121-113,35.0,6-12,50.0,2-3,66.7,4-4,100.0,5.0,4.0,0.0,0.0,0.0,2.0,18.0,2.0,3.0
Harrison Barnes,2022-23,Regular,Fri 3/24,vsPHX,W135-127,35.0,7-12,58.3,2-5,40.0,7-9,77.8,1.0,1.0,0.0,1.0,1.0,0.0,23.0,2.0,5.0
Harrison Barnes,2022-23,Regular,Tue 3/21,vsBOS,L132-109,25.0,3-7,42.9,2-4,50.0,3-4,75.0,5.0,1.0,0.0,0.0,0.0,1.0,11.0,2.0,4.0
Harrison Barnes,2022-23,Regular,Mon 3/20,@UTAH,L128-120,30.0,5-11,45.5,2-4,50.0,4-5,80.0,6.0,2.0,0.0,0.0,3.0,0.0,16.0,2.0,4.0
Harrison Barnes,2022-23,Regular,Sat 3/18,@WSH,W132-118,27.0,3-7,42.9,2-3,66.7,3-3,100.0,3.0,2.0,0.0,0.0,1.0,0.0,11.0,2.0,3.0
