Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Haywood Highsmith,2022-23,Postseason,Mon 6/12,@DEN,L94-89,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Sun 6/4,@DEN,W111-108,6.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Thu 6/1,@DEN,L104-93,23.0,7-10,70.0,2-4,50.0,2-2,100.0,2.0,0.0,1.0,2.0,2.0,1.0,18.0,2.0,4.0
Haywood Highsmith,2022-23,Postseason,Mon 5/29,@BOS,W103-84,9.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Haywood Highsmith,2022-23,Postseason,Thu 5/25,@BOS,L110-97,36.0,6-9,66.7,3-4,75.0,0-0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,15.0,3.0,4.0
Haywood Highsmith,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Wed 5/10,@NY,L112-103,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Mon 5/8,vsNY,W109-101,6.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Haywood Highsmith,2022-23,Postseason,Sat 5/6,vsNY,W105-86,12.0,2-4,50.0,1-1,100.0,0-0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,1.0
Haywood Highsmith,2022-23,Postseason,Tue 5/2,@NY,L111-105,15.0,2-3,66.7,1-2,50.0,0-1,0.0,3.0,2.0,0.0,0.0,2.0,1.0,5.0,1.0,2.0
Haywood Highsmith,2022-23,Postseason,Sun 4/30,@NY,W108-101,5.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
