Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Herbert Jones,2022-23,Regular,Sun 4/9,@MIN,L113-108,39.0,1-4,25.0,0-2,0.0,2-2,100.0,3.0,4.0,1.0,5.0,5.0,3.0,4.0,0.0,2.0
Herbert Jones,2022-23,Regular,Fri 4/7,vsNY,W113-105,34.0,7-7,100.0,1-1,100.0,0-0,0.0,4.0,4.0,3.0,0.0,2.0,1.0,15.0,1.0,1.0
Herbert Jones,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,44.0,11-21,52.4,5-8,62.5,8-9,88.9,7.0,3.0,3.0,0.0,3.0,2.0,35.0,5.0,8.0
Herbert Jones,2022-23,Regular,Tue 4/4,vsSAC,L121-103,31.0,5-10,50.0,1-1,100.0,0-0,0.0,4.0,3.0,0.0,1.0,1.0,2.0,11.0,1.0,1.0
Herbert Jones,2022-23,Regular,Sat 4/1,vsLAC,W122-114,30.0,2-3,66.7,1-1,100.0,7-7,100.0,4.0,2.0,1.0,0.0,5.0,0.0,12.0,1.0,1.0
Herbert Jones,2022-23,Regular,Thu 3/30,@DEN,W107-88,34.0,2-6,33.3,2-2,100.0,0-0,0.0,7.0,1.0,0.0,0.0,2.0,3.0,6.0,2.0,2.0
Herbert Jones,2022-23,Regular,Tue 3/28,@GS,L120-109,35.0,5-11,45.5,3-5,60.0,0-0,0.0,6.0,4.0,0.0,2.0,3.0,0.0,13.0,3.0,5.0
Herbert Jones,2022-23,Regular,Mon 3/27,@POR,W124-90,26.0,3-4,75.0,0-0,0.0,1-1,100.0,2.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0
Herbert Jones,2022-23,Regular,Sat 3/25,@LAC,W131-110,23.0,2-2,100.0,0-0,0.0,0-0,0.0,6.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,0.0
Herbert Jones,2022-23,Regular,Thu 3/23,vsCHA,W115-96,29.0,1-5,20.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
Herbert Jones,2022-23,Regular,Tue 3/21,vsSA,W119-84,25.0,2-4,50.0,0-2,0.0,0-2,0.0,2.0,4.0,0.0,1.0,3.0,2.0,4.0,0.0,2.0
Herbert Jones,2022-23,Regular,Sun 3/19,@HOU,W117-107,33.0,4-7,57.1,2-4,50.0,3-3,100.0,4.0,3.0,0.0,1.0,4.0,2.0,13.0,2.0,4.0
Herbert Jones,2022-23,Regular,Fri 3/17,@HOU,L114-112,28.0,3-4,75.0,0-0,0.0,3-4,75.0,1.0,1.0,0.0,4.0,5.0,0.0,9.0,0.0,0.0
Herbert Jones,2022-23,Regular,Tue 3/14,vsLAL,L123-108,34.0,7-16,43.8,2-8,25.0,4-6,66.7,7.0,1.0,0.0,2.0,4.0,3.0,20.0,2.0,8.0
Herbert Jones,2022-23,Regular,Sun 3/12,vsPOR,W127-110,31.0,7-9,77.8,2-4,50.0,0-0,0.0,4.0,7.0,0.0,2.0,2.0,2.0,16.0,2.0,4.0
Herbert Jones,2022-23,Regular,Sat 3/11,vsOKC,L110-96,18.0,2-3,66.7,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,5.0,2.0,4.0,0.0,1.0
Herbert Jones,2022-23,Regular,Wed 3/8,vsDAL,W113-106,37.0,6-15,40.0,0-4,0.0,2-2,100.0,9.0,2.0,1.0,2.0,2.0,1.0,14.0,0.0,4.0
Herbert Jones,2022-23,Regular,Mon 3/6,@SAC,L123-108,37.0,5-8,62.5,3-3,100.0,0-0,0.0,8.0,8.0,1.0,1.0,5.0,1.0,13.0,3.0,3.0
Herbert Jones,2022-23,Regular,Fri 3/3,@GS,L108-99,36.0,3-5,60.0,0-1,0.0,1-2,50.0,3.0,5.0,1.0,4.0,3.0,2.0,7.0,0.0,1.0
Herbert Jones,2022-23,Regular,Wed 3/1,@POR,W121-110,28.0,3-7,42.9,1-1,100.0,0-0,0.0,5.0,2.0,0.0,1.0,5.0,1.0,7.0,1.0,1.0
Herbert Jones,2022-23,Regular,Mon 2/27,vsORL,L101-93,33.0,3-9,33.3,1-3,33.3,3-4,75.0,6.0,2.0,1.0,1.0,3.0,1.0,10.0,1.0,3.0
Herbert Jones,2022-23,Regular,Sat 2/25,@NY,L128-106,13.0,3-5,60.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0
Herbert Jones,2022-23,Regular,Thu 2/23,@TOR,L115-110,34.0,1-3,33.3,0-1,0.0,0-0,0.0,5.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0
Herbert Jones,2022-23,Regular,Wed 2/15,@LAL,L120-102,30.0,5-9,55.6,1-3,33.3,0-0,0.0,3.0,5.0,0.0,1.0,1.0,1.0,11.0,1.0,3.0
Herbert Jones,2022-23,Regular,Mon 2/13,@OKC,W103-100,24.0,2-4,50.0,0-1,0.0,0-0,0.0,5.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,1.0
Herbert Jones,2022-23,Regular,Fri 2/10,vsCLE,L118-107,29.0,4-8,50.0,1-2,50.0,2-2,100.0,2.0,0.0,1.0,1.0,3.0,1.0,11.0,1.0,2.0
Herbert Jones,2022-23,Regular,Tue 2/7,vsATL,W116-107,40.0,4-7,57.1,0-1,0.0,3-5,60.0,9.0,4.0,1.0,3.0,4.0,1.0,11.0,0.0,1.0
Herbert Jones,2022-23,Regular,Sun 2/5,vsSAC,W136-104,33.0,2-6,33.3,0-0,0.0,1-2,50.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0
Herbert Jones,2022-23,Regular,Sat 2/4,vsLAL,W131-126,40.0,2-9,22.2,0-2,0.0,0-0,0.0,4.0,3.0,0.0,4.0,5.0,3.0,4.0,0.0,2.0
Herbert Jones,2022-23,Regular,Thu 2/2,@DAL,L111-106,35.0,4-9,44.4,1-6,16.7,0-1,0.0,2.0,1.0,1.0,3.0,4.0,4.0,9.0,1.0,6.0
Herbert Jones,2022-23,Regular,Tue 1/31,@DEN,L122-113,37.0,6-8,75.0,2-4,50.0,7-8,87.5,4.0,4.0,0.0,5.0,4.0,2.0,21.0,2.0,4.0
