Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Immanuel Quickley,2022-23,Postseason,Sat 5/6,@MIA,L105-86,20.0,4-12,33.3,2-8,25.0,2-2,100.0,1.0,0.0,0.0,1.0,0.0,1.0,12.0,2.0,8.0
Immanuel Quickley,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,9.0,3-7,42.9,0-4,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,4.0
Immanuel Quickley,2022-23,Postseason,Sun 4/30,vsMIA,L108-101,27.0,3-9,33.3,1-4,25.0,2-2,100.0,2.0,1.0,0.0,1.0,2.0,1.0,9.0,1.0,4.0
Immanuel Quickley,2022-23,Postseason,Wed 4/26,@CLE,W106-95,29.0,5-15,33.3,3-10,30.0,6-6,100.0,2.0,1.0,0.0,0.0,3.0,0.0,19.0,3.0,10.0
Immanuel Quickley,2022-23,Postseason,Sun 4/23,vsCLE,W102-93,19.0,0-4,0.0,0-2,0.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Immanuel Quickley,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,23.0,4-6,66.7,2-3,66.7,1-2,50.0,1.0,2.0,0.0,0.0,0.0,1.0,11.0,2.0,3.0
Immanuel Quickley,2022-23,Postseason,Tue 4/18,@CLE,L107-90,23.0,4-8,50.0,1-4,25.0,3-4,75.0,1.0,1.0,0.0,2.0,3.0,1.0,12.0,1.0,4.0
Immanuel Quickley,2022-23,Postseason,Sat 4/15,@CLE,W101-97,24.0,0-5,0.0,0-2,0.0,3-4,75.0,3.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0
Immanuel Quickley,2022-23,Regular,Sun 4/9,vsIND,L141-136,37.0,9-22,40.9,3-11,27.3,9-9,100.0,9.0,7.0,0.0,2.0,3.0,5.0,30.0,3.0,11.0
Immanuel Quickley,2022-23,Regular,Fri 4/7,@NO,L113-105,31.0,8-17,47.1,6-10,60.0,2-2,100.0,5.0,2.0,0.0,1.0,3.0,3.0,24.0,6.0,10.0
Immanuel Quickley,2022-23,Regular,Wed 4/5,@IND,W138-129,40.0,14-26,53.8,7-13,53.8,4-5,80.0,6.0,9.0,0.0,2.0,2.0,2.0,39.0,7.0,13.0
Immanuel Quickley,2022-23,Regular,Sun 4/2,vsWSH,W118-109,37.0,8-18,44.4,3-6,50.0,3-4,75.0,6.0,5.0,0.0,3.0,5.0,1.0,22.0,3.0,6.0
Immanuel Quickley,2022-23,Regular,Fri 3/31,@CLE,W130-116,30.0,5-16,31.3,2-6,33.3,2-3,66.7,4.0,4.0,0.0,1.0,1.0,2.0,14.0,2.0,6.0
Immanuel Quickley,2022-23,Regular,Wed 3/29,vsMIA,W101-92,32.0,8-14,57.1,2-5,40.0,6-11,54.5,1.0,4.0,0.0,3.0,0.0,1.0,24.0,2.0,5.0
Immanuel Quickley,2022-23,Regular,Mon 3/27,vsHOU,W137-115,30.0,14-18,77.8,5-7,71.4,7-9,77.8,2.0,9.0,1.0,1.0,3.0,1.0,40.0,5.0,7.0
Immanuel Quickley,2022-23,Regular,Thu 3/23,@ORL,L111-106,42.0,7-17,41.2,2-7,28.6,9-10,90.0,5.0,7.0,1.0,2.0,0.0,3.0,25.0,2.0,7.0
Immanuel Quickley,2022-23,Regular,Wed 3/22,@MIA,L127-120,19.0,1-8,12.5,1-5,20.0,2-2,100.0,4.0,3.0,0.0,2.0,2.0,0.0,5.0,1.0,5.0
Immanuel Quickley,2022-23,Regular,Mon 3/20,vsMIN,L140-134,28.0,6-16,37.5,2-7,28.6,5-5,100.0,1.0,3.0,0.0,1.0,3.0,2.0,19.0,2.0,7.0
Immanuel Quickley,2022-23,Regular,Sat 3/18,vsDEN,W116-110,26.0,3-9,33.3,1-7,14.3,3-5,60.0,3.0,2.0,0.0,1.0,0.0,3.0,10.0,1.0,7.0
Immanuel Quickley,2022-23,Regular,Tue 3/14,@POR,W123-107,34.0,8-14,57.1,4-8,50.0,6-7,85.7,10.0,3.0,0.0,1.0,1.0,1.0,26.0,4.0,8.0
Immanuel Quickley,2022-23,Regular,Sun 3/12,@LAL,W112-108,31.0,6-12,50.0,1-3,33.3,2-2,100.0,2.0,3.0,0.0,1.0,3.0,1.0,15.0,1.0,3.0
Immanuel Quickley,2022-23,Regular,Sat 3/11,@LAC,L106-95,42.0,8-18,44.4,3-8,37.5,7-8,87.5,10.0,4.0,0.0,1.0,2.0,0.0,26.0,3.0,8.0
Immanuel Quickley,2022-23,Regular,Thu 3/9,@SAC,L122-117,27.0,1-11,9.1,1-8,12.5,0-0,0.0,2.0,5.0,0.0,0.0,3.0,1.0,3.0,1.0,8.0
Immanuel Quickley,2022-23,Regular,Tue 3/7,vsCHA,L112-105,35.0,5-16,31.3,3-10,30.0,1-1,100.0,3.0,5.0,0.0,0.0,2.0,2.0,14.0,3.0,10.0
Immanuel Quickley,2022-23,Regular,Sun 3/5,@BOS,W131-129 2OT,55.0,15-28,53.6,5-12,41.7,3-4,75.0,8.0,7.0,2.0,4.0,2.0,1.0,38.0,5.0,12.0
Immanuel Quickley,2022-23,Regular,Fri 3/3,@MIA,W122-120,22.0,7-11,63.6,5-9,55.6,2-2,100.0,2.0,3.0,0.0,1.0,3.0,2.0,21.0,5.0,9.0
Immanuel Quickley,2022-23,Regular,Wed 3/1,vsBKN,W142-118,22.0,6-12,50.0,2-5,40.0,1-2,50.0,3.0,2.0,0.0,1.0,1.0,1.0,15.0,2.0,5.0
Immanuel Quickley,2022-23,Regular,Mon 2/27,vsBOS,W109-94,31.0,7-13,53.8,4-7,57.1,5-6,83.3,3.0,2.0,0.0,1.0,1.0,0.0,23.0,4.0,7.0
Immanuel Quickley,2022-23,Regular,Sat 2/25,vsNO,W128-106,27.0,5-10,50.0,2-7,28.6,1-1,100.0,7.0,2.0,2.0,1.0,2.0,2.0,13.0,2.0,7.0
Immanuel Quickley,2022-23,Regular,Fri 2/24,@WSH,W115-109,30.0,6-11,54.5,3-6,50.0,1-2,50.0,3.0,1.0,0.0,0.0,1.0,3.0,16.0,3.0,6.0
Immanuel Quickley,2022-23,Regular,Wed 2/15,@ATL,W122-101,24.0,5-11,45.5,2-6,33.3,2-2,100.0,4.0,2.0,0.0,1.0,4.0,0.0,14.0,2.0,6.0
Immanuel Quickley,2022-23,Regular,Mon 2/13,vsBKN,W124-106,28.0,4-8,50.0,2-3,66.7,4-5,80.0,5.0,5.0,0.0,0.0,2.0,0.0,14.0,2.0,3.0
Immanuel Quickley,2022-23,Regular,Sat 2/11,vsUTAH,W126-120,23.0,6-9,66.7,3-6,50.0,0-2,0.0,5.0,1.0,1.0,1.0,3.0,1.0,15.0,3.0,6.0
