Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Isaiah Hartenstein,2022-23,Postseason,Fri 5/12,@MIA,L96-92,18.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,0.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Wed 5/10,vsMIA,W112-103,22.0,1-1,100.0,0-0,0.0,2-2,100.0,6.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Mon 5/8,@MIA,L109-101,15.0,0-1,0.0,0-0,0.0,2-2,100.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Sat 5/6,@MIA,L105-86,26.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Tue 5/2,vsMIA,W111-105,26.0,1-2,50.0,0-0,0.0,1-1,100.0,9.0,1.0,1.0,1.0,5.0,0.0,3.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Sun 4/30,vsMIA,L108-101,14.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Wed 4/26,@CLE,W106-95,12.0,0-1,0.0,0-0,0.0,1-2,50.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Sun 4/23,vsCLE,W102-93,21.0,0-1,0.0,0-0,0.0,1-2,50.0,8.0,2.0,2.0,2.0,5.0,2.0,1.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Fri 4/21,vsCLE,W99-79,18.0,3-5,60.0,0-0,0.0,1-2,50.0,5.0,1.0,1.0,2.0,1.0,1.0,7.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Tue 4/18,@CLE,L107-90,27.0,2-6,33.3,0-0,0.0,0-1,0.0,7.0,5.0,0.0,1.0,4.0,2.0,4.0,0.0,0.0
Isaiah Hartenstein,2022-23,Postseason,Sat 4/15,@CLE,W101-97,22.0,2-3,66.7,0-0,0.0,4-4,100.0,5.0,0.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sun 4/9,vsIND,L141-136,21.0,4-7,57.1,0-0,0.0,0-0,0.0,2.0,5.0,0.0,1.0,2.0,0.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Fri 4/7,@NO,L113-105,19.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,5.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Wed 4/5,@IND,W138-129,18.0,4-6,66.7,0-0,0.0,0-0,0.0,7.0,2.0,0.0,0.0,2.0,1.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sun 4/2,vsWSH,W118-109,22.0,4-5,80.0,0-0,0.0,1-3,33.3,8.0,2.0,1.0,2.0,1.0,1.0,9.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Fri 3/31,@CLE,W130-116,26.0,2-2,100.0,0-0,0.0,1-4,25.0,8.0,4.0,3.0,2.0,1.0,0.0,5.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Wed 3/29,vsMIA,W101-92,29.0,3-5,60.0,0-0,0.0,0-2,0.0,9.0,2.0,1.0,2.0,3.0,1.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Mon 3/27,vsHOU,W137-115,24.0,3-3,100.0,0-0,0.0,2-3,66.7,6.0,6.0,0.0,2.0,4.0,1.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Thu 3/23,@ORL,L111-106,16.0,3-3,100.0,0-0,0.0,0-0,0.0,4.0,3.0,2.0,0.0,2.0,0.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Wed 3/22,@MIA,L127-120,19.0,1-3,33.3,0-1,0.0,0-0,0.0,2.0,0.0,1.0,1.0,5.0,3.0,2.0,0.0,1.0
Isaiah Hartenstein,2022-23,Regular,Mon 3/20,vsMIN,L140-134,20.0,2-3,66.7,0-0,0.0,1-1,100.0,8.0,3.0,0.0,0.0,2.0,1.0,5.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sat 3/18,vsDEN,W116-110,24.0,3-5,60.0,0-0,0.0,0-0,0.0,9.0,1.0,1.0,2.0,2.0,1.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Tue 3/14,@POR,W123-107,27.0,0-2,0.0,0-1,0.0,0-0,0.0,11.0,4.0,1.0,1.0,4.0,2.0,0.0,0.0,1.0
Isaiah Hartenstein,2022-23,Regular,Sun 3/12,@LAL,W112-108,24.0,0-2,0.0,0-0,0.0,0-0,0.0,11.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sat 3/11,@LAC,L106-95,19.0,2-5,40.0,0-1,0.0,0-0,0.0,5.0,3.0,0.0,1.0,2.0,0.0,4.0,0.0,1.0
Isaiah Hartenstein,2022-23,Regular,Thu 3/9,@SAC,L122-117,25.0,2-2,100.0,0-0,0.0,1-2,50.0,9.0,0.0,0.0,1.0,5.0,0.0,5.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Tue 3/7,vsCHA,L112-105,15.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sun 3/5,@BOS,W131-129 2OT,10.0,0-2,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Fri 3/3,@MIA,W122-120,15.0,2-2,100.0,0-0,0.0,0-1,0.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Wed 3/1,vsBKN,W142-118,19.0,3-6,50.0,0-0,0.0,2-2,100.0,8.0,3.0,1.0,0.0,2.0,1.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Mon 2/27,vsBOS,W109-94,16.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sat 2/25,vsNO,W128-106,19.0,2-3,66.7,0-0,0.0,0-0,0.0,10.0,2.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Fri 2/24,@WSH,W115-109,20.0,2-2,100.0,0-0,0.0,0-0,0.0,10.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Wed 2/15,@ATL,W122-101,26.0,3-6,50.0,0-0,0.0,0-0,0.0,11.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Mon 2/13,vsBKN,W124-106,24.0,3-3,100.0,0-0,0.0,2-2,100.0,5.0,1.0,0.0,1.0,4.0,2.0,8.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sat 2/11,vsUTAH,W126-120,25.0,3-5,60.0,0-0,0.0,0-0,0.0,14.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Fri 2/10,@PHI,L119-108,25.0,3-3,100.0,0-0,0.0,0-1,0.0,6.0,1.0,3.0,0.0,3.0,1.0,6.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Tue 2/7,@ORL,W102-98,13.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,1.0,0.0,5.0,1.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sun 2/5,vsPHI,W108-97,26.0,1-1,100.0,0-0,0.0,0-0,0.0,14.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Sat 2/4,vsLAC,L134-128 OT,32.0,2-6,33.3,0-0,0.0,1-2,50.0,11.0,4.0,2.0,1.0,4.0,2.0,5.0,0.0,0.0
Isaiah Hartenstein,2022-23,Regular,Thu 2/2,vsMIA,W106-104,29.0,3-7,42.9,0-0,0.0,2-3,66.7,10.0,1.0,0.0,3.0,4.0,3.0,8.0,0.0,0.0
