Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Isaiah Jackson,2022-23,Regular,Sun 4/9,@NY,W141-136,26.0,1-6,16.7,0-0,0.0,4-6,66.7,9.0,3.0,2.0,1.0,3.0,3.0,6.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Fri 4/7,vsDET,L122-115,29.0,7-10,70.0,0-0,0.0,1-1,100.0,7.0,0.0,3.0,1.0,3.0,2.0,15.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Wed 4/5,vsNY,L138-129,22.0,3-3,100.0,0-0,0.0,4-6,66.7,8.0,0.0,1.0,0.0,4.0,0.0,10.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Sun 4/2,@CLE,L115-105,21.0,1-5,20.0,0-0,0.0,1-2,50.0,2.0,1.0,2.0,0.0,4.0,2.0,3.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Fri 3/31,vsOKC,W121-117,19.0,4-4,100.0,0-0,0.0,5-8,62.5,4.0,0.0,2.0,1.0,3.0,0.0,13.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Wed 3/29,vsMIL,L149-136,22.0,4-10,40.0,0-0,0.0,1-1,100.0,3.0,1.0,3.0,0.0,5.0,1.0,9.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Mon 3/27,vsDAL,L127-104,24.0,4-11,36.4,0-0,0.0,0-1,0.0,12.0,1.0,1.0,1.0,4.0,1.0,8.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Sat 3/25,@ATL,L143-130,23.0,7-10,70.0,0-2,0.0,0-0,0.0,5.0,1.0,0.0,3.0,5.0,0.0,14.0,0.0,2.0
Isaiah Jackson,2022-23,Regular,Fri 3/24,@BOS,L120-95,22.0,5-10,50.0,0-0,0.0,2-2,100.0,6.0,0.0,1.0,0.0,3.0,1.0,12.0,0.0,0.0
Isaiah Jackson,2022-23,Regular,Wed 3/22,@TOR,W118-114,16.0,2-2,100.0,0-0,0.0,1-2,50.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
