Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Isaiah Joe,2022-23,Regular,Thu 4/6,@UTAH,W114-98,21.0,3-11,27.3,3-9,33.3,2-2,100.0,3.0,3.0,0.0,2.0,1.0,2.0,11.0,3.0,9.0
Isaiah Joe,2022-23,Regular,Tue 4/4,@GS,L136-125,28.0,4-8,50.0,2-3,66.7,4-5,80.0,5.0,2.0,0.0,1.0,4.0,2.0,14.0,2.0,3.0
Isaiah Joe,2022-23,Regular,Sun 4/2,vsPHX,L128-118,22.0,2-6,33.3,1-3,33.3,2-3,66.7,1.0,1.0,0.0,0.0,1.0,1.0,7.0,1.0,3.0
Isaiah Joe,2022-23,Regular,Fri 3/31,@IND,L121-117,25.0,2-10,20.0,0-8,0.0,3-4,75.0,2.0,1.0,0.0,3.0,2.0,0.0,7.0,0.0,8.0
Isaiah Joe,2022-23,Regular,Wed 3/29,vsDET,W107-106,33.0,4-12,33.3,0-7,0.0,4-5,80.0,4.0,0.0,0.0,0.0,3.0,2.0,12.0,0.0,7.0
Isaiah Joe,2022-23,Regular,Tue 3/28,vsCHA,L137-134,32.0,11-18,61.1,6-11,54.5,5-7,71.4,2.0,1.0,0.0,0.0,0.0,1.0,33.0,6.0,11.0
Isaiah Joe,2022-23,Regular,Sun 3/26,@POR,W118-112,28.0,5-12,41.7,5-10,50.0,5-5,100.0,7.0,5.0,0.0,2.0,2.0,0.0,20.0,5.0,10.0
Isaiah Joe,2022-23,Regular,Fri 3/24,@LAL,L116-111,20.0,0-3,0.0,0-3,0.0,2-2,100.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0
Isaiah Joe,2022-23,Regular,Thu 3/23,@LAC,L127-105,17.0,0-4,0.0,0-4,0.0,0-0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
Isaiah Joe,2022-23,Regular,Tue 3/21,@LAC,W101-100,27.0,5-12,41.7,2-8,25.0,0-0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,12.0,2.0,8.0
Isaiah Joe,2022-23,Regular,Sun 3/19,vsPHX,W124-120,27.0,6-10,60.0,3-7,42.9,0-0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,15.0,3.0,7.0
Isaiah Joe,2022-23,Regular,Thu 3/16,@TOR,L128-111,24.0,4-9,44.4,3-5,60.0,1-1,100.0,1.0,1.0,1.0,0.0,2.0,0.0,12.0,3.0,5.0
Isaiah Joe,2022-23,Regular,Tue 3/14,vsBKN,W121-107,24.0,2-8,25.0,1-5,20.0,0-0,0.0,3.0,2.0,0.0,1.0,2.0,0.0,5.0,1.0,5.0
Isaiah Joe,2022-23,Regular,Sun 3/12,@SA,W102-90,29.0,2-8,25.0,1-6,16.7,0-0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,5.0,1.0,6.0
Isaiah Joe,2022-23,Regular,Sat 3/11,@NO,W110-96,28.0,3-7,42.9,3-7,42.9,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,7.0
Isaiah Joe,2022-23,Regular,Wed 3/8,@PHX,L132-101,19.0,1-8,12.5,1-5,20.0,3-3,100.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,5.0
Isaiah Joe,2022-23,Regular,Tue 3/7,vsGS,W137-128,30.0,3-7,42.9,3-6,50.0,0-1,0.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,3.0,6.0
Isaiah Joe,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,26.0,2-7,28.6,2-7,28.6,0-0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,7.0
Isaiah Joe,2022-23,Regular,Fri 3/3,vsUTAH,W130-103,27.0,6-16,37.5,5-13,38.5,0-0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,17.0,5.0,13.0
