Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Isaiah Livers,2022-23,Regular,Tue 4/4,vsMIA,L118-105,24.0,4-9,44.4,4-6,66.7,3-3,100.0,3.0,1.0,0.0,0.0,3.0,1.0,15.0,4.0,6.0
Isaiah Livers,2022-23,Regular,Sun 4/2,@ORL,L128-102,31.0,3-7,42.9,2-5,40.0,2-2,100.0,6.0,1.0,1.0,0.0,4.0,2.0,10.0,2.0,5.0
Isaiah Livers,2022-23,Regular,Fri 3/31,@HOU,L121-115,29.0,4-8,50.0,3-6,50.0,1-1,100.0,4.0,0.0,1.0,0.0,4.0,0.0,12.0,3.0,6.0
Isaiah Livers,2022-23,Regular,Wed 3/29,@OKC,L107-106,21.0,0-3,0.0,0-2,0.0,0-0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0
Isaiah Livers,2022-23,Regular,Mon 3/27,vsMIL,L126-117,35.0,4-5,80.0,1-1,100.0,0-0,0.0,6.0,2.0,0.0,0.0,2.0,0.0,9.0,1.0,1.0
Isaiah Livers,2022-23,Regular,Fri 3/24,@TOR,L118-97,30.0,4-8,50.0,1-4,25.0,3-3,100.0,4.0,2.0,0.0,0.0,1.0,0.0,12.0,1.0,4.0
Isaiah Livers,2022-23,Regular,Mon 3/13,vsIND,W117-97,20.0,1-7,14.3,0-4,0.0,0-0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0
Isaiah Livers,2022-23,Regular,Sat 3/11,vsIND,L121-115,38.0,7-20,35.0,3-10,30.0,1-2,50.0,4.0,2.0,2.0,4.0,2.0,0.0,18.0,3.0,10.0
Isaiah Livers,2022-23,Regular,Thu 3/9,vsCHA,L113-103,31.0,6-9,66.7,1-3,33.3,0-0,0.0,5.0,2.0,0.0,0.0,1.0,1.0,13.0,1.0,3.0
Isaiah Livers,2022-23,Regular,Tue 3/7,vsWSH,L119-117,37.0,3-12,25.0,3-9,33.3,0-0,0.0,2.0,1.0,1.0,2.0,4.0,0.0,9.0,3.0,9.0
Isaiah Livers,2022-23,Regular,Mon 3/6,vsPOR,L110-104,39.0,7-12,58.3,3-8,37.5,0-0,0.0,5.0,2.0,0.0,0.0,0.0,2.0,17.0,3.0,8.0
Isaiah Livers,2022-23,Regular,Sat 3/4,@CLE,L114-90,25.0,3-6,50.0,1-4,25.0,0-0,0.0,4.0,2.0,0.0,1.0,2.0,0.0,7.0,1.0,4.0
Isaiah Livers,2022-23,Regular,Mon 2/27,@CHA,L117-106,8.0,0-3,0.0,0-3,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0
Isaiah Livers,2022-23,Regular,Sat 2/25,vsTOR,L95-91,29.0,4-6,66.7,3-4,75.0,0-0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,11.0,3.0,4.0
