Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Isaiah Stewart,2022-23,Regular,Sat 2/25,vsTOR,L95-91,19.0,2-5,40.0,1-2,50.0,0-0,0.0,9.0,1.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0
Isaiah Stewart,2022-23,Regular,Thu 2/23,@ORL,L108-106,27.0,2-6,33.3,2-5,40.0,4-4,100.0,8.0,3.0,1.0,0.0,3.0,1.0,10.0,2.0,5.0
Isaiah Stewart,2022-23,Regular,Wed 2/15,@BOS,L127-109,26.0,5-8,62.5,4-6,66.7,0-0,0.0,6.0,0.0,1.0,0.0,1.0,2.0,14.0,4.0,6.0
Isaiah Stewart,2022-23,Regular,Sun 2/12,@TOR,L119-118,38.0,5-7,71.4,3-4,75.0,3-5,60.0,3.0,1.0,0.0,0.0,1.0,1.0,16.0,3.0,4.0
Isaiah Stewart,2022-23,Regular,Fri 2/10,vsSA,W138-131 2OT,29.0,4-11,36.4,1-6,16.7,6-8,75.0,11.0,4.0,1.0,0.0,5.0,2.0,15.0,1.0,6.0
Isaiah Stewart,2022-23,Regular,Wed 2/8,@CLE,L113-85,28.0,4-12,33.3,1-5,20.0,0-0,0.0,7.0,3.0,1.0,1.0,3.0,1.0,9.0,1.0,5.0
Isaiah Stewart,2022-23,Regular,Mon 2/6,vsBOS,L111-99,31.0,4-12,33.3,0-7,0.0,2-4,50.0,12.0,0.0,0.0,0.0,2.0,2.0,10.0,0.0,7.0
Isaiah Stewart,2022-23,Regular,Sat 2/4,vsPHX,L116-100,37.0,7-13,53.8,3-8,37.5,0-1,0.0,9.0,2.0,0.0,1.0,3.0,1.0,17.0,3.0,8.0
Isaiah Stewart,2022-23,Regular,Fri 2/3,vsCHA,W118-112,28.0,3-12,25.0,0-2,0.0,2-2,100.0,16.0,6.0,0.0,1.0,1.0,0.0,8.0,0.0,2.0
Isaiah Stewart,2022-23,Regular,Mon 1/30,@DAL,L111-105,20.0,2-5,40.0,0-0,0.0,3-5,60.0,5.0,0.0,1.0,1.0,3.0,1.0,7.0,0.0,0.0
Isaiah Stewart,2022-23,Regular,Sat 1/28,vsHOU,L117-114,24.0,3-6,50.0,0-1,0.0,0-0,0.0,6.0,3.0,1.0,0.0,2.0,1.0,6.0,0.0,1.0
Isaiah Stewart,2022-23,Regular,Thu 1/26,@BKN,W130-122,21.0,3-6,50.0,0-0,0.0,5-5,100.0,5.0,0.0,0.0,0.0,5.0,1.0,11.0,0.0,0.0
Isaiah Stewart,2022-23,Regular,Thu 1/19,vsCHI,L126-108,30.0,1-10,10.0,0-4,0.0,5-6,83.3,11.0,2.0,0.0,0.0,2.0,0.0,7.0,0.0,4.0
Isaiah Stewart,2022-23,Regular,Sun 1/15,vsNY,L117-104,29.0,3-6,50.0,0-3,0.0,0-1,0.0,9.0,1.0,2.0,0.0,5.0,2.0,6.0,0.0,3.0
Isaiah Stewart,2022-23,Regular,Sun 1/8,vsPHI,L123-111,35.0,7-15,46.7,0-3,0.0,6-7,85.7,13.0,2.0,0.0,1.0,1.0,4.0,20.0,0.0,3.0
Isaiah Stewart,2022-23,Regular,Fri 1/6,@SA,L121-109,30.0,3-8,37.5,2-6,33.3,3-6,50.0,8.0,3.0,0.0,1.0,5.0,2.0,11.0,2.0,6.0
Isaiah Stewart,2022-23,Regular,Wed 1/4,@GS,W122-119,31.0,6-14,42.9,1-7,14.3,0-0,0.0,7.0,1.0,1.0,0.0,1.0,2.0,13.0,1.0,7.0
Isaiah Stewart,2022-23,Regular,Mon 1/2,@POR,L135-106,28.0,3-8,37.5,0-2,0.0,3-4,75.0,6.0,1.0,1.0,0.0,3.0,3.0,9.0,0.0,2.0
Isaiah Stewart,2022-23,Regular,Sat 12/31,@MIN,W116-104,24.0,3-7,42.9,0-1,0.0,0-0,0.0,7.0,0.0,1.0,1.0,2.0,2.0,6.0,0.0,1.0
Isaiah Stewart,2022-23,Regular,Fri 12/30,@CHI,L132-118,33.0,6-15,40.0,2-7,28.6,2-2,100.0,10.0,2.0,0.0,3.0,2.0,1.0,16.0,2.0,7.0
Isaiah Stewart,2022-23,Regular,Wed 12/28,vsORL,W121-101,27.0,4-12,33.3,2-8,25.0,1-2,50.0,3.0,0.0,0.0,0.0,2.0,1.0,11.0,2.0,8.0
Isaiah Stewart,2022-23,Regular,Mon 12/26,vsLAC,L142-131 OT,40.0,8-10,80.0,3-4,75.0,2-3,66.7,7.0,1.0,2.0,1.0,3.0,0.0,21.0,3.0,4.0
Isaiah Stewart,2022-23,Regular,Fri 12/23,@ATL,L130-105,28.0,2-7,28.6,2-4,50.0,1-2,50.0,4.0,3.0,0.0,0.0,1.0,2.0,7.0,2.0,4.0
Isaiah Stewart,2022-23,Regular,Wed 12/21,@PHI,L113-93,22.0,3-7,42.9,0-1,0.0,0-0,0.0,5.0,1.0,0.0,0.0,5.0,5.0,6.0,0.0,1.0
Isaiah Stewart,2022-23,Regular,Tue 12/20,vsUTAH,L126-111,27.0,3-9,33.3,0-5,0.0,1-1,100.0,3.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,5.0
Isaiah Stewart,2022-23,Regular,Sun 12/18,vsBKN,L124-121,29.0,2-7,28.6,1-3,33.3,4-4,100.0,7.0,0.0,1.0,1.0,1.0,0.0,9.0,1.0,3.0
Isaiah Stewart,2022-23,Regular,Fri 12/16,vsSAC,L122-113,26.0,4-7,57.1,3-5,60.0,2-2,100.0,7.0,1.0,0.0,0.0,2.0,4.0,13.0,3.0,5.0
Isaiah Stewart,2022-23,Regular,Wed 12/14,@CHA,W141-134 OT,41.0,8-10,80.0,2-3,66.7,1-2,50.0,11.0,1.0,2.0,0.0,4.0,2.0,19.0,2.0,3.0
