Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ish Wainright,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Postseason,Tue 5/9,@DEN,L118-102,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ish Wainright,2022-23,Postseason,Mon 5/1,@DEN,L97-87,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Postseason,Sat 4/29,@DEN,L125-107,5.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Ish Wainright,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,7.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
Ish Wainright,2022-23,Regular,Sun 4/9,vsLAC,L119-114,32.0,2-6,33.3,2-5,40.0,1-2,50.0,7.0,1.0,1.0,0.0,4.0,1.0,7.0,2.0,5.0
Ish Wainright,2022-23,Regular,Fri 4/7,@LAL,L121-107,25.0,1-8,12.5,0-7,0.0,0-0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.0
Ish Wainright,2022-23,Regular,Thu 4/6,vsDEN,W119-115,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Regular,Tue 4/4,vsSA,W115-94,6.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ish Wainright,2022-23,Regular,Sun 4/2,@OKC,W128-118,8.0,1-1,100.0,1-1,100.0,0-0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0
Ish Wainright,2022-23,Regular,Mon 3/27,@UTAH,W117-103,18.0,3-6,50.0,3-5,60.0,0-0,0.0,7.0,1.0,1.0,0.0,2.0,0.0,9.0,3.0,5.0
Ish Wainright,2022-23,Regular,Sat 3/25,vsPHI,W125-105,9.0,2-3,66.7,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0
Ish Wainright,2022-23,Regular,Sun 3/19,@OKC,L124-120,13.0,0-4,0.0,0-4,0.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Ish Wainright,2022-23,Regular,Thu 3/16,vsORL,W116-113,23.0,1-4,25.0,1-3,33.3,0-0,0.0,5.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
Ish Wainright,2022-23,Regular,Tue 3/14,vsMIL,L116-104,25.0,3-6,50.0,2-5,40.0,0-0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,8.0,2.0,5.0
Ish Wainright,2022-23,Regular,Mon 3/13,@GS,L123-112,13.0,1-2,50.0,0-0,0.0,2-2,100.0,5.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Ish Wainright,2022-23,Regular,Sat 3/11,vsSAC,L128-119,15.0,1-7,14.3,1-6,16.7,0-0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0
Ish Wainright,2022-23,Regular,Wed 3/8,vsOKC,W132-101,17.0,0-3,0.0,0-3,0.0,0-0,0.0,8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0
Ish Wainright,2022-23,Regular,Sun 3/5,@DAL,W130-126,14.0,4-6,66.7,4-5,80.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,4.0,5.0
Ish Wainright,2022-23,Regular,Fri 3/3,@CHI,W125-104,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Regular,Wed 3/1,@CHA,W105-91,8.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0
Ish Wainright,2022-23,Regular,Sun 2/26,@MIL,L104-101,18.0,1-2,50.0,1-2,50.0,2-2,100.0,4.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,2.0
Ish Wainright,2022-23,Regular,Fri 2/24,vsOKC,W124-115,13.0,3-6,50.0,2-5,40.0,2-2,100.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,2.0,5.0
Ish Wainright,2022-23,Regular,Thu 2/16,vsLAC,L116-107,7.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Regular,Tue 2/14,vsSAC,W120-109,20.0,0-3,0.0,0-3,0.0,0-0,0.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,3.0
Ish Wainright,2022-23,Regular,Fri 2/10,@IND,W117-104,26.0,4-8,50.0,2-6,33.3,3-4,75.0,1.0,2.0,0.0,0.0,6.0,0.0,13.0,2.0,6.0
Ish Wainright,2022-23,Regular,Thu 2/9,@ATL,L116-107,32.0,4-8,50.0,3-7,42.9,6-6,100.0,4.0,2.0,2.0,3.0,2.0,0.0,17.0,3.0,7.0
Ish Wainright,2022-23,Regular,Tue 2/7,@BKN,W116-112,6.0,1-4,25.0,1-4,25.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,4.0
Ish Wainright,2022-23,Regular,Sat 2/4,@DET,W116-100,21.0,2-4,50.0,0-2,0.0,1-1,100.0,4.0,1.0,0.0,2.0,2.0,2.0,5.0,0.0,2.0
Ish Wainright,2022-23,Regular,Fri 2/3,@BOS,W106-94,31.0,3-11,27.3,3-8,37.5,0-0,0.0,6.0,0.0,2.0,1.0,3.0,0.0,9.0,3.0,8.0
Ish Wainright,2022-23,Regular,Wed 2/1,vsATL,L132-100,19.0,1-3,33.3,1-2,50.0,1-1,100.0,2.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,2.0
Ish Wainright,2022-23,Regular,Mon 1/30,vsTOR,W114-106,20.0,3-4,75.0,1-2,50.0,0-0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,7.0,1.0,2.0
Ish Wainright,2022-23,Regular,Thu 1/26,vsDAL,L99-95,13.0,1-6,16.7,1-5,20.0,0-0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0,5.0
Ish Wainright,2022-23,Regular,Tue 1/24,vsCHA,W128-97,6.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
Ish Wainright,2022-23,Regular,Sun 1/22,vsMEM,W112-110,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ish Wainright,2022-23,Regular,Sat 1/21,vsIND,W112-107,19.0,2-7,28.6,2-7,28.6,0-0,0.0,2.0,3.0,0.0,2.0,3.0,0.0,6.0,2.0,7.0
Ish Wainright,2022-23,Regular,Thu 1/19,vsBKN,W117-112,22.0,2-6,33.3,1-4,25.0,0-0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,4.0
