Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ivica Zubac,2022-23,Postseason,Tue 4/25,@PHX,L136-130,24.0,5-6,83.3,0-0,0.0,6-6,100.0,10.0,2.0,1.0,0.0,2.0,2.0,16.0,0.0,0.0
Ivica Zubac,2022-23,Postseason,Sat 4/22,vsPHX,L112-100,24.0,2-5,40.0,0-0,0.0,0-0,0.0,9.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0
Ivica Zubac,2022-23,Postseason,Thu 4/20,vsPHX,L129-124,22.0,3-4,75.0,0-0,0.0,0-0,0.0,8.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0
Ivica Zubac,2022-23,Postseason,Tue 4/18,@PHX,L123-109,29.0,2-7,28.6,0-0,0.0,4-6,66.7,6.0,0.0,0.0,2.0,1.0,3.0,8.0,0.0,0.0
Ivica Zubac,2022-23,Postseason,Sun 4/16,@PHX,W115-110,30.0,5-8,62.5,0-0,0.0,2-4,50.0,15.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sun 4/9,@PHX,W119-114,25.0,5-7,71.4,0-0,0.0,0-0,0.0,8.0,0.0,2.0,0.0,3.0,1.0,10.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sat 4/8,vsPOR,W136-125,23.0,6-8,75.0,0-0,0.0,2-2,100.0,10.0,1.0,1.0,0.0,2.0,0.0,14.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Wed 4/5,vsLAL,W125-118,33.0,6-10,60.0,0-0,0.0,5-6,83.3,13.0,1.0,1.0,2.0,2.0,2.0,17.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sat 4/1,@NO,L122-114,30.0,5-6,83.3,0-0,0.0,5-6,83.3,6.0,0.0,1.0,0.0,4.0,0.0,15.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Fri 3/31,@MEM,L108-94,26.0,6-10,60.0,0-0,0.0,3-5,60.0,15.0,0.0,1.0,2.0,2.0,2.0,15.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Wed 3/29,@MEM,W141-132,23.0,4-7,57.1,0-0,0.0,2-5,40.0,7.0,0.0,1.0,0.0,5.0,1.0,10.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Mon 3/27,vsCHI,W124-112,24.0,5-6,83.3,0-0,0.0,1-5,20.0,7.0,1.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sat 3/25,vsNO,L131-110,18.0,6-7,85.7,0-0,0.0,1-2,50.0,5.0,2.0,2.0,0.0,3.0,0.0,13.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Thu 3/23,vsOKC,W127-105,24.0,2-3,66.7,0-0,0.0,2-2,100.0,10.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Tue 3/21,vsOKC,L101-100,19.0,5-5,100.0,0-0,0.0,3-4,75.0,3.0,1.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sun 3/19,@POR,W117-102,34.0,7-11,63.6,0-0,0.0,0-2,0.0,10.0,2.0,0.0,1.0,1.0,0.0,14.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sat 3/18,vsORL,L113-108,27.0,7-16,43.8,0-0,0.0,2-2,100.0,16.0,0.0,2.0,0.0,2.0,2.0,16.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Wed 3/15,vsGS,W134-126,30.0,6-8,75.0,0-0,0.0,7-8,87.5,16.0,2.0,1.0,0.0,2.0,1.0,19.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Sat 3/11,vsNY,W106-95,27.0,4-6,66.7,0-0,0.0,0-0,0.0,6.0,0.0,1.0,0.0,3.0,0.0,8.0,0.0,0.0
Ivica Zubac,2022-23,Regular,Wed 3/8,vsTOR,W108-100,27.0,7-8,87.5,0-0,0.0,3-4,75.0,8.0,1.0,2.0,0.0,3.0,1.0,17.0,0.0,0.0
