Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
JT Thor,2022-23,Regular,Sun 4/9,@CLE,W106-95,31.0,2-11,18.2,1-6,16.7,0-0,0.0,6.0,3.0,0.0,0.0,0.0,2.0,5.0,1.0,6.0
JT Thor,2022-23,Regular,Fri 4/7,vsHOU,L112-109,28.0,2-6,33.3,2-4,50.0,4-4,100.0,5.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,4.0
JT Thor,2022-23,Regular,Tue 4/4,vsTOR,L120-100,34.0,4-9,44.4,3-6,50.0,2-2,100.0,7.0,1.0,2.0,0.0,2.0,2.0,13.0,3.0,6.0
JT Thor,2022-23,Regular,Sun 4/2,vsTOR,L128-108,34.0,3-7,42.9,1-2,50.0,1-2,50.0,2.0,0.0,0.0,0.0,2.0,2.0,8.0,1.0,2.0
JT Thor,2022-23,Regular,Fri 3/31,vsCHI,L121-91,28.0,3-10,30.0,2-6,33.3,2-2,100.0,3.0,0.0,0.0,0.0,1.0,4.0,10.0,2.0,6.0
JT Thor,2022-23,Regular,Tue 3/28,@OKC,W137-134,36.0,6-11,54.5,1-5,20.0,1-2,50.0,6.0,4.0,1.0,0.0,2.0,3.0,14.0,1.0,5.0
JT Thor,2022-23,Regular,Sun 3/26,vsDAL,W110-104,17.0,3-4,75.0,3-3,100.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,9.0,3.0,3.0
JT Thor,2022-23,Regular,Fri 3/24,@DAL,W117-109,18.0,4-8,50.0,2-5,40.0,2-2,100.0,3.0,1.0,2.0,3.0,2.0,1.0,12.0,2.0,5.0
JT Thor,2022-23,Regular,Thu 3/23,@NO,L115-96,27.0,3-5,60.0,2-3,66.7,1-2,50.0,3.0,0.0,2.0,1.0,3.0,4.0,9.0,2.0,3.0
JT Thor,2022-23,Regular,Mon 3/20,vsIND,W115-109,12.0,2-3,66.7,1-2,50.0,0-0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,2.0
JT Thor,2022-23,Regular,Fri 3/17,vsPHI,L121-82,25.0,4-8,50.0,1-5,20.0,0-0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,9.0,1.0,5.0
JT Thor,2022-23,Regular,Tue 3/14,vsCLE,L120-104,15.0,4-7,57.1,1-3,33.3,2-2,100.0,6.0,1.0,1.0,0.0,2.0,0.0,11.0,1.0,3.0
JT Thor,2022-23,Regular,Sun 3/12,vsCLE,L114-108,19.0,2-2,100.0,1-1,100.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
JT Thor,2022-23,Regular,Sat 3/11,vsUTAH,L119-111,11.0,1-2,50.0,1-2,50.0,0-0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
JT Thor,2022-23,Regular,Thu 3/9,@DET,W113-103,10.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
JT Thor,2022-23,Regular,Tue 3/7,@NY,W112-105,10.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0
JT Thor,2022-23,Regular,Sun 3/5,@BKN,L102-86,6.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
JT Thor,2022-23,Regular,Fri 3/3,vsORL,L117-106,15.0,1-3,33.3,0-1,0.0,0-0,0.0,1.0,2.0,0.0,3.0,4.0,0.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Wed 3/1,vsPHX,L105-91,29.0,1-8,12.5,0-2,0.0,0-0,0.0,8.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,2.0
JT Thor,2022-23,Regular,Mon 2/27,vsDET,W117-106,22.0,3-4,75.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,1.0
JT Thor,2022-23,Regular,Sat 2/25,vsMIA,W108-103,26.0,0-4,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
JT Thor,2022-23,Regular,Fri 2/24,@MIN,W121-113,8.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Wed 2/15,vsSA,W120-110,9.0,1-1,100.0,1-1,100.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
JT Thor,2022-23,Regular,Mon 2/13,vsATL,W144-138,7.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Sat 2/11,vsDEN,L119-105,16.0,0-1,0.0,0-0,0.0,0-2,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Fri 2/10,@BOS,L127-116,10.0,2-3,66.7,0-1,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0
JT Thor,2022-23,Regular,Wed 2/8,@WSH,L118-104,7.0,0-3,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Sun 2/5,vsORL,L119-113,7.0,0-1,0.0,0-1,0.0,1-4,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
JT Thor,2022-23,Regular,Fri 2/3,@DET,L118-112,11.0,2-3,66.7,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0
JT Thor,2022-23,Regular,Thu 2/2,@CHI,L114-98,9.0,2-4,50.0,1-3,33.3,0-0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,3.0
JT Thor,2022-23,Regular,Tue 1/31,@MIL,L124-115,10.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Sun 1/29,vsMIA,W122-117,12.0,1-2,50.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0
JT Thor,2022-23,Regular,Thu 1/26,vsCHI,W111-96,18.0,1-5,20.0,0-2,0.0,0-0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0
JT Thor,2022-23,Regular,Tue 1/24,@PHX,L128-97,9.0,2-2,100.0,0-0,0.0,1-1,100.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,0.0
JT Thor,2022-23,Regular,Mon 1/23,@UTAH,L120-102,17.0,0-3,0.0,0-1,0.0,2-2,100.0,4.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Sat 1/21,@ATL,W122-118,13.0,0-1,0.0,0-1,0.0,1-2,50.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0
JT Thor,2022-23,Regular,Wed 1/18,@HOU,W122-117,11.0,1-4,25.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Mon 1/16,vsBOS,L130-118,11.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JT Thor,2022-23,Regular,Sat 1/14,vsBOS,L122-106,11.0,0-2,0.0,0-2,0.0,2-3,66.7,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
JT Thor,2022-23,Regular,Thu 1/12,@TOR,L124-114,9.0,1-1,100.0,1-1,100.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0
JT Thor,2022-23,Regular,Tue 1/10,@TOR,L132-120,12.0,2-4,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0
JT Thor,2022-23,Regular,Sun 1/8,@IND,L116-111,12.0,2-3,66.7,1-2,50.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,2.0
JT Thor,2022-23,Regular,Fri 1/6,@MIL,W138-109,17.0,4-6,66.7,2-3,66.7,0-0,0.0,6.0,1.0,0.0,0.0,3.0,0.0,10.0,2.0,3.0
JT Thor,2022-23,Regular,Wed 1/4,vsMEM,L131-107,9.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
JT Thor,2022-23,Regular,Mon 1/2,vsLAL,L121-115,9.0,1-3,33.3,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0
JT Thor,2022-23,Regular,Sat 12/31,vsBKN,L123-106,16.0,1-4,25.0,1-4,25.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0
JT Thor,2022-23,Regular,Thu 12/29,vsOKC,W121-113,7.0,0-3,0.0,0-1,0.0,0-0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0
JT Thor,2022-23,Regular,Tue 12/27,@GS,L110-105,16.0,3-4,75.0,0-1,0.0,1-2,50.0,2.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0
JT Thor,2022-23,Regular,Wed 12/21,@LAC,L126-105,14.0,0-0,0.0,0-0,0.0,1-2,50.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
JT Thor,2022-23,Regular,Mon 12/19,@SAC,W125-119,8.0,1-1,100.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
JT Thor,2022-23,Regular,Sun 12/18,@DEN,L119-115,11.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
JT Thor,2022-23,Regular,Fri 12/16,vsATL,L125-106,19.0,3-8,37.5,1-4,25.0,2-2,100.0,1.0,1.0,0.0,1.0,1.0,1.0,9.0,1.0,4.0
JT Thor,2022-23,Regular,Sun 12/11,@PHI,L131-113,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
JT Thor,2022-23,Regular,Fri 12/9,vsNY,L121-102,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Wed 12/7,@BKN,L122-116,8.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Wed 11/16,vsIND,L125-113,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Sat 11/12,@MIA,L132-115,5.0,1-4,25.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Thu 11/10,@MIA,L117-112 OT,3.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JT Thor,2022-23,Regular,Wed 11/9,vsPOR,L105-95,8.0,0-1,0.0,0-1,0.0,2-2,100.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
JT Thor,2022-23,Regular,Mon 11/7,vsWSH,L108-100,10.0,1-2,50.0,0-1,0.0,1-1,100.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,1.0
JT Thor,2022-23,Regular,Sat 11/5,vsBKN,L98-94,16.0,1-4,25.0,1-3,33.3,0-0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0
JT Thor,2022-23,Regular,Fri 11/4,@MEM,L130-99,26.0,4-12,33.3,2-5,40.0,1-2,50.0,5.0,2.0,1.0,1.0,0.0,2.0,11.0,2.0,5.0
