Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Ja Morant,2022-23,Postseason,Fri 4/28,@LAL,L125-85,34.0,3-16,18.8,2-7,28.6,2-4,50.0,5.0,6.0,0.0,3.0,2.0,2.0,10.0,2.0,7.0
Ja Morant,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,38.0,13-26,50.0,2-5,40.0,3-4,75.0,10.0,7.0,0.0,1.0,2.0,2.0,31.0,2.0,5.0
Ja Morant,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,44.0,8-24,33.3,1-6,16.7,2-4,50.0,4.0,7.0,1.0,3.0,3.0,4.0,19.0,1.0,6.0
Ja Morant,2022-23,Postseason,Sat 4/22,@LAL,L111-101,42.0,13-26,50.0,6-10,60.0,13-14,92.9,9.0,13.0,0.0,0.0,2.0,3.0,45.0,6.0,10.0
Ja Morant,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,30.0,8-14,57.1,2-3,66.7,0-0,0.0,6.0,2.0,0.0,2.0,3.0,6.0,18.0,2.0,3.0
Ja Morant,2022-23,Regular,Fri 4/7,@MIL,W137-114,24.0,5-8,62.5,0-1,0.0,2-5,40.0,6.0,8.0,0.0,0.0,1.0,4.0,12.0,0.0,1.0
Ja Morant,2022-23,Regular,Tue 4/4,vsPOR,W119-109,35.0,9-15,60.0,2-6,33.3,3-4,75.0,6.0,9.0,1.0,1.0,0.0,2.0,23.0,2.0,6.0
Ja Morant,2022-23,Regular,Sun 4/2,@CHI,L128-107,34.0,7-16,43.8,2-5,40.0,1-1,100.0,10.0,10.0,0.0,0.0,1.0,5.0,17.0,2.0,5.0
Ja Morant,2022-23,Regular,Fri 3/31,vsLAC,W108-94,26.0,4-11,36.4,0-3,0.0,2-4,50.0,5.0,4.0,0.0,0.0,1.0,3.0,10.0,0.0,3.0
Ja Morant,2022-23,Regular,Wed 3/29,vsLAC,L141-132,35.0,11-28,39.3,2-9,22.2,12-12,100.0,4.0,9.0,0.0,3.0,3.0,8.0,36.0,2.0,9.0
Ja Morant,2022-23,Regular,Sun 3/26,@ATL,W123-119,29.0,9-17,52.9,0-3,0.0,9-11,81.8,3.0,6.0,0.0,1.0,3.0,1.0,27.0,0.0,3.0
Ja Morant,2022-23,Regular,Fri 3/24,vsHOU,W151-114,19.0,8-12,66.7,1-2,50.0,1-1,100.0,2.0,8.0,1.0,0.0,0.0,1.0,18.0,1.0,2.0
Ja Morant,2022-23,Regular,Wed 3/22,vsHOU,W130-125,24.0,6-13,46.2,0-2,0.0,5-6,83.3,4.0,5.0,1.0,2.0,3.0,2.0,17.0,0.0,2.0
Ja Morant,2022-23,Regular,Fri 3/3,@DEN,L113-97,33.0,8-20,40.0,2-3,66.7,9-11,81.8,4.0,10.0,0.0,2.0,2.0,3.0,27.0,2.0,3.0
Ja Morant,2022-23,Regular,Wed 3/1,@HOU,W113-99,27.0,6-12,50.0,1-2,50.0,7-10,70.0,7.0,7.0,0.0,2.0,0.0,0.0,20.0,1.0,2.0
Ja Morant,2022-23,Regular,Tue 2/28,vsLAL,W121-109,34.0,15-29,51.7,0-5,0.0,9-11,81.8,10.0,10.0,0.0,2.0,0.0,3.0,39.0,0.0,5.0
Ja Morant,2022-23,Regular,Sat 2/25,vsDEN,W112-94,24.0,9-18,50.0,1-4,25.0,4-5,80.0,7.0,4.0,0.0,1.0,2.0,4.0,23.0,1.0,4.0
Ja Morant,2022-23,Regular,Thu 2/23,@PHI,L110-105,32.0,3-16,18.8,0-2,0.0,9-10,90.0,3.0,5.0,0.0,2.0,0.0,3.0,15.0,0.0,2.0
Ja Morant,2022-23,Regular,Sun 2/19,vsLEB*,W184-175,20.0,3-4,75.0,0-0,0.0,0-0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0
Ja Morant,2022-23,Regular,Wed 2/15,vsUTAH,W117-111,34.0,8-26,30.8,1-8,12.5,3-8,37.5,8.0,9.0,0.0,2.0,2.0,2.0,20.0,1.0,8.0
Ja Morant,2022-23,Regular,Sun 2/12,@BOS,L119-109,34.0,9-18,50.0,0-4,0.0,7-11,63.6,6.0,7.0,0.0,0.0,1.0,1.0,25.0,0.0,4.0
Ja Morant,2022-23,Regular,Fri 2/10,vsMIN,W128-107,33.0,13-23,56.5,3-7,42.9,3-6,50.0,9.0,9.0,0.0,3.0,0.0,5.0,32.0,3.0,7.0
Ja Morant,2022-23,Regular,Tue 2/7,vsCHI,W104-89,35.0,12-20,60.0,4-6,66.7,6-9,66.7,6.0,7.0,0.0,1.0,2.0,3.0,34.0,4.0,6.0
Ja Morant,2022-23,Regular,Thu 2/2,@CLE,L128-113,30.0,9-20,45.0,0-1,0.0,6-6,100.0,8.0,8.0,1.0,1.0,5.0,3.0,24.0,0.0,1.0
Ja Morant,2022-23,Regular,Wed 2/1,vsPOR,L122-112,34.0,8-16,50.0,3-7,42.9,13-18,72.2,9.0,12.0,0.0,1.0,2.0,5.0,32.0,3.0,7.0
Ja Morant,2022-23,Regular,Sun 1/29,vsIND,W112-100,42.0,9-21,42.9,1-6,16.7,8-9,88.9,10.0,15.0,1.0,2.0,3.0,2.0,27.0,1.0,6.0
Ja Morant,2022-23,Regular,Fri 1/27,@MIN,L111-100,38.0,10-21,47.6,3-6,50.0,4-4,100.0,10.0,11.0,0.0,0.0,1.0,6.0,27.0,3.0,6.0
Ja Morant,2022-23,Regular,Wed 1/25,@GS,L122-120,35.0,10-20,50.0,2-7,28.6,7-12,58.3,4.0,12.0,1.0,2.0,3.0,5.0,29.0,2.0,7.0
Ja Morant,2022-23,Regular,Sun 1/22,@PHX,L112-110,37.0,9-17,52.9,1-2,50.0,8-10,80.0,5.0,8.0,0.0,1.0,1.0,3.0,27.0,1.0,2.0
Ja Morant,2022-23,Regular,Fri 1/20,@LAL,L122-121,34.0,9-29,31.0,1-6,16.7,3-5,60.0,3.0,8.0,0.0,0.0,3.0,5.0,22.0,1.0,6.0
Ja Morant,2022-23,Regular,Wed 1/18,vsCLE,W115-114,33.0,9-19,47.4,0-3,0.0,6-9,66.7,2.0,8.0,0.0,1.0,1.0,1.0,24.0,0.0,3.0
Ja Morant,2022-23,Regular,Mon 1/16,vsPHX,W136-106,27.0,11-20,55.0,5-8,62.5,2-2,100.0,2.0,7.0,0.0,1.0,1.0,1.0,29.0,5.0,8.0
Ja Morant,2022-23,Regular,Sat 1/14,@IND,W130-112,25.0,7-17,41.2,0-3,0.0,9-12,75.0,3.0,10.0,1.0,0.0,1.0,2.0,23.0,0.0,3.0
Ja Morant,2022-23,Regular,Wed 1/11,vsSA,W135-129,32.0,14-25,56.0,3-5,60.0,7-9,77.8,5.0,4.0,1.0,0.0,0.0,5.0,38.0,3.0,5.0
Ja Morant,2022-23,Regular,Thu 1/5,@ORL,W123-115,36.0,13-21,61.9,1-5,20.0,5-7,71.4,5.0,6.0,0.0,1.0,0.0,3.0,32.0,1.0,5.0
Ja Morant,2022-23,Regular,Wed 1/4,@CHA,W131-107,27.0,8-17,47.1,2-5,40.0,5-6,83.3,1.0,8.0,0.0,2.0,1.0,1.0,23.0,2.0,5.0
Ja Morant,2022-23,Regular,Sun 1/1,vsSAC,W118-108,33.0,13-23,56.5,1-5,20.0,8-10,80.0,7.0,5.0,1.0,1.0,4.0,3.0,35.0,1.0,5.0
Ja Morant,2022-23,Regular,Sat 12/31,vsNO,W116-101,31.0,13-22,59.1,0-6,0.0,6-7,85.7,3.0,8.0,0.0,2.0,0.0,4.0,32.0,0.0,6.0
Ja Morant,2022-23,Regular,Thu 12/29,@TOR,W119-106,36.0,9-19,47.4,1-4,25.0,0-0,0.0,4.0,17.0,1.0,0.0,1.0,3.0,19.0,1.0,4.0
Ja Morant,2022-23,Regular,Tue 12/27,vsPHX,L125-108,31.0,8-22,36.4,3-10,30.0,15-16,93.8,3.0,6.0,0.0,1.0,3.0,2.0,34.0,3.0,10.0
Ja Morant,2022-23,Regular,Sun 12/25,@GS,L123-109,41.0,15-29,51.7,2-10,20.0,4-7,57.1,7.0,8.0,0.0,1.0,1.0,6.0,36.0,2.0,10.0
Ja Morant,2022-23,Regular,Fri 12/23,@PHX,W125-100,28.0,4-14,28.6,0-2,0.0,4-6,66.7,5.0,11.0,0.0,0.0,1.0,3.0,12.0,0.0,2.0
Ja Morant,2022-23,Regular,Tue 12/20,@DEN,L105-91,38.0,12-26,46.2,3-6,50.0,8-10,80.0,1.0,10.0,0.0,0.0,2.0,7.0,35.0,3.0,6.0
Ja Morant,2022-23,Regular,Sat 12/17,@OKC,L115-109,16.0,3-10,30.0,0-3,0.0,0-1,0.0,5.0,2.0,0.0,0.0,1.0,2.0,6.0,0.0,3.0
Ja Morant,2022-23,Regular,Thu 12/15,vsMIL,W142-101,26.0,9-21,42.9,2-8,25.0,5-8,62.5,10.0,10.0,0.0,1.0,1.0,1.0,25.0,2.0,8.0
Ja Morant,2022-23,Regular,Fri 12/9,vsDET,W114-103,33.0,6-20,30.0,0-7,0.0,3-5,60.0,6.0,12.0,1.0,3.0,3.0,4.0,15.0,0.0,7.0
Ja Morant,2022-23,Regular,Wed 12/7,vsOKC,W123-102,30.0,8-16,50.0,2-3,66.7,8-10,80.0,13.0,11.0,0.0,2.0,2.0,3.0,26.0,2.0,3.0
Ja Morant,2022-23,Regular,Sun 12/4,@DET,W122-112,35.0,12-23,52.2,3-7,42.9,6-8,75.0,5.0,10.0,0.0,1.0,2.0,4.0,33.0,3.0,7.0
Ja Morant,2022-23,Regular,Fri 12/2,vsPHI,W117-109,36.0,10-28,35.7,2-8,25.0,6-8,75.0,8.0,3.0,0.0,0.0,3.0,1.0,28.0,2.0,8.0
Ja Morant,2022-23,Regular,Wed 11/30,@MIN,L109-101,34.0,8-20,40.0,2-4,50.0,6-11,54.5,5.0,6.0,0.0,2.0,2.0,7.0,24.0,2.0,4.0
Ja Morant,2022-23,Regular,Sun 11/27,@NY,W127-123,35.0,9-20,45.0,0-3,0.0,9-11,81.8,10.0,14.0,0.0,1.0,3.0,4.0,27.0,0.0,3.0
Ja Morant,2022-23,Regular,Fri 11/25,vsNO,W132-111,28.0,8-16,50.0,2-6,33.3,5-10,50.0,4.0,11.0,0.0,0.0,1.0,2.0,23.0,2.0,6.0
Ja Morant,2022-23,Regular,Tue 11/22,vsSAC,L113-109,34.0,12-21,57.1,1-3,33.3,9-15,60.0,7.0,6.0,0.0,2.0,2.0,5.0,34.0,1.0,3.0
Ja Morant,2022-23,Regular,Fri 11/18,vsOKC,W121-110,32.0,5-20,25.0,0-2,0.0,9-10,90.0,7.0,11.0,1.0,0.0,1.0,2.0,19.0,0.0,2.0
Ja Morant,2022-23,Regular,Tue 11/15,@NO,L113-102,36.0,13-27,48.1,2-6,33.3,8-11,72.7,8.0,4.0,0.0,3.0,1.0,3.0,36.0,2.0,6.0
Ja Morant,2022-23,Regular,Fri 11/11,vsMIN,W114-103,34.0,11-25,44.0,2-10,20.0,4-7,57.1,10.0,8.0,0.0,2.0,4.0,4.0,28.0,2.0,10.0
Ja Morant,2022-23,Regular,Wed 11/9,@SA,W124-122 OT,40.0,14-25,56.0,2-5,40.0,2-3,66.7,5.0,5.0,0.0,1.0,1.0,3.0,32.0,2.0,5.0
Ja Morant,2022-23,Regular,Mon 11/7,vsBOS,L109-106,35.0,10-24,41.7,5-12,41.7,5-9,55.6,8.0,9.0,1.0,2.0,4.0,4.0,30.0,5.0,12.0
Ja Morant,2022-23,Regular,Sun 11/6,vsWSH,W103-97,33.0,9-27,33.3,1-4,25.0,4-6,66.7,9.0,6.0,0.0,1.0,0.0,4.0,23.0,1.0,4.0
Ja Morant,2022-23,Regular,Fri 11/4,vsCHA,W130-99,25.0,4-12,33.3,1-3,33.3,3-4,75.0,4.0,11.0,0.0,0.0,0.0,5.0,12.0,1.0,3.0
Ja Morant,2022-23,Regular,Wed 11/2,@POR,W111-106,32.0,7-19,36.8,0-2,0.0,6-7,85.7,9.0,7.0,0.0,2.0,1.0,8.0,20.0,0.0,2.0
Ja Morant,2022-23,Regular,Mon 10/31,@UTAH,L121-105,31.0,12-18,66.7,1-2,50.0,12-15,80.0,5.0,4.0,0.0,0.0,2.0,3.0,37.0,1.0,2.0
Ja Morant,2022-23,Regular,Thu 10/27,@SAC,W125-110,32.0,8-18,44.4,1-3,33.3,5-5,100.0,5.0,6.0,0.0,0.0,1.0,3.0,22.0,1.0,3.0
Ja Morant,2022-23,Regular,Mon 10/24,vsBKN,W134-124,34.0,12-22,54.5,4-6,66.7,10-11,90.9,8.0,7.0,0.0,2.0,1.0,2.0,38.0,4.0,6.0
Ja Morant,2022-23,Regular,Sat 10/22,@DAL,L137-96,30.0,6-12,50.0,0-2,0.0,8-8,100.0,1.0,4.0,0.0,1.0,3.0,3.0,20.0,0.0,2.0
Ja Morant,2022-23,Regular,Fri 10/21,@HOU,W129-122,31.0,17-26,65.4,5-6,83.3,10-13,76.9,4.0,8.0,2.0,1.0,2.0,3.0,49.0,5.0,6.0
Ja Morant,2022-23,Regular,Wed 10/19,vsNY,W115-112 OT,38.0,11-24,45.8,3-6,50.0,9-11,81.8,4.0,9.0,1.0,0.0,4.0,6.0,34.0,3.0,6.0
Ja Morant,2022-23,Preseason,Thu 10/13,@DET,W126-111,25.0,12-21,57.1,1-2,50.0,6-8,75.0,8.0,4.0,2.0,1.0,1.0,2.0,31.0,1.0,2.0
Ja Morant,2022-23,Preseason,Tue 10/11,@ORL,L109-105,32.0,8-24,33.3,0-6,0.0,7-10,70.0,4.0,4.0,0.0,1.0,1.0,1.0,23.0,0.0,6.0
Ja Morant,2022-23,Preseason,Fri 10/7,vsMIA,L111-108,26.0,5-11,45.5,1-3,33.3,6-9,66.7,5.0,4.0,0.0,2.0,1.0,3.0,17.0,1.0,3.0
Ja Morant,2022-23,Preseason,Mon 10/3,vsORL,W109-97,22.0,7-11,63.6,1-2,50.0,7-10,70.0,4.0,7.0,1.0,3.0,0.0,4.0,22.0,1.0,2.0
