Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaden Hardy,2022-23,Regular,Sun 4/9,vsSA,L138-117,28.0,11-23,47.8,1-7,14.3,2-2,100.0,5.0,5.0,0.0,0.0,1.0,0.0,25.0,1.0,7.0
Jaden Hardy,2022-23,Regular,Fri 4/7,vsCHI,L115-112,16.0,3-9,33.3,3-7,42.9,0-0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,3.0,7.0
Jaden Hardy,2022-23,Regular,Wed 4/5,vsSAC,W123-119,14.0,2-4,50.0,0-1,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0
Jaden Hardy,2022-23,Regular,Sun 4/2,@ATL,L132-130 OT,14.0,1-1,100.0,0-0,0.0,0-2,0.0,3.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Jaden Hardy,2022-23,Regular,Sat 4/1,@MIA,L129-122,6.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0
Jaden Hardy,2022-23,Regular,Wed 3/29,@PHI,L116-108,18.0,2-7,28.6,2-4,50.0,2-2,100.0,2.0,4.0,1.0,0.0,1.0,0.0,8.0,2.0,4.0
Jaden Hardy,2022-23,Regular,Mon 3/27,@IND,W127-104,24.0,8-12,66.7,4-6,66.7,0-0,0.0,4.0,4.0,0.0,3.0,2.0,4.0,20.0,4.0,6.0
Jaden Hardy,2022-23,Regular,Sun 3/26,@CHA,L110-104,13.0,1-3,33.3,1-1,100.0,0-0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0
Jaden Hardy,2022-23,Regular,Fri 3/24,vsCHA,L117-109,20.0,3-8,37.5,2-4,50.0,0-0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,8.0,2.0,4.0
Jaden Hardy,2022-23,Regular,Wed 3/22,vsGS,L127-125,25.0,10-18,55.6,6-9,66.7,1-2,50.0,5.0,1.0,1.0,1.0,2.0,0.0,27.0,6.0,9.0
Jaden Hardy,2022-23,Regular,Mon 3/20,@MEM,L112-108,19.0,7-13,53.8,4-8,50.0,2-2,100.0,3.0,4.0,0.0,1.0,4.0,1.0,20.0,4.0,8.0
