Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaden McDaniels,2022-23,Regular,Sun 4/9,vsNO,W113-108,9.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0
Jaden McDaniels,2022-23,Regular,Sat 4/8,@SA,W151-131,26.0,6-8,75.0,4-5,80.0,0-0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,16.0,4.0,5.0
Jaden McDaniels,2022-23,Regular,Tue 4/4,@BKN,W107-102,41.0,7-13,53.8,1-3,33.3,0-1,0.0,6.0,0.0,1.0,3.0,0.0,1.0,15.0,1.0,3.0
Jaden McDaniels,2022-23,Regular,Sun 4/2,vsPOR,L107-105,36.0,4-7,57.1,2-4,50.0,0-0,0.0,3.0,1.0,4.0,2.0,1.0,4.0,10.0,2.0,4.0
Jaden McDaniels,2022-23,Regular,Fri 3/31,vsLAL,L123-111,37.0,6-14,42.9,3-6,50.0,0-0,0.0,5.0,2.0,1.0,1.0,4.0,5.0,15.0,3.0,6.0
Jaden McDaniels,2022-23,Regular,Wed 3/29,@PHX,L107-100,25.0,3-8,37.5,0-2,0.0,0-0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,2.0
Jaden McDaniels,2022-23,Regular,Mon 3/27,@SAC,W119-115,39.0,8-15,53.3,1-4,25.0,3-4,75.0,3.0,2.0,0.0,2.0,5.0,0.0,20.0,1.0,4.0
Jaden McDaniels,2022-23,Regular,Sun 3/26,@GS,W99-96,10.0,0-2,0.0,0-1,0.0,1-4,25.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,1.0
Jaden McDaniels,2022-23,Regular,Wed 3/22,vsATL,W125-124,36.0,9-17,52.9,1-3,33.3,6-7,85.7,6.0,4.0,2.0,0.0,4.0,0.0,25.0,1.0,3.0
Jaden McDaniels,2022-23,Regular,Mon 3/20,@NY,W140-134,26.0,6-12,50.0,2-3,66.7,4-4,100.0,4.0,0.0,0.0,0.0,4.0,4.0,18.0,2.0,3.0
Jaden McDaniels,2022-23,Regular,Sat 3/18,@TOR,L122-107,31.0,6-14,42.9,4-6,66.7,2-2,100.0,6.0,1.0,1.0,0.0,4.0,0.0,18.0,4.0,6.0
Jaden McDaniels,2022-23,Regular,Fri 3/17,@CHI,L139-131 2OT,45.0,7-15,46.7,4-9,44.4,7-8,87.5,6.0,4.0,0.0,1.0,3.0,1.0,25.0,4.0,9.0
Jaden McDaniels,2022-23,Regular,Wed 3/15,vsBOS,L104-102,33.0,5-12,41.7,2-7,28.6,2-2,100.0,5.0,1.0,0.0,1.0,4.0,1.0,14.0,2.0,7.0
Jaden McDaniels,2022-23,Regular,Mon 3/13,@ATL,W136-115,26.0,8-10,80.0,1-1,100.0,2-2,100.0,1.0,0.0,2.0,1.0,4.0,0.0,19.0,1.0,1.0
Jaden McDaniels,2022-23,Regular,Fri 3/10,vsBKN,L124-123 OT,36.0,6-10,60.0,0-2,0.0,3-7,42.9,3.0,3.0,1.0,0.0,5.0,2.0,15.0,0.0,2.0
Jaden McDaniels,2022-23,Regular,Tue 3/7,vsPHI,L117-94,26.0,1-6,16.7,1-4,25.0,0-0,0.0,3.0,1.0,3.0,0.0,3.0,1.0,3.0,1.0,4.0
Jaden McDaniels,2022-23,Regular,Sat 3/4,@SAC,W138-134,34.0,8-11,72.7,3-5,60.0,0-0,0.0,4.0,2.0,1.0,1.0,4.0,2.0,19.0,3.0,5.0
Jaden McDaniels,2022-23,Regular,Fri 3/3,@LAL,W110-102,33.0,4-10,40.0,1-3,33.3,0-0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,9.0,1.0,3.0
Jaden McDaniels,2022-23,Regular,Tue 2/28,@LAC,W108-101,35.0,8-12,66.7,2-5,40.0,2-2,100.0,6.0,2.0,1.0,1.0,1.0,2.0,20.0,2.0,5.0
Jaden McDaniels,2022-23,Regular,Sun 2/26,@GS,L109-104,33.0,5-9,55.6,2-4,50.0,0-0,0.0,3.0,1.0,0.0,3.0,4.0,1.0,12.0,2.0,4.0
Jaden McDaniels,2022-23,Regular,Fri 2/24,vsCHA,L121-113,30.0,5-9,55.6,1-4,25.0,0-1,0.0,5.0,2.0,1.0,1.0,4.0,1.0,11.0,1.0,4.0
Jaden McDaniels,2022-23,Regular,Thu 2/16,vsWSH,L114-106,33.0,5-10,50.0,3-5,60.0,2-2,100.0,8.0,1.0,0.0,0.0,4.0,2.0,15.0,3.0,5.0
Jaden McDaniels,2022-23,Regular,Mon 2/13,@DAL,W124-121,31.0,7-8,87.5,2-3,66.7,3-7,42.9,4.0,2.0,1.0,2.0,4.0,1.0,19.0,2.0,3.0
Jaden McDaniels,2022-23,Regular,Fri 2/10,@MEM,L128-107,23.0,2-10,20.0,2-5,40.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,6.0,2.0,5.0
Jaden McDaniels,2022-23,Regular,Wed 2/8,@UTAH,W143-118,25.0,5-7,71.4,2-4,50.0,2-2,100.0,4.0,4.0,1.0,0.0,4.0,2.0,14.0,2.0,4.0
Jaden McDaniels,2022-23,Regular,Tue 2/7,@DEN,L146-112,20.0,2-6,33.3,0-4,0.0,0-0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,0.0,4.0
Jaden McDaniels,2022-23,Regular,Sun 2/5,vsDEN,W128-98,32.0,5-10,50.0,0-0,0.0,4-4,100.0,4.0,6.0,0.0,1.0,4.0,0.0,14.0,0.0,0.0
Jaden McDaniels,2022-23,Regular,Fri 2/3,vsORL,L127-120,23.0,3-6,50.0,1-1,100.0,1-1,100.0,3.0,1.0,2.0,0.0,1.0,2.0,8.0,1.0,1.0
Jaden McDaniels,2022-23,Regular,Wed 2/1,vsGS,W119-114 OT,38.0,3-8,37.5,0-2,0.0,3-4,75.0,7.0,3.0,2.0,1.0,5.0,0.0,9.0,0.0,2.0
Jaden McDaniels,2022-23,Regular,Mon 1/30,vsSAC,L118-111 OT,33.0,4-8,50.0,1-4,25.0,2-3,66.7,3.0,4.0,0.0,0.0,3.0,0.0,11.0,1.0,4.0
Jaden McDaniels,2022-23,Regular,Sat 1/28,vsSAC,W117-110,35.0,6-12,50.0,3-7,42.9,0-0,0.0,8.0,2.0,0.0,0.0,5.0,4.0,15.0,3.0,7.0
Jaden McDaniels,2022-23,Regular,Fri 1/27,vsMEM,W111-100,31.0,4-10,40.0,0-4,0.0,0-0,0.0,6.0,3.0,0.0,0.0,1.0,1.0,8.0,0.0,4.0
Jaden McDaniels,2022-23,Regular,Wed 1/25,@NO,W111-102,34.0,4-7,57.1,2-4,50.0,0-0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,10.0,2.0,4.0
Jaden McDaniels,2022-23,Regular,Mon 1/23,@HOU,L119-114,35.0,4-11,36.4,1-6,16.7,1-2,50.0,4.0,1.0,0.0,0.0,6.0,2.0,10.0,1.0,6.0
Jaden McDaniels,2022-23,Regular,Sat 1/21,vsHOU,W113-104,31.0,2-5,40.0,0-2,0.0,1-3,33.3,2.0,0.0,2.0,1.0,2.0,1.0,5.0,0.0,2.0
Jaden McDaniels,2022-23,Regular,Thu 1/19,vsTOR,W128-126,37.0,7-14,50.0,4-7,57.1,0-0,0.0,7.0,1.0,1.0,1.0,4.0,0.0,18.0,4.0,7.0
Jaden McDaniels,2022-23,Regular,Wed 1/18,@DEN,L122-118,34.0,7-10,70.0,2-3,66.7,2-2,100.0,3.0,2.0,3.0,0.0,3.0,3.0,18.0,2.0,3.0
Jaden McDaniels,2022-23,Regular,Mon 1/16,vsUTAH,L126-125,21.0,2-8,25.0,1-3,33.3,0-0,0.0,5.0,2.0,0.0,2.0,5.0,1.0,5.0,1.0,3.0
Jaden McDaniels,2022-23,Regular,Sat 1/14,vsCLE,W110-102,28.0,4-7,57.1,1-3,33.3,0-0,0.0,0.0,2.0,1.0,4.0,5.0,2.0,9.0,1.0,3.0
Jaden McDaniels,2022-23,Regular,Fri 1/13,vsPHX,W121-116,36.0,5-10,50.0,2-2,100.0,2-2,100.0,5.0,6.0,1.0,1.0,2.0,0.0,14.0,2.0,2.0
Jaden McDaniels,2022-23,Regular,Wed 1/11,@DET,L135-118,29.0,4-7,57.1,1-2,50.0,2-2,100.0,3.0,4.0,0.0,0.0,2.0,3.0,11.0,1.0,2.0
Jaden McDaniels,2022-23,Regular,Sun 1/8,@HOU,W104-96,31.0,5-9,55.6,1-4,25.0,1-3,33.3,9.0,3.0,0.0,2.0,2.0,2.0,12.0,1.0,4.0
Jaden McDaniels,2022-23,Regular,Fri 1/6,vsLAC,W128-115,33.0,6-10,60.0,3-6,50.0,3-4,75.0,4.0,3.0,1.0,0.0,1.0,1.0,18.0,3.0,6.0
Jaden McDaniels,2022-23,Regular,Wed 1/4,vsPOR,W113-106,28.0,2-7,28.6,0-1,0.0,4-5,80.0,2.0,1.0,2.0,0.0,5.0,2.0,8.0,0.0,1.0
Jaden McDaniels,2022-23,Regular,Mon 1/2,vsDEN,W124-111,25.0,9-10,90.0,2-2,100.0,1-2,50.0,4.0,4.0,1.0,1.0,4.0,2.0,21.0,2.0,2.0
