Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jae'Sean Tate,2022-23,Regular,Sun 3/19,vsNO,L117-107,22.0,1-4,25.0,0-0,0.0,0-0,0.0,1.0,4.0,0.0,2.0,4.0,2.0,2.0,0.0,0.0
Jae'Sean Tate,2022-23,Regular,Fri 3/17,vsNO,W114-112,21.0,4-6,66.7,1-2,50.0,3-5,60.0,6.0,5.0,1.0,0.0,1.0,0.0,12.0,1.0,2.0
Jae'Sean Tate,2022-23,Regular,Wed 3/15,vsLAL,W114-110,21.0,6-7,85.7,0-1,0.0,1-1,100.0,4.0,4.0,0.0,0.0,5.0,2.0,13.0,0.0,1.0
Jae'Sean Tate,2022-23,Regular,Mon 3/13,vsBOS,W111-109,24.0,4-10,40.0,0-3,0.0,3-4,75.0,2.0,2.0,0.0,2.0,6.0,3.0,11.0,0.0,3.0
Jae'Sean Tate,2022-23,Regular,Sat 3/11,vsCHI,L119-111,23.0,3-10,30.0,1-3,33.3,2-2,100.0,5.0,6.0,0.0,1.0,2.0,3.0,9.0,1.0,3.0
Jae'Sean Tate,2022-23,Regular,Thu 3/9,@IND,L134-125 OT,29.0,5-11,45.5,0-1,0.0,3-4,75.0,8.0,3.0,1.0,0.0,6.0,0.0,13.0,0.0,1.0
Jae'Sean Tate,2022-23,Regular,Tue 3/7,vsBKN,L118-96,22.0,4-7,57.1,1-2,50.0,2-2,100.0,5.0,1.0,0.0,1.0,4.0,2.0,11.0,1.0,2.0
Jae'Sean Tate,2022-23,Regular,Sun 3/5,vsSA,W142-110,23.0,5-7,71.4,1-1,100.0,5-5,100.0,2.0,1.0,1.0,1.0,2.0,0.0,16.0,1.0,1.0
Jae'Sean Tate,2022-23,Regular,Wed 3/1,vsMEM,L113-99,18.0,4-9,44.4,0-2,0.0,3-4,75.0,3.0,1.0,0.0,0.0,3.0,0.0,11.0,0.0,2.0
Jae'Sean Tate,2022-23,Regular,Sun 2/26,@POR,L131-114,25.0,7-11,63.6,0-2,0.0,3-4,75.0,2.0,2.0,0.0,0.0,5.0,1.0,17.0,0.0,2.0
Jae'Sean Tate,2022-23,Regular,Fri 2/24,@GS,L116-101,28.0,6-12,50.0,1-3,33.3,1-1,100.0,3.0,4.0,0.0,3.0,3.0,1.0,14.0,1.0,3.0
Jae'Sean Tate,2022-23,Regular,Wed 2/15,@OKC,L133-96,19.0,4-7,57.1,1-2,50.0,2-5,40.0,2.0,1.0,0.0,0.0,4.0,2.0,11.0,1.0,2.0
