Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jake LaRavia,2022-23,Regular,Sun 4/2,@CHI,L128-107,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Wed 3/29,vsLAC,L141-132,22.0,2-4,50.0,2-4,50.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,4.0
Jake LaRavia,2022-23,Regular,Sat 3/18,vsGS,W133-119,3.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Fri 3/3,@DEN,L113-97,3.0,1-2,50.0,1-2,50.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0
Jake LaRavia,2022-23,Regular,Sat 2/25,vsDEN,W112-94,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jake LaRavia,2022-23,Regular,Fri 2/10,vsMIN,W128-107,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Thu 2/2,@CLE,L128-113,7.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Sun 1/29,vsIND,W112-100,5.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Fri 1/27,@MIN,L111-100,13.0,2-3,66.7,1-2,50.0,1-2,50.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0
Jake LaRavia,2022-23,Regular,Mon 1/23,@SAC,L133-100,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Mon 1/16,vsPHX,W136-106,4.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Sat 1/14,@IND,W130-112,14.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,3.0,1.0,0.0,4.0,2.0,5.0,1.0,3.0
Jake LaRavia,2022-23,Regular,Sun 1/1,vsSAC,W118-108,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Sat 12/31,vsNO,W116-101,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Tue 12/27,vsPHX,L125-108,7.0,0-1,0.0,0-1,0.0,1-2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Jake LaRavia,2022-23,Regular,Fri 12/23,@PHX,W125-100,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Tue 12/20,@DEN,L105-91,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Thu 12/15,vsMIL,W142-101,12.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
Jake LaRavia,2022-23,Regular,Mon 12/12,vsATL,W128-103,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Sun 11/27,@NY,W127-123,15.0,2-2,100.0,2-2,100.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,2.0,6.0,2.0,2.0
Jake LaRavia,2022-23,Regular,Fri 11/25,vsNO,W132-111,26.0,1-5,20.0,1-4,25.0,0-0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0,4.0
Jake LaRavia,2022-23,Regular,Tue 11/22,vsSAC,L113-109,10.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Jake LaRavia,2022-23,Regular,Sun 11/20,@BKN,L127-115,29.0,4-12,33.3,3-9,33.3,0-0,0.0,4.0,3.0,0.0,1.0,1.0,2.0,11.0,3.0,9.0
Jake LaRavia,2022-23,Regular,Fri 11/18,vsOKC,W121-110,9.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Sun 11/13,@WSH,L102-92,26.0,1-5,20.0,0-2,0.0,0-0,0.0,5.0,3.0,1.0,1.0,2.0,3.0,2.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Fri 11/11,vsMIN,W114-103,12.0,0-4,0.0,0-4,0.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0
Jake LaRavia,2022-23,Regular,Wed 11/9,@SA,W124-122 OT,17.0,3-4,75.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.0,0.0,1.0
Jake LaRavia,2022-23,Regular,Mon 11/7,vsBOS,L109-106,25.0,2-4,50.0,2-4,50.0,0-0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,6.0,2.0,4.0
Jake LaRavia,2022-23,Regular,Sun 11/6,vsWSH,W103-97,16.0,2-3,66.7,2-3,66.7,0-0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0
Jake LaRavia,2022-23,Regular,Fri 11/4,vsCHA,W130-99,19.0,1-4,25.0,0-2,0.0,2-2,100.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0
Jake LaRavia,2022-23,Regular,Thu 10/27,@SAC,W125-110,30.0,5-6,83.3,3-4,75.0,0-0,0.0,9.0,1.0,0.0,1.0,5.0,0.0,13.0,3.0,4.0
Jake LaRavia,2022-23,Regular,Mon 10/24,vsBKN,W134-124,11.0,0-2,0.0,0-0,0.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Jake LaRavia,2022-23,Regular,Sat 10/22,@DAL,L137-96,22.0,2-6,33.3,2-5,40.0,0-0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,6.0,2.0,5.0
Jake LaRavia,2022-23,Regular,Fri 10/21,@HOU,W129-122,15.0,4-7,57.1,3-4,75.0,1-1,100.0,5.0,0.0,1.0,0.0,3.0,1.0,12.0,3.0,4.0
Jake LaRavia,2022-23,Regular,Wed 10/19,vsNY,W115-112 OT,13.0,1-2,50.0,1-2,50.0,2-2,100.0,2.0,1.0,1.0,1.0,2.0,0.0,5.0,1.0,2.0
Jake LaRavia,2022-23,Preseason,Thu 10/13,@DET,W126-111,23.0,3-8,37.5,1-6,16.7,3-5,60.0,3.0,3.0,1.0,1.0,1.0,0.0,10.0,1.0,6.0
Jake LaRavia,2022-23,Preseason,Tue 10/11,@ORL,L109-105,16.0,2-5,40.0,1-4,25.0,0-0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,5.0,1.0,4.0
Jake LaRavia,2022-23,Preseason,Mon 10/3,vsORL,W109-97,21.0,2-7,28.6,1-6,16.7,0-0,0.0,4.0,0.0,1.0,1.0,3.0,2.0,5.0,1.0,6.0
Jake LaRavia,2022-23,Preseason,Sat 10/1,@MIL,W107-102,25.0,4-8,50.0,1-4,25.0,6-8,75.0,2.0,2.0,0.0,1.0,3.0,4.0,15.0,1.0,4.0
