Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jakob Poeltl,2022-23,Regular,Sun 4/9,vsMIL,W121-105,11.0,3-6,50.0,0-0,0.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 4/7,@BOS,L121-102,21.0,1-3,33.3,0-0,0.0,1-2,50.0,7.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 4/5,@BOS,L97-93,23.0,5-8,62.5,0-0,0.0,0-2,0.0,7.0,2.0,0.0,1.0,2.0,2.0,10.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 4/4,@CHA,W120-100,22.0,5-9,55.6,0-0,0.0,0-0,0.0,9.0,3.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sun 4/2,@CHA,W128-108,30.0,8-12,66.7,0-0,0.0,0-0,0.0,9.0,3.0,4.0,1.0,3.0,1.0,16.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 3/31,@PHI,L117-110,33.0,6-8,75.0,0-0,0.0,2-4,50.0,10.0,2.0,0.0,0.0,2.0,2.0,14.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 3/28,vsMIA,W106-92,23.0,1-5,20.0,0-0,0.0,0-0,0.0,10.0,1.0,1.0,0.0,4.0,0.0,2.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sun 3/26,vsWSH,W114-104,26.0,6-9,66.7,0-0,0.0,0-0,0.0,12.0,1.0,0.0,1.0,2.0,3.0,12.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 3/24,vsDET,W118-97,28.0,1-2,50.0,0-0,0.0,2-2,100.0,11.0,1.0,2.0,2.0,3.0,1.0,4.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 3/22,vsIND,L118-114,36.0,10-12,83.3,0-0,0.0,3-9,33.3,8.0,1.0,2.0,2.0,3.0,1.0,23.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sun 3/19,@MIL,L118-111,31.0,10-18,55.6,0-0,0.0,0-0,0.0,6.0,0.0,2.0,0.0,5.0,1.0,20.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sat 3/18,vsMIN,W122-107,25.0,7-8,87.5,0-0,0.0,0-0,0.0,11.0,2.0,0.0,0.0,5.0,2.0,14.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Thu 3/16,vsOKC,W128-111,29.0,4-11,36.4,0-0,0.0,8-10,80.0,12.0,4.0,1.0,0.0,3.0,0.0,16.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 3/14,vsDEN,W125-110,27.0,5-6,83.3,0-0,0.0,2-2,100.0,11.0,5.0,2.0,1.0,4.0,1.0,12.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 3/10,@LAL,L122-112,33.0,8-17,47.1,0-0,0.0,1-2,50.0,10.0,4.0,1.0,3.0,2.0,0.0,17.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 3/8,@LAC,L108-100,30.0,4-8,50.0,0-0,0.0,0-0,0.0,11.0,2.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Mon 3/6,@DEN,L118-113,32.0,9-13,69.2,0-0,0.0,0-2,0.0,9.0,4.0,1.0,1.0,3.0,2.0,18.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sat 3/4,@WSH,W116-109 OT,24.0,6-8,75.0,0-0,0.0,2-3,66.7,5.0,0.0,0.0,1.0,4.0,2.0,14.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Thu 3/2,@WSH,L119-108,32.0,8-9,88.9,0-0,0.0,7-7,100.0,13.0,4.0,2.0,3.0,3.0,1.0,23.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 2/28,vsCHI,W104-98,26.0,6-9,66.7,0-0,0.0,2-4,50.0,3.0,2.0,2.0,3.0,0.0,1.0,14.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sun 2/26,@CLE,L118-93,27.0,5-6,83.3,0-0,0.0,3-3,100.0,9.0,3.0,1.0,2.0,0.0,0.0,13.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sat 2/25,@DET,W95-91,27.0,3-8,37.5,0-0,0.0,3-6,50.0,14.0,4.0,1.0,2.0,1.0,0.0,9.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Thu 2/23,vsNO,W115-110,30.0,9-11,81.8,0-0,0.0,3-7,42.9,18.0,2.0,1.0,3.0,5.0,0.0,21.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 2/14,vsORL,W123-113,37.0,15-17,88.2,0-0,0.0,0-0,0.0,9.0,2.0,6.0,1.0,5.0,2.0,30.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sun 2/12,vsDET,W119-118,25.0,3-5,60.0,0-0,0.0,0-0,0.0,5.0,1.0,3.0,2.0,6.0,0.0,6.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 2/10,vsUTAH,L122-116,17.0,2-2,100.0,0-0,0.0,2-7,28.6,4.0,2.0,0.0,0.0,5.0,3.0,6.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 2/8,@TOR,L112-98,28.0,4-11,36.4,0-0,0.0,4-4,100.0,7.0,3.0,0.0,2.0,3.0,2.0,12.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Mon 2/6,@CHI,L128-104,30.0,6-11,54.5,0-1,0.0,2-3,66.7,9.0,4.0,2.0,0.0,2.0,3.0,14.0,0.0,1.0
Jakob Poeltl,2022-23,Regular,Fri 2/3,vsPHI,L137-125,24.0,8-11,72.7,0-0,0.0,0-0,0.0,10.0,5.0,0.0,0.0,3.0,3.0,16.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 2/1,vsSAC,L119-109,29.0,9-13,69.2,0-0,0.0,0-0,0.0,12.0,3.0,1.0,1.0,3.0,5.0,18.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Mon 1/30,vsWSH,L127-106,22.0,2-5,40.0,0-0,0.0,3-4,75.0,5.0,2.0,1.0,0.0,2.0,2.0,7.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Sat 1/28,vsPHX,L128-118 OT,33.0,4-8,50.0,0-0,0.0,0-0,0.0,13.0,6.0,3.0,0.0,3.0,4.0,8.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Thu 1/26,@LAC,L138-100,22.0,5-9,55.6,0-0,0.0,0-2,0.0,2.0,3.0,0.0,0.0,2.0,1.0,10.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Wed 1/25,@LAL,L113-104,23.0,1-4,25.0,0-0,0.0,3-4,75.0,8.0,4.0,0.0,1.0,2.0,1.0,5.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Mon 1/23,@POR,L147-127,16.0,6-8,75.0,0-0,0.0,2-2,100.0,7.0,2.0,0.0,1.0,5.0,1.0,14.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Fri 1/20,vsLAC,L131-126,24.0,5-10,50.0,0-0,0.0,1-2,50.0,6.0,4.0,0.0,1.0,1.0,1.0,11.0,0.0,0.0
Jakob Poeltl,2022-23,Regular,Tue 1/17,vsBKN,W106-98,22.0,5-7,71.4,0-0,0.0,2-4,50.0,7.0,3.0,2.0,1.0,4.0,2.0,12.0,0.0,0.0
