Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jalen Duren,2022-23,Regular,Sun 4/9,@CHI,L103-81,35.0,2-5,40.0,0-0,0.0,0-0,0.0,18.0,0.0,1.0,0.0,2.0,6.0,4.0,0.0,0.0
Jalen Duren,2022-23,Regular,Fri 4/7,@IND,W122-115,23.0,5-6,83.3,0-0,0.0,0-0,0.0,10.0,0.0,2.0,1.0,5.0,4.0,10.0,0.0,0.0
Jalen Duren,2022-23,Regular,Wed 4/5,vsBKN,L123-108,35.0,9-11,81.8,0-0,0.0,0-0,0.0,8.0,2.0,0.0,1.0,3.0,2.0,18.0,0.0,0.0
Jalen Duren,2022-23,Regular,Tue 4/4,vsMIA,L118-105,36.0,7-8,87.5,0-0,0.0,6-7,85.7,14.0,1.0,1.0,1.0,3.0,2.0,20.0,0.0,0.0
Jalen Duren,2022-23,Regular,Sun 4/2,@ORL,L128-102,22.0,3-6,50.0,0-0,0.0,1-2,50.0,7.0,0.0,0.0,1.0,3.0,1.0,7.0,0.0,0.0
Jalen Duren,2022-23,Regular,Fri 3/31,@HOU,L121-115,25.0,4-7,57.1,0-0,0.0,3-8,37.5,10.0,0.0,1.0,2.0,4.0,1.0,11.0,0.0,0.0
Jalen Duren,2022-23,Regular,Wed 3/29,@OKC,L107-106,19.0,4-4,100.0,0-0,0.0,2-4,50.0,6.0,0.0,1.0,0.0,3.0,1.0,10.0,0.0,0.0
Jalen Duren,2022-23,Regular,Mon 3/27,vsMIL,L126-117,28.0,8-11,72.7,0-0,0.0,2-4,50.0,10.0,3.0,0.0,1.0,4.0,1.0,18.0,0.0,0.0
Jalen Duren,2022-23,Regular,Fri 3/24,@TOR,L118-97,25.0,3-4,75.0,0-0,0.0,3-4,75.0,5.0,4.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0
Jalen Duren,2022-23,Regular,Sun 3/19,vsMIA,L112-100,9.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0
Jalen Duren,2022-23,Regular,Thu 3/16,vsDEN,L119-100,27.0,7-10,70.0,0-1,0.0,1-4,25.0,13.0,4.0,0.0,3.0,3.0,3.0,15.0,0.0,1.0
Jalen Duren,2022-23,Regular,Tue 3/14,@WSH,L117-97,18.0,4-8,50.0,0-0,0.0,1-1,100.0,8.0,0.0,1.0,0.0,4.0,1.0,9.0,0.0,0.0
Jalen Duren,2022-23,Regular,Mon 3/13,vsIND,W117-97,24.0,6-11,54.5,0-0,0.0,0-0,0.0,11.0,3.0,2.0,1.0,1.0,2.0,12.0,0.0,0.0
Jalen Duren,2022-23,Regular,Sat 3/11,vsIND,L121-115,20.0,4-8,50.0,0-0,0.0,8-10,80.0,11.0,1.0,2.0,0.0,3.0,0.0,16.0,0.0,0.0
Jalen Duren,2022-23,Regular,Thu 3/9,vsCHA,L113-103,21.0,4-8,50.0,0-0,0.0,0-0,0.0,9.0,2.0,1.0,0.0,1.0,4.0,8.0,0.0,0.0
