Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jalen Green,2022-23,Regular,Sun 4/9,@WSH,W114-109,27.0,5-11,45.5,1-3,33.3,3-4,75.0,2.0,4.0,0.0,1.0,0.0,0.0,14.0,1.0,3.0
Jalen Green,2022-23,Regular,Fri 4/7,@CHA,W112-109,39.0,9-22,40.9,3-8,37.5,5-7,71.4,3.0,6.0,0.0,1.0,1.0,3.0,26.0,3.0,8.0
Jalen Green,2022-23,Regular,Tue 4/4,vsDEN,W124-103,39.0,12-27,44.4,4-8,50.0,4-4,100.0,6.0,4.0,0.0,1.0,0.0,3.0,32.0,4.0,8.0
Jalen Green,2022-23,Regular,Sun 4/2,vsLAL,L134-109,40.0,7-21,33.3,2-7,28.6,8-8,100.0,3.0,7.0,0.0,0.0,3.0,2.0,24.0,2.0,7.0
Jalen Green,2022-23,Regular,Fri 3/31,vsDET,W121-115,37.0,10-18,55.6,2-5,40.0,10-16,62.5,1.0,5.0,0.0,0.0,4.0,3.0,32.0,2.0,5.0
Jalen Green,2022-23,Regular,Wed 3/29,@BKN,L123-114,32.0,5-13,38.5,0-4,0.0,4-9,44.4,3.0,5.0,0.0,2.0,3.0,2.0,14.0,0.0,4.0
Jalen Green,2022-23,Regular,Mon 3/27,@NY,L137-115,35.0,4-11,36.4,1-5,20.0,10-12,83.3,3.0,4.0,0.0,1.0,0.0,2.0,19.0,1.0,5.0
Jalen Green,2022-23,Regular,Sun 3/26,@CLE,L108-91,35.0,10-17,58.8,5-11,45.5,5-6,83.3,1.0,4.0,0.0,1.0,1.0,1.0,30.0,5.0,11.0
Jalen Green,2022-23,Regular,Fri 3/24,@MEM,L151-114,30.0,6-15,40.0,0-3,0.0,1-2,50.0,2.0,5.0,0.0,1.0,0.0,1.0,13.0,0.0,3.0
Jalen Green,2022-23,Regular,Wed 3/22,@MEM,L130-125,37.0,10-18,55.6,3-6,50.0,9-9,100.0,3.0,3.0,0.0,0.0,1.0,0.0,32.0,3.0,6.0
Jalen Green,2022-23,Regular,Mon 3/20,vsGS,L121-108,41.0,7-19,36.8,3-7,42.9,3-3,100.0,3.0,2.0,1.0,1.0,5.0,5.0,20.0,3.0,7.0
Jalen Green,2022-23,Regular,Sun 3/19,vsNO,L117-107,39.0,11-22,50.0,4-9,44.4,14-14,100.0,4.0,1.0,0.0,1.0,2.0,2.0,40.0,4.0,9.0
Jalen Green,2022-23,Regular,Fri 3/17,vsNO,W114-112,40.0,10-20,50.0,1-7,14.3,4-6,66.7,7.0,6.0,0.0,1.0,3.0,1.0,25.0,1.0,7.0
Jalen Green,2022-23,Regular,Wed 3/15,vsLAL,W114-110,38.0,4-13,30.8,2-6,33.3,1-2,50.0,6.0,1.0,0.0,1.0,3.0,3.0,11.0,2.0,6.0
Jalen Green,2022-23,Regular,Mon 3/13,vsBOS,W111-109,40.0,8-29,27.6,2-8,25.0,10-11,90.9,7.0,3.0,0.0,2.0,4.0,3.0,28.0,2.0,8.0
Jalen Green,2022-23,Regular,Sat 3/11,vsCHI,L119-111,35.0,7-14,50.0,3-7,42.9,1-3,33.3,2.0,7.0,0.0,1.0,1.0,4.0,18.0,3.0,7.0
Jalen Green,2022-23,Regular,Thu 3/9,@IND,L134-125 OT,42.0,8-23,34.8,2-7,28.6,6-6,100.0,3.0,4.0,1.0,1.0,1.0,4.0,24.0,2.0,7.0
Jalen Green,2022-23,Regular,Tue 3/7,vsBKN,L118-96,37.0,9-21,42.9,1-7,14.3,6-11,54.5,2.0,1.0,1.0,1.0,2.0,2.0,25.0,1.0,7.0
Jalen Green,2022-23,Regular,Sun 3/5,vsSA,W142-110,27.0,11-19,57.9,4-8,50.0,5-6,83.3,2.0,2.0,0.0,0.0,2.0,2.0,31.0,4.0,8.0
Jalen Green,2022-23,Regular,Sat 3/4,@SA,W122-110,29.0,6-13,46.2,0-2,0.0,0-0,0.0,0.0,4.0,1.0,0.0,3.0,2.0,12.0,0.0,2.0
Jalen Green,2022-23,Regular,Wed 3/1,vsMEM,L113-99,29.0,7-18,38.9,4-7,57.1,2-3,66.7,3.0,3.0,1.0,0.0,2.0,1.0,20.0,4.0,7.0
Jalen Green,2022-23,Regular,Tue 2/28,vsDEN,L133-112,19.0,7-15,46.7,3-7,42.9,0-0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,17.0,3.0,7.0
Jalen Green,2022-23,Regular,Wed 2/15,@OKC,L133-96,16.0,3-10,30.0,2-4,50.0,6-7,85.7,2.0,2.0,1.0,0.0,2.0,1.0,14.0,2.0,4.0
Jalen Green,2022-23,Regular,Mon 2/13,@PHI,L123-104,32.0,6-20,30.0,2-8,25.0,15-17,88.2,3.0,4.0,0.0,2.0,1.0,2.0,29.0,2.0,8.0
Jalen Green,2022-23,Regular,Fri 2/10,@MIA,L97-95,33.0,5-19,26.3,0-9,0.0,1-1,100.0,5.0,4.0,0.0,2.0,1.0,4.0,11.0,0.0,9.0
Jalen Green,2022-23,Regular,Wed 2/8,vsSAC,L130-128,37.0,14-22,63.6,6-9,66.7,7-9,77.8,2.0,2.0,0.0,0.0,2.0,4.0,41.0,6.0,9.0
Jalen Green,2022-23,Regular,Mon 2/6,vsSAC,L140-120,33.0,10-21,47.6,5-11,45.5,2-3,66.7,3.0,3.0,0.0,2.0,2.0,1.0,27.0,5.0,11.0
Jalen Green,2022-23,Regular,Sat 2/4,@OKC,L153-121,22.0,4-15,26.7,2-8,25.0,2-2,100.0,2.0,4.0,2.0,0.0,1.0,1.0,12.0,2.0,8.0
Jalen Green,2022-23,Regular,Thu 1/26,vsCLE,L113-95,28.0,2-9,22.2,2-6,33.3,0-0,0.0,0.0,3.0,0.0,1.0,2.0,3.0,6.0,2.0,6.0
Jalen Green,2022-23,Regular,Wed 1/25,vsWSH,L108-103,38.0,6-19,31.6,2-8,25.0,5-6,83.3,4.0,7.0,0.0,0.0,3.0,3.0,19.0,2.0,8.0
Jalen Green,2022-23,Regular,Mon 1/23,vsMIN,W119-114,35.0,15-25,60.0,6-12,50.0,6-10,60.0,4.0,4.0,1.0,1.0,0.0,1.0,42.0,6.0,12.0
Jalen Green,2022-23,Regular,Sat 1/21,@MIN,L113-104,33.0,3-13,23.1,1-4,25.0,3-6,50.0,0.0,2.0,0.0,0.0,1.0,6.0,10.0,1.0,4.0
Jalen Green,2022-23,Regular,Wed 1/18,vsCHA,L122-117,40.0,16-24,66.7,4-10,40.0,5-6,83.3,5.0,7.0,0.0,0.0,2.0,4.0,41.0,4.0,10.0
Jalen Green,2022-23,Regular,Mon 1/16,@LAL,L140-132,39.0,7-20,35.0,3-10,30.0,6-8,75.0,5.0,3.0,0.0,0.0,3.0,1.0,23.0,3.0,10.0
Jalen Green,2022-23,Regular,Fri 1/13,@SAC,L139-114,33.0,10-21,47.6,5-9,55.6,2-2,100.0,2.0,2.0,0.0,2.0,2.0,4.0,27.0,5.0,9.0
Jalen Green,2022-23,Regular,Wed 1/11,@SAC,L135-115,39.0,9-25,36.0,3-12,25.0,5-7,71.4,5.0,3.0,0.0,0.0,4.0,4.0,26.0,3.0,12.0
Jalen Green,2022-23,Regular,Sun 1/8,vsMIN,L104-96,33.0,4-15,26.7,1-6,16.7,0-0,0.0,5.0,5.0,0.0,2.0,2.0,3.0,9.0,1.0,6.0
Jalen Green,2022-23,Regular,Thu 1/5,vsUTAH,L131-114,38.0,8-24,33.3,4-12,33.3,10-11,90.9,4.0,4.0,0.0,0.0,1.0,3.0,30.0,4.0,12.0
Jalen Green,2022-23,Regular,Wed 1/4,@NO,L119-108,32.0,5-15,33.3,2-8,25.0,4-4,100.0,4.0,4.0,1.0,0.0,0.0,1.0,16.0,2.0,8.0
Jalen Green,2022-23,Regular,Mon 1/2,vsDAL,L111-106,32.0,5-17,29.4,2-5,40.0,8-12,66.7,5.0,4.0,0.0,1.0,4.0,0.0,20.0,2.0,5.0
Jalen Green,2022-23,Regular,Sat 12/31,vsNY,L108-88,35.0,4-12,33.3,3-8,37.5,5-6,83.3,3.0,3.0,0.0,0.0,3.0,5.0,16.0,3.0,8.0
Jalen Green,2022-23,Regular,Thu 12/29,@DAL,L129-114,32.0,7-15,46.7,4-7,57.1,5-8,62.5,4.0,4.0,0.0,0.0,1.0,3.0,23.0,4.0,7.0
Jalen Green,2022-23,Regular,Tue 12/27,@BOS,L126-102,33.0,11-22,50.0,3-11,27.3,3-3,100.0,4.0,2.0,0.0,0.0,0.0,4.0,28.0,3.0,11.0
Jalen Green,2022-23,Regular,Mon 12/26,@CHI,W133-118,35.0,9-15,60.0,6-10,60.0,0-2,0.0,6.0,3.0,0.0,1.0,1.0,0.0,24.0,6.0,10.0
Jalen Green,2022-23,Regular,Fri 12/23,vsDAL,L112-106,39.0,6-17,35.3,0-4,0.0,11-12,91.7,8.0,4.0,0.0,2.0,0.0,3.0,23.0,0.0,4.0
Jalen Green,2022-23,Regular,Wed 12/21,vsORL,L116-110,35.0,8-17,47.1,4-11,36.4,1-2,50.0,8.0,1.0,0.0,0.0,4.0,2.0,21.0,4.0,11.0
Jalen Green,2022-23,Regular,Mon 12/19,vsSA,L124-105,31.0,3-12,25.0,1-3,33.3,6-7,85.7,1.0,2.0,0.0,2.0,1.0,2.0,13.0,1.0,3.0
Jalen Green,2022-23,Regular,Sat 12/17,vsPOR,L107-95,31.0,5-16,31.3,0-6,0.0,5-9,55.6,5.0,4.0,1.0,0.0,2.0,2.0,15.0,0.0,6.0
Jalen Green,2022-23,Regular,Thu 12/15,vsMIA,L111-108,36.0,8-21,38.1,1-6,16.7,5-6,83.3,5.0,1.0,1.0,3.0,2.0,3.0,22.0,1.0,6.0
Jalen Green,2022-23,Regular,Tue 12/13,vsPHX,W111-97,37.0,7-17,41.2,1-7,14.3,11-12,91.7,7.0,4.0,0.0,0.0,0.0,2.0,26.0,1.0,7.0
Jalen Green,2022-23,Regular,Sun 12/11,vsMIL,W97-92,34.0,12-21,57.1,3-6,50.0,3-4,75.0,7.0,3.0,0.0,0.0,0.0,2.0,30.0,3.0,6.0
Jalen Green,2022-23,Regular,Thu 12/8,@SA,L118-109,30.0,5-17,29.4,2-3,66.7,2-2,100.0,3.0,2.0,1.0,0.0,1.0,0.0,14.0,2.0,3.0
Jalen Green,2022-23,Regular,Mon 12/5,vsPHI,W132-123 2OT,44.0,9-20,45.0,0-7,0.0,9-10,90.0,4.0,7.0,0.0,1.0,2.0,7.0,27.0,0.0,7.0
Jalen Green,2022-23,Regular,Sat 12/3,@GS,L120-101,31.0,6-19,31.6,0-5,0.0,1-1,100.0,1.0,3.0,0.0,1.0,0.0,2.0,13.0,0.0,5.0
Jalen Green,2022-23,Regular,Fri 12/2,@PHX,W122-121,37.0,8-24,33.3,2-7,28.6,12-16,75.0,3.0,2.0,0.0,3.0,2.0,5.0,30.0,2.0,7.0
Jalen Green,2022-23,Regular,Wed 11/30,@DEN,L120-100,35.0,6-16,37.5,1-7,14.3,3-5,60.0,3.0,3.0,0.0,0.0,1.0,2.0,16.0,1.0,7.0
Jalen Green,2022-23,Regular,Mon 11/28,@DEN,L129-113,31.0,5-15,33.3,1-7,14.3,6-8,75.0,2.0,7.0,0.0,0.0,2.0,5.0,17.0,1.0,7.0
Jalen Green,2022-23,Regular,Sat 11/26,vsOKC,W118-105,34.0,11-19,57.9,6-9,66.7,0-0,0.0,2.0,9.0,0.0,0.0,1.0,4.0,28.0,6.0,9.0
Jalen Green,2022-23,Regular,Fri 11/25,vsATL,W128-122,33.0,10-17,58.8,3-9,33.3,7-9,77.8,5.0,5.0,0.0,0.0,6.0,6.0,30.0,3.0,9.0
Jalen Green,2022-23,Regular,Sun 11/20,vsGS,L127-120,38.0,4-15,26.7,1-8,12.5,7-8,87.5,5.0,4.0,0.0,2.0,1.0,0.0,16.0,1.0,8.0
Jalen Green,2022-23,Regular,Fri 11/18,vsIND,L99-91,32.0,2-10,20.0,0-4,0.0,12-15,80.0,5.0,5.0,0.0,2.0,4.0,6.0,16.0,0.0,4.0
Jalen Green,2022-23,Regular,Wed 11/16,@DAL,W101-92,36.0,5-15,33.3,1-4,25.0,6-7,85.7,7.0,6.0,1.0,0.0,2.0,5.0,17.0,1.0,4.0
Jalen Green,2022-23,Regular,Mon 11/14,vsLAC,L122-106,35.0,10-19,52.6,3-8,37.5,2-2,100.0,6.0,7.0,0.0,1.0,0.0,3.0,25.0,3.0,8.0
Jalen Green,2022-23,Regular,Sat 11/12,@NO,L119-106,38.0,11-20,55.0,5-10,50.0,6-6,100.0,2.0,6.0,0.0,0.0,0.0,5.0,33.0,5.0,10.0
Jalen Green,2022-23,Regular,Wed 11/9,@TOR,L116-109,40.0,8-14,57.1,2-6,33.3,3-4,75.0,6.0,6.0,0.0,0.0,1.0,4.0,21.0,2.0,6.0
Jalen Green,2022-23,Regular,Mon 11/7,@ORL,W134-127,38.0,12-18,66.7,5-11,45.5,5-7,71.4,3.0,3.0,1.0,2.0,3.0,3.0,34.0,5.0,11.0
Jalen Green,2022-23,Regular,Sat 11/5,@MIN,L129-117,29.0,6-16,37.5,4-11,36.4,5-7,71.4,2.0,4.0,0.0,0.0,1.0,5.0,21.0,4.0,11.0
Jalen Green,2022-23,Regular,Wed 11/2,vsLAC,L109-101,30.0,9-17,52.9,3-8,37.5,1-1,100.0,4.0,1.0,0.0,1.0,3.0,3.0,22.0,3.0,8.0
Jalen Green,2022-23,Regular,Mon 10/31,@LAC,L95-93,36.0,4-17,23.5,1-5,20.0,4-7,57.1,4.0,1.0,1.0,1.0,2.0,1.0,13.0,1.0,5.0
Jalen Green,2022-23,Regular,Sun 10/30,@PHX,L124-109,31.0,5-18,27.8,2-7,28.6,3-4,75.0,1.0,2.0,0.0,1.0,0.0,1.0,15.0,2.0,7.0
Jalen Green,2022-23,Regular,Fri 10/28,@POR,L125-111,32.0,4-19,21.1,2-10,20.0,1-2,50.0,6.0,2.0,0.0,1.0,1.0,1.0,11.0,2.0,10.0
Jalen Green,2022-23,Regular,Wed 10/26,@UTAH,L109-101,36.0,6-20,30.0,2-9,22.2,3-4,75.0,7.0,2.0,1.0,1.0,2.0,2.0,17.0,2.0,9.0
Jalen Green,2022-23,Regular,Mon 10/24,vsUTAH,W114-108,36.0,9-16,56.3,4-8,50.0,3-3,100.0,3.0,3.0,0.0,0.0,1.0,3.0,25.0,4.0,8.0
Jalen Green,2022-23,Regular,Sat 10/22,@MIL,L125-105,32.0,6-19,31.6,4-7,57.1,6-6,100.0,4.0,2.0,0.0,1.0,3.0,2.0,22.0,4.0,7.0
Jalen Green,2022-23,Regular,Fri 10/21,vsMEM,L129-122,35.0,13-21,61.9,4-5,80.0,3-4,75.0,5.0,2.0,0.0,1.0,1.0,2.0,33.0,4.0,5.0
Jalen Green,2022-23,Regular,Wed 10/19,@ATL,L117-107,32.0,7-20,35.0,1-7,14.3,1-1,100.0,5.0,3.0,1.0,1.0,3.0,3.0,16.0,1.0,7.0
Jalen Green,2022-23,Preseason,Fri 10/14,@IND,W122-114,29.0,10-15,66.7,4-7,57.1,9-9,100.0,1.0,3.0,0.0,1.0,3.0,1.0,33.0,4.0,7.0
Jalen Green,2022-23,Preseason,Mon 10/10,@MIA,L118-110,28.0,7-18,38.9,5-10,50.0,6-6,100.0,4.0,5.0,0.0,1.0,1.0,3.0,25.0,5.0,10.0
Jalen Green,2022-23,Preseason,Fri 10/7,vsTOR,W116-100,25.0,7-16,43.8,4-9,44.4,5-5,100.0,4.0,2.0,0.0,0.0,3.0,2.0,23.0,4.0,9.0
