Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jalen Johnson,2022-23,Postseason,Thu 4/27,vsBOS,L128-120,5.0,2-2,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
Jalen Johnson,2022-23,Postseason,Tue 4/25,@BOS,W119-117,14.0,1-5,20.0,1-4,25.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0
Jalen Johnson,2022-23,Postseason,Sun 4/23,vsBOS,L129-121,6.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Jalen Johnson,2022-23,Postseason,Fri 4/21,vsBOS,W130-122,13.0,3-5,60.0,2-3,66.7,2-2,100.0,1.0,4.0,0.0,1.0,1.0,3.0,10.0,2.0,3.0
Jalen Johnson,2022-23,Postseason,Tue 4/18,@BOS,L119-106,5.0,0-1,0.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jalen Johnson,2022-23,Postseason,Sat 4/15,@BOS,L112-99,13.0,3-10,30.0,0-2,0.0,0-0,0.0,6.0,1.0,0.0,1.0,3.0,1.0,6.0,0.0,2.0
Jalen Johnson,2022-23,Regular,Sun 4/9,@BOS,L120-114,19.0,6-10,60.0,2-4,50.0,1-2,50.0,3.0,3.0,3.0,1.0,2.0,0.0,15.0,2.0,4.0
Jalen Johnson,2022-23,Regular,Fri 4/7,vsPHI,L136-131 OT,20.0,3-8,37.5,0-2,0.0,0-2,0.0,5.0,4.0,2.0,3.0,4.0,2.0,6.0,0.0,2.0
Jalen Johnson,2022-23,Regular,Wed 4/5,vsWSH,W134-116,23.0,7-11,63.6,0-2,0.0,2-4,50.0,8.0,2.0,0.0,0.0,1.0,2.0,16.0,0.0,2.0
Jalen Johnson,2022-23,Regular,Tue 4/4,@CHI,W123-105,22.0,7-10,70.0,1-3,33.3,1-2,50.0,4.0,2.0,1.0,3.0,2.0,4.0,16.0,1.0,3.0
Jalen Johnson,2022-23,Regular,Sun 4/2,vsDAL,W132-130 OT,19.0,2-5,40.0,1-1,100.0,0-0,0.0,4.0,5.0,1.0,2.0,4.0,0.0,5.0,1.0,1.0
Jalen Johnson,2022-23,Regular,Fri 3/31,@BKN,L124-107,14.0,2-5,40.0,0-3,0.0,2-2,100.0,8.0,2.0,0.0,0.0,3.0,2.0,6.0,0.0,3.0
Jalen Johnson,2022-23,Regular,Mon 3/13,vsMIN,L136-115,10.0,0-2,0.0,0-1,0.0,1-2,50.0,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0
Jalen Johnson,2022-23,Regular,Sat 3/11,vsBOS,L134-125,19.0,3-6,50.0,0-2,0.0,1-2,50.0,4.0,2.0,1.0,0.0,2.0,0.0,7.0,0.0,2.0
