Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jalen Suggs,2022-23,Regular,Sun 4/9,@MIA,L123-110,15.0,3-6,50.0,2-3,66.7,0-0,0.0,7.0,2.0,1.0,0.0,1.0,1.0,8.0,2.0,3.0
Jalen Suggs,2022-23,Regular,Fri 4/7,@BKN,L101-84,19.0,2-9,22.2,1-6,16.7,2-2,100.0,5.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,6.0
Jalen Suggs,2022-23,Regular,Thu 4/6,vsCLE,L118-94,24.0,7-15,46.7,5-9,55.6,3-3,100.0,5.0,4.0,1.0,0.0,1.0,2.0,22.0,5.0,9.0
Jalen Suggs,2022-23,Regular,Tue 4/4,vsCLE,L117-113,24.0,4-6,66.7,0-2,0.0,0-0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,8.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Sun 4/2,vsDET,W128-102,26.0,5-9,55.6,4-6,66.7,4-5,80.0,2.0,2.0,1.0,4.0,5.0,2.0,18.0,4.0,6.0
Jalen Suggs,2022-23,Regular,Fri 3/31,@WSH,W116-109,23.0,2-6,33.3,0-2,0.0,4-6,66.7,3.0,2.0,1.0,1.0,0.0,1.0,8.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Tue 3/28,@MEM,L113-108,24.0,1-10,10.0,0-5,0.0,0-0,0.0,3.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,5.0
Jalen Suggs,2022-23,Regular,Sun 3/26,vsBKN,W119-106,24.0,6-9,66.7,2-2,100.0,2-2,100.0,2.0,1.0,1.0,1.0,2.0,0.0,16.0,2.0,2.0
Jalen Suggs,2022-23,Regular,Thu 3/16,@PHX,L116-113,22.0,1-4,25.0,0-2,0.0,3-6,50.0,4.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Tue 3/14,@SA,L132-114,22.0,5-13,38.5,2-7,28.6,0-0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,12.0,2.0,7.0
Jalen Suggs,2022-23,Regular,Sat 3/11,vsMIA,W126-114 OT,27.0,5-10,50.0,4-6,66.7,2-2,100.0,5.0,4.0,3.0,4.0,3.0,3.0,16.0,4.0,6.0
Jalen Suggs,2022-23,Regular,Thu 3/9,vsUTAH,L131-124,30.0,7-14,50.0,1-5,20.0,2-3,66.7,3.0,6.0,0.0,2.0,3.0,1.0,17.0,1.0,5.0
Jalen Suggs,2022-23,Regular,Tue 3/7,vsMIL,L134-123,26.0,1-4,25.0,1-3,33.3,0-0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0
Jalen Suggs,2022-23,Regular,Sun 3/5,vsPOR,L122-119,35.0,6-12,50.0,1-3,33.3,2-2,100.0,4.0,2.0,0.0,3.0,4.0,3.0,15.0,1.0,3.0
Jalen Suggs,2022-23,Regular,Fri 3/3,@CHA,W117-106,30.0,5-9,55.6,1-1,100.0,4-6,66.7,5.0,1.0,0.0,1.0,3.0,3.0,15.0,1.0,1.0
Jalen Suggs,2022-23,Regular,Wed 3/1,@MIL,L139-117,25.0,3-9,33.3,0-2,0.0,0-0,0.0,5.0,2.0,0.0,2.0,1.0,1.0,6.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Mon 2/27,@NO,W101-93,23.0,3-11,27.3,1-4,25.0,2-2,100.0,5.0,3.0,0.0,0.0,4.0,1.0,9.0,1.0,4.0
Jalen Suggs,2022-23,Regular,Sat 2/25,vsIND,L121-108,26.0,4-12,33.3,2-5,40.0,4-4,100.0,5.0,2.0,2.0,0.0,1.0,1.0,14.0,2.0,5.0
Jalen Suggs,2022-23,Regular,Thu 2/23,vsDET,W108-106,21.0,1-8,12.5,0-2,0.0,0-0,0.0,3.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Tue 2/14,@TOR,L123-113,29.0,9-12,75.0,3-6,50.0,3-4,75.0,2.0,4.0,0.0,2.0,1.0,3.0,24.0,3.0,6.0
Jalen Suggs,2022-23,Regular,Mon 2/13,@CHI,W100-91,23.0,1-7,14.3,0-3,0.0,1-1,100.0,2.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,3.0
Jalen Suggs,2022-23,Regular,Sat 2/11,vsMIA,L107-103 OT,28.0,5-7,71.4,3-4,75.0,1-2,50.0,0.0,2.0,3.0,4.0,2.0,0.0,14.0,3.0,4.0
Jalen Suggs,2022-23,Regular,Thu 2/9,vsDEN,W115-104,27.0,5-11,45.5,1-5,20.0,0-0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,11.0,1.0,5.0
Jalen Suggs,2022-23,Regular,Tue 2/7,vsNY,L102-98,21.0,1-4,25.0,0-1,0.0,1-2,50.0,3.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,1.0
Jalen Suggs,2022-23,Regular,Fri 2/3,@MIN,W127-120,16.0,3-4,75.0,2-2,100.0,2-4,50.0,2.0,3.0,0.0,3.0,1.0,0.0,10.0,2.0,2.0
Jalen Suggs,2022-23,Regular,Wed 2/1,@PHI,L105-94,26.0,4-9,44.4,2-4,50.0,1-1,100.0,4.0,3.0,0.0,5.0,3.0,1.0,11.0,2.0,4.0
Jalen Suggs,2022-23,Regular,Mon 1/30,@PHI,W119-109,20.0,1-5,20.0,0-1,0.0,2-2,100.0,4.0,1.0,1.0,0.0,3.0,0.0,4.0,0.0,1.0
Jalen Suggs,2022-23,Regular,Sat 1/28,vsCHI,L128-109,26.0,4-6,66.7,2-4,50.0,1-3,33.3,4.0,5.0,0.0,1.0,5.0,2.0,11.0,2.0,4.0
Jalen Suggs,2022-23,Regular,Fri 1/27,@MIA,L110-105,17.0,0-3,0.0,0-2,0.0,3-4,75.0,2.0,5.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Wed 1/25,vsIND,W126-120,17.0,3-6,50.0,2-3,66.7,0-0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,8.0,2.0,3.0
Jalen Suggs,2022-23,Regular,Mon 1/23,vsBOS,W113-98,16.0,1-3,33.3,0-2,0.0,1-2,50.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Sat 1/21,@WSH,L138-118,13.0,1-4,25.0,1-4,25.0,0-0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,3.0,1.0,4.0
Jalen Suggs,2022-23,Regular,Fri 1/20,vsNO,W123-110,15.0,2-4,50.0,1-2,50.0,1-1,100.0,4.0,1.0,0.0,0.0,2.0,1.0,6.0,1.0,2.0
Jalen Suggs,2022-23,Regular,Sun 1/15,@DEN,L119-116,13.0,2-4,50.0,0-2,0.0,3-4,75.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Fri 1/13,@UTAH,L112-108,14.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Jalen Suggs,2022-23,Regular,Tue 1/10,@POR,W109-106,11.0,1-4,25.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Mon 1/9,@SAC,L136-111,24.0,4-10,40.0,2-7,28.6,4-4,100.0,4.0,4.0,0.0,0.0,0.0,2.0,14.0,2.0,7.0
Jalen Suggs,2022-23,Regular,Sat 1/7,@GS,W115-101,16.0,2-4,50.0,0-2,0.0,5-7,71.4,3.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Thu 1/5,vsMEM,L123-115,5.0,1-4,25.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Fri 11/25,vsPHI,L107-99,19.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0
Jalen Suggs,2022-23,Regular,Mon 11/21,@IND,L123-102,24.0,5-13,38.5,1-4,25.0,1-2,50.0,2.0,4.0,0.0,4.0,1.0,2.0,12.0,1.0,4.0
Jalen Suggs,2022-23,Regular,Sat 11/19,@IND,L114-113,33.0,5-12,41.7,2-6,33.3,0-0,0.0,5.0,8.0,3.0,0.0,1.0,4.0,12.0,2.0,6.0
Jalen Suggs,2022-23,Regular,Fri 11/18,@CHI,W108-107,35.0,7-16,43.8,2-6,33.3,4-4,100.0,5.0,8.0,1.0,1.0,2.0,6.0,20.0,2.0,6.0
Jalen Suggs,2022-23,Regular,Wed 11/16,vsMIN,L126-108,33.0,8-17,47.1,5-11,45.5,2-3,66.7,6.0,6.0,0.0,2.0,4.0,3.0,23.0,5.0,11.0
Jalen Suggs,2022-23,Regular,Mon 11/14,vsCHA,L112-105,30.0,1-10,10.0,0-3,0.0,0-0,0.0,5.0,7.0,1.0,1.0,6.0,5.0,2.0,0.0,3.0
