Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jalen Williams,2022-23,Regular,Thu 4/6,@UTAH,W114-98,28.0,4-10,40.0,1-4,25.0,0-0,0.0,1.0,5.0,0.0,0.0,3.0,2.0,9.0,1.0,4.0
Jalen Williams,2022-23,Regular,Tue 4/4,@GS,L136-125,33.0,7-14,50.0,2-3,66.7,3-3,100.0,4.0,2.0,0.0,1.0,1.0,1.0,19.0,2.0,3.0
Jalen Williams,2022-23,Regular,Sun 4/2,vsPHX,L128-118,35.0,5-12,41.7,1-3,33.3,1-1,100.0,3.0,2.0,0.0,3.0,3.0,3.0,12.0,1.0,3.0
Jalen Williams,2022-23,Regular,Fri 3/31,@IND,L121-117,30.0,6-10,60.0,0-3,0.0,2-2,100.0,6.0,6.0,0.0,2.0,5.0,2.0,14.0,0.0,3.0
Jalen Williams,2022-23,Regular,Wed 3/29,vsDET,W107-106,37.0,11-19,57.9,1-1,100.0,4-4,100.0,8.0,6.0,1.0,0.0,3.0,4.0,27.0,1.0,1.0
Jalen Williams,2022-23,Regular,Tue 3/28,vsCHA,L137-134,34.0,11-16,68.8,1-2,50.0,8-9,88.9,3.0,4.0,0.0,4.0,4.0,1.0,31.0,1.0,2.0
Jalen Williams,2022-23,Regular,Sun 3/26,@POR,W118-112,37.0,9-14,64.3,2-2,100.0,3-3,100.0,5.0,4.0,0.0,2.0,1.0,1.0,23.0,2.0,2.0
Jalen Williams,2022-23,Regular,Fri 3/24,@LAL,L116-111,38.0,3-10,30.0,0-2,0.0,3-3,100.0,5.0,2.0,0.0,1.0,0.0,1.0,9.0,0.0,2.0
Jalen Williams,2022-23,Regular,Thu 3/23,@LAC,L127-105,32.0,7-12,58.3,2-4,50.0,0-0,0.0,3.0,4.0,0.0,0.0,4.0,2.0,16.0,2.0,4.0
Jalen Williams,2022-23,Regular,Tue 3/21,@LAC,W101-100,37.0,8-15,53.3,2-4,50.0,2-2,100.0,8.0,3.0,1.0,1.0,2.0,2.0,20.0,2.0,4.0
Jalen Williams,2022-23,Regular,Sun 3/19,vsPHX,W124-120,28.0,1-6,16.7,0-2,0.0,3-4,75.0,10.0,5.0,1.0,2.0,3.0,3.0,5.0,0.0,2.0
Jalen Williams,2022-23,Regular,Thu 3/16,@TOR,L128-111,29.0,4-11,36.4,1-3,33.3,6-7,85.7,7.0,3.0,0.0,1.0,2.0,2.0,15.0,1.0,3.0
Jalen Williams,2022-23,Regular,Tue 3/14,vsBKN,W121-107,36.0,8-10,80.0,1-2,50.0,6-6,100.0,10.0,3.0,0.0,2.0,3.0,0.0,23.0,1.0,2.0
Jalen Williams,2022-23,Regular,Sun 3/12,@SA,W102-90,35.0,7-18,38.9,1-4,25.0,6-7,85.7,7.0,10.0,0.0,0.0,2.0,4.0,21.0,1.0,4.0
Jalen Williams,2022-23,Regular,Sat 3/11,@NO,W110-96,37.0,7-10,70.0,0-0,0.0,3-3,100.0,4.0,2.0,0.0,3.0,0.0,3.0,17.0,0.0,0.0
Jalen Williams,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,34.0,12-15,80.0,4-5,80.0,4-6,66.7,5.0,5.0,2.0,2.0,2.0,1.0,32.0,4.0,5.0
