Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jamal Murray,2022-23,Postseason,Mon 6/12,vsMIA,W94-89,41.0,6-15,40.0,2-7,28.6,0-0,0.0,8.0,8.0,0.0,1.0,2.0,6.0,14.0,2.0,7.0
Jamal Murray,2022-23,Postseason,Fri 6/9,@MIA,W108-95,43.0,5-17,29.4,2-3,66.7,3-3,100.0,3.0,12.0,0.0,1.0,1.0,0.0,15.0,2.0,3.0
Jamal Murray,2022-23,Postseason,Wed 6/7,@MIA,W109-94,45.0,12-22,54.5,3-6,50.0,7-8,87.5,10.0,10.0,0.0,1.0,2.0,7.0,34.0,3.0,6.0
Jamal Murray,2022-23,Postseason,Sun 6/4,vsMIA,L111-108,39.0,7-15,46.7,3-8,37.5,1-1,100.0,4.0,10.0,0.0,1.0,2.0,1.0,18.0,3.0,8.0
Jamal Murray,2022-23,Postseason,Thu 6/1,vsMIA,W104-93,44.0,11-22,50.0,2-7,28.6,2-2,100.0,6.0,10.0,0.0,1.0,2.0,3.0,26.0,2.0,7.0
Jamal Murray,2022-23,Postseason,Mon 5/22,@LAL,W113-111,43.0,10-18,55.6,0-4,0.0,5-5,100.0,3.0,5.0,1.0,2.0,3.0,2.0,25.0,0.0,4.0
Jamal Murray,2022-23,Postseason,Sat 5/20,@LAL,W119-108,42.0,15-29,51.7,5-11,45.5,2-2,100.0,7.0,6.0,0.0,2.0,2.0,1.0,37.0,5.0,11.0
Jamal Murray,2022-23,Postseason,Thu 5/18,vsLAL,W108-103,43.0,11-24,45.8,6-14,42.9,9-10,90.0,10.0,5.0,0.0,4.0,1.0,3.0,37.0,6.0,14.0
Jamal Murray,2022-23,Postseason,Tue 5/16,vsLAL,W132-126,37.0,12-20,60.0,4-8,50.0,3-3,100.0,5.0,5.0,1.0,3.0,5.0,1.0,31.0,4.0,8.0
Jamal Murray,2022-23,Postseason,Thu 5/11,@PHX,W125-100,35.0,7-16,43.8,4-7,57.1,8-8,100.0,4.0,4.0,0.0,4.0,1.0,3.0,26.0,4.0,7.0
Jamal Murray,2022-23,Postseason,Tue 5/9,vsPHX,W118-102,37.0,7-15,46.7,2-4,50.0,3-3,100.0,5.0,6.0,0.0,1.0,1.0,2.0,19.0,2.0,4.0
Jamal Murray,2022-23,Postseason,Sun 5/7,@PHX,L129-124,42.0,13-25,52.0,1-3,33.3,1-2,50.0,5.0,7.0,0.0,1.0,2.0,0.0,28.0,1.0,3.0
Jamal Murray,2022-23,Postseason,Fri 5/5,@PHX,L121-114,41.0,13-29,44.8,1-6,16.7,5-6,83.3,6.0,5.0,1.0,1.0,3.0,2.0,32.0,1.0,6.0
Jamal Murray,2022-23,Postseason,Mon 5/1,vsPHX,W97-87,39.0,3-15,20.0,0-9,0.0,4-4,100.0,4.0,8.0,0.0,0.0,0.0,3.0,10.0,0.0,9.0
Jamal Murray,2022-23,Postseason,Sat 4/29,vsPHX,W125-107,37.0,13-24,54.2,6-10,60.0,2-2,100.0,5.0,9.0,0.0,2.0,2.0,3.0,34.0,6.0,10.0
Jamal Murray,2022-23,Postseason,Tue 4/25,vsMIN,W112-109,41.0,12-23,52.2,5-9,55.6,6-6,100.0,4.0,5.0,0.0,1.0,2.0,2.0,35.0,5.0,9.0
Jamal Murray,2022-23,Postseason,Sun 4/23,@MIN,L114-108 OT,41.0,8-21,38.1,2-7,28.6,1-1,100.0,7.0,5.0,0.0,0.0,1.0,3.0,19.0,2.0,7.0
Jamal Murray,2022-23,Postseason,Fri 4/21,@MIN,W120-111,38.0,7-16,43.8,1-6,16.7,3-4,75.0,6.0,9.0,1.0,2.0,3.0,3.0,18.0,1.0,6.0
