Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
James Harden,2022-23,Postseason,Sun 5/14,@BOS,L112-88,41.0,3-11,27.3,1-5,20.0,2-2,100.0,6.0,7.0,1.0,2.0,1.0,5.0,9.0,1.0,5.0
James Harden,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,43.0,4-16,25.0,0-6,0.0,5-5,100.0,7.0,9.0,1.0,3.0,3.0,5.0,13.0,0.0,6.0
James Harden,2022-23,Postseason,Tue 5/9,@BOS,W115-103,39.0,4-8,50.0,1-2,50.0,8-10,80.0,8.0,10.0,0.0,2.0,2.0,2.0,17.0,1.0,2.0
James Harden,2022-23,Postseason,Sun 5/7,vsBOS,W116-115 OT,47.0,16-23,69.6,6-9,66.7,4-4,100.0,8.0,9.0,1.0,4.0,2.0,1.0,42.0,6.0,9.0
James Harden,2022-23,Postseason,Fri 5/5,vsBOS,L114-102,41.0,3-14,21.4,2-7,28.6,8-9,88.9,6.0,11.0,0.0,1.0,4.0,5.0,16.0,2.0,7.0
James Harden,2022-23,Postseason,Wed 5/3,@BOS,L121-87,32.0,2-14,14.3,0-6,0.0,8-10,80.0,10.0,4.0,0.0,0.0,2.0,0.0,12.0,0.0,6.0
James Harden,2022-23,Postseason,Mon 5/1,@BOS,W119-115,39.0,17-30,56.7,7-14,50.0,4-4,100.0,1.0,6.0,0.0,2.0,4.0,3.0,45.0,7.0,14.0
James Harden,2022-23,Postseason,Sat 4/22,@BKN,W96-88,40.0,4-18,22.2,2-5,40.0,7-8,87.5,8.0,11.0,1.0,1.0,3.0,3.0,17.0,2.0,5.0
James Harden,2022-23,Postseason,Thu 4/20,@BKN,W102-97,29.0,8-15,53.3,3-7,42.9,2-3,66.7,5.0,4.0,0.0,0.0,2.0,2.0,21.0,3.0,7.0
James Harden,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,38.0,3-13,23.1,2-8,25.0,0-0,0.0,5.0,7.0,0.0,4.0,2.0,5.0,8.0,2.0,8.0
James Harden,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,36.0,8-21,38.1,7-13,53.8,0-0,0.0,4.0,13.0,0.0,1.0,3.0,4.0,23.0,7.0,13.0
James Harden,2022-23,Regular,Thu 4/6,vsMIA,L129-101,28.0,5-12,41.7,2-6,33.3,2-2,100.0,4.0,4.0,0.0,0.0,1.0,3.0,14.0,2.0,6.0
James Harden,2022-23,Regular,Tue 4/4,vsBOS,W103-101,40.0,7-17,41.2,4-9,44.4,2-2,100.0,5.0,10.0,2.0,1.0,1.0,0.0,20.0,4.0,9.0
James Harden,2022-23,Regular,Sun 4/2,@MIL,L117-104,34.0,4-9,44.4,1-3,33.3,2-2,100.0,2.0,6.0,0.0,1.0,3.0,5.0,11.0,1.0,3.0
James Harden,2022-23,Regular,Fri 3/31,vsTOR,W117-110,37.0,9-14,64.3,3-6,50.0,2-2,100.0,3.0,11.0,1.0,2.0,2.0,6.0,23.0,3.0,6.0
James Harden,2022-23,Regular,Wed 3/29,vsDAL,W116-108,38.0,4-14,28.6,2-6,33.3,5-7,71.4,4.0,12.0,0.0,3.0,3.0,2.0,15.0,2.0,6.0
James Harden,2022-23,Regular,Mon 3/20,vsCHI,L109-105 2OT,47.0,2-14,14.3,0-6,0.0,1-1,100.0,7.0,12.0,1.0,1.0,2.0,5.0,5.0,0.0,6.0
James Harden,2022-23,Regular,Fri 3/17,@CHA,W121-82,31.0,4-15,26.7,0-6,0.0,3-4,75.0,11.0,10.0,0.0,3.0,1.0,2.0,11.0,0.0,6.0
James Harden,2022-23,Regular,Wed 3/15,@CLE,W118-109,40.0,8-18,44.4,3-9,33.3,9-12,75.0,6.0,12.0,0.0,3.0,4.0,4.0,28.0,3.0,9.0
James Harden,2022-23,Regular,Sun 3/12,vsWSH,W112-93,33.0,6-11,54.5,3-7,42.9,3-4,75.0,2.0,14.0,0.0,1.0,0.0,3.0,18.0,3.0,7.0
James Harden,2022-23,Regular,Fri 3/10,vsPOR,W120-119,39.0,6-14,42.9,2-8,25.0,5-5,100.0,9.0,8.0,0.0,0.0,3.0,2.0,19.0,2.0,8.0
James Harden,2022-23,Regular,Mon 3/6,@IND,W147-143,40.0,3-11,27.3,1-6,16.7,7-9,77.8,9.0,20.0,0.0,0.0,0.0,1.0,14.0,1.0,6.0
James Harden,2022-23,Regular,Sat 3/4,@MIL,W133-130,39.0,11-26,42.3,5-9,55.6,11-11,100.0,9.0,10.0,0.0,1.0,1.0,2.0,38.0,5.0,9.0
James Harden,2022-23,Regular,Thu 3/2,@DAL,L133-126,38.0,8-12,66.7,5-7,71.4,6-6,100.0,4.0,13.0,0.0,0.0,1.0,6.0,27.0,5.0,7.0
James Harden,2022-23,Regular,Wed 3/1,@MIA,W119-96,37.0,6-15,40.0,4-9,44.4,7-7,100.0,7.0,5.0,1.0,0.0,2.0,3.0,23.0,4.0,9.0
James Harden,2022-23,Regular,Mon 2/27,vsMIA,L101-99,39.0,5-14,35.7,3-8,37.5,7-8,87.5,6.0,12.0,0.0,2.0,1.0,4.0,20.0,3.0,8.0
James Harden,2022-23,Regular,Sat 2/25,vsBOS,L110-107,41.0,5-16,31.3,2-8,25.0,9-9,100.0,6.0,8.0,0.0,3.0,1.0,4.0,21.0,2.0,8.0
