Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
James Wiseman,2022-23,Regular,Sun 4/9,@CHI,L103-81,25.0,4-9,44.4,0-0,0.0,3-4,75.0,12.0,0.0,1.0,0.0,2.0,4.0,11.0,0.0,0.0
James Wiseman,2022-23,Regular,Fri 4/7,@IND,W122-115,8.0,1-2,50.0,0-0,0.0,1-2,50.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
James Wiseman,2022-23,Regular,Wed 4/5,vsBKN,L123-108,29.0,5-10,50.0,0-1,0.0,6-7,85.7,3.0,2.0,1.0,0.0,1.0,0.0,16.0,0.0,1.0
James Wiseman,2022-23,Regular,Tue 4/4,vsMIA,L118-105,30.0,6-14,42.9,0-0,0.0,2-4,50.0,6.0,1.0,0.0,0.0,5.0,1.0,14.0,0.0,0.0
James Wiseman,2022-23,Regular,Sun 4/2,@ORL,L128-102,23.0,4-8,50.0,0-0,0.0,4-4,100.0,10.0,1.0,0.0,0.0,3.0,0.0,12.0,0.0,0.0
James Wiseman,2022-23,Regular,Fri 3/31,@HOU,L121-115,24.0,4-10,40.0,0-2,0.0,0-0,0.0,4.0,1.0,3.0,0.0,6.0,0.0,8.0,0.0,2.0
James Wiseman,2022-23,Regular,Wed 3/29,@OKC,L107-106,29.0,7-9,77.8,0-0,0.0,0-0,0.0,11.0,0.0,0.0,0.0,3.0,3.0,14.0,0.0,0.0
James Wiseman,2022-23,Regular,Mon 3/27,vsMIL,L126-117,20.0,5-12,41.7,0-1,0.0,4-4,100.0,6.0,1.0,0.0,1.0,1.0,1.0,14.0,0.0,1.0
James Wiseman,2022-23,Regular,Fri 3/24,@TOR,L118-97,23.0,7-13,53.8,0-0,0.0,0-2,0.0,4.0,1.0,1.0,0.0,1.0,2.0,14.0,0.0,0.0
James Wiseman,2022-23,Regular,Tue 3/21,@ATL,L129-107,19.0,2-6,33.3,0-2,0.0,2-2,100.0,5.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,2.0
James Wiseman,2022-23,Regular,Sun 3/19,vsMIA,L112-100,33.0,10-13,76.9,1-1,100.0,1-1,100.0,13.0,0.0,0.0,0.0,2.0,1.0,22.0,1.0,1.0
James Wiseman,2022-23,Regular,Thu 3/16,vsDEN,L119-100,30.0,7-14,50.0,0-0,0.0,0-0,0.0,9.0,1.0,0.0,0.0,3.0,2.0,14.0,0.0,0.0
James Wiseman,2022-23,Regular,Tue 3/14,@WSH,L117-97,31.0,4-15,26.7,0-1,0.0,4-4,100.0,10.0,1.0,1.0,1.0,1.0,0.0,12.0,0.0,1.0
James Wiseman,2022-23,Regular,Mon 3/13,vsIND,W117-97,24.0,8-15,53.3,0-1,0.0,2-4,50.0,14.0,1.0,3.0,0.0,2.0,2.0,18.0,0.0,1.0
James Wiseman,2022-23,Regular,Sat 3/11,vsIND,L121-115,26.0,6-11,54.5,1-3,33.3,3-5,60.0,9.0,0.0,1.0,0.0,4.0,2.0,16.0,1.0,3.0
James Wiseman,2022-23,Regular,Thu 3/9,vsCHA,L113-103,27.0,8-13,61.5,0-0,0.0,0-0,0.0,13.0,0.0,1.0,0.0,3.0,0.0,16.0,0.0,0.0
James Wiseman,2022-23,Regular,Tue 3/7,vsWSH,L119-117,34.0,10-13,76.9,0-0,0.0,1-2,50.0,5.0,3.0,2.0,1.0,2.0,2.0,21.0,0.0,0.0
