Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaren Jackson Jr,2022-23,Postseason,Fri 4/28,@LAL,L125-85,32.0,3-12,25.0,1-6,16.7,7-8,87.5,4.0,1.0,0.0,1.0,5.0,3.0,14.0,1.0,6.0
Jaren Jackson Jr,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,38.0,5-11,45.5,2-5,40.0,6-6,100.0,10.0,0.0,2.0,1.0,5.0,2.0,18.0,2.0,5.0
Jaren Jackson Jr,2022-23,Postseason,Mon 4/24,@LAL,L117-111 OT,42.0,5-15,33.3,0-4,0.0,4-5,80.0,14.0,1.0,5.0,0.0,4.0,4.0,14.0,0.0,4.0
Jaren Jackson Jr,2022-23,Postseason,Sat 4/22,@LAL,L111-101,32.0,4-12,33.3,1-3,33.3,4-4,100.0,5.0,0.0,0.0,2.0,4.0,6.0,13.0,1.0,3.0
Jaren Jackson Jr,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,40.0,5-12,41.7,1-3,33.3,7-10,70.0,9.0,3.0,3.0,1.0,3.0,2.0,18.0,1.0,3.0
Jaren Jackson Jr,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,37.0,13-21,61.9,2-4,50.0,3-3,100.0,5.0,4.0,2.0,1.0,3.0,1.0,31.0,2.0,4.0
Jaren Jackson Jr,2022-23,Regular,Fri 4/7,@MIL,W137-114,27.0,12-18,66.7,5-6,83.3,7-8,87.5,4.0,2.0,3.0,1.0,3.0,3.0,36.0,5.0,6.0
Jaren Jackson Jr,2022-23,Regular,Wed 4/5,@NO,L138-131 OT,41.0,13-28,46.4,3-9,33.3,11-12,91.7,9.0,3.0,4.0,1.0,4.0,3.0,40.0,3.0,9.0
Jaren Jackson Jr,2022-23,Regular,Tue 4/4,vsPOR,W119-109,33.0,5-9,55.6,0-1,0.0,7-9,77.8,7.0,2.0,1.0,0.0,4.0,2.0,17.0,0.0,1.0
Jaren Jackson Jr,2022-23,Regular,Sun 4/2,@CHI,L128-107,29.0,11-20,55.0,5-8,62.5,4-4,100.0,8.0,1.0,1.0,0.0,5.0,1.0,31.0,5.0,8.0
