Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaxson Hayes,2022-23,Regular,Tue 4/4,vsSAC,L121-103,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Mon 3/27,@POR,W124-90,4.0,1-3,33.3,0-2,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Jaxson Hayes,2022-23,Regular,Thu 3/23,vsCHA,W115-96,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Tue 3/21,vsSA,W119-84,5.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sun 3/19,@HOU,W117-107,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Tue 3/14,vsLAL,L123-108,10.0,2-3,66.7,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sun 3/12,vsPOR,W127-110,13.0,0-3,0.0,0-0,0.0,3-6,50.0,4.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sat 3/11,vsOKC,L110-96,32.0,5-8,62.5,0-0,0.0,1-1,100.0,8.0,2.0,2.0,0.0,4.0,2.0,11.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Wed 3/8,vsDAL,W113-106,24.0,6-6,100.0,0-0,0.0,2-2,100.0,3.0,1.0,1.0,0.0,4.0,2.0,14.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Mon 3/6,@SAC,L123-108,11.0,3-5,60.0,0-0,0.0,3-3,100.0,2.0,0.0,0.0,0.0,2.0,2.0,9.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Fri 3/3,@GS,L108-99,21.0,2-2,100.0,0-0,0.0,1-2,50.0,1.0,1.0,2.0,1.0,1.0,3.0,5.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Wed 3/1,@POR,W121-110,16.0,4-5,80.0,0-1,0.0,7-8,87.5,4.0,3.0,2.0,2.0,4.0,0.0,15.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 2/27,vsORL,L101-93,25.0,3-4,75.0,0-0,0.0,0-0,0.0,5.0,0.0,0.0,2.0,4.0,1.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sat 2/25,@NY,L128-106,4.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Wed 2/15,@LAL,L120-102,4.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 2/13,@OKC,W103-100,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Fri 2/10,vsCLE,L118-107,3.0,3-5,60.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Sun 2/5,vsSAC,W136-104,19.0,2-5,40.0,0-0,0.0,2-3,66.7,4.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sun 1/29,@MIL,L135-110,22.0,2-2,100.0,0-0,0.0,2-3,66.7,3.0,1.0,1.0,0.0,3.0,0.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Tue 1/24,vsDEN,L99-98,23.0,0-3,0.0,0-2,0.0,4-4,100.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Jaxson Hayes,2022-23,Regular,Sun 1/22,@MIA,L100-96,17.0,3-4,75.0,0-0,0.0,2-3,66.7,3.0,0.0,0.0,1.0,1.0,3.0,8.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Fri 1/20,@ORL,L123-110,17.0,6-8,75.0,0-2,0.0,2-3,66.7,6.0,1.0,0.0,0.0,3.0,0.0,14.0,0.0,2.0
Jaxson Hayes,2022-23,Regular,Wed 1/18,vsMIA,L124-98,6.0,1-3,33.3,0-1,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 1/16,@CLE,L113-103,9.0,0-1,0.0,0-0,0.0,1-2,50.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Fri 1/13,@DET,W116-110,17.0,2-5,40.0,0-0,0.0,2-4,50.0,2.0,0.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Wed 1/11,@BOS,L125-114,18.0,4-6,66.7,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,2.0,8.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 1/9,@WSH,W132-112,18.0,3-4,75.0,0-0,0.0,0-2,0.0,4.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sat 1/7,@DAL,L127-117,13.0,1-4,25.0,0-1,0.0,2-4,50.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Fri 1/6,vsBKN,L108-102,13.0,2-7,28.6,0-0,0.0,0-0,0.0,6.0,2.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Wed 1/4,vsHOU,W119-108,16.0,2-3,66.7,0-0,0.0,0-0,0.0,7.0,1.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Mon 1/2,@PHI,L120-111,19.0,3-6,50.0,1-1,100.0,3-4,75.0,2.0,1.0,2.0,0.0,3.0,0.0,10.0,1.0,1.0
Jaxson Hayes,2022-23,Regular,Sat 12/31,@MEM,L116-101,21.0,5-6,83.3,1-2,50.0,2-3,66.7,4.0,1.0,1.0,1.0,3.0,1.0,13.0,1.0,2.0
Jaxson Hayes,2022-23,Regular,Fri 12/30,vsPHI,W127-116,19.0,0-0,0.0,0-0,0.0,3-3,100.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Wed 12/28,vsMIN,W119-118,17.0,1-2,50.0,1-1,100.0,0-0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 12/26,vsIND,W113-93,31.0,5-7,71.4,0-2,0.0,5-6,83.3,9.0,2.0,3.0,0.0,0.0,0.0,15.0,0.0,2.0
Jaxson Hayes,2022-23,Regular,Fri 12/23,@OKC,W128-125 OT,28.0,8-9,88.9,0-0,0.0,5-8,62.5,6.0,4.0,0.0,0.0,3.0,2.0,21.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Thu 12/22,vsSA,W126-117,12.0,3-4,75.0,0-1,0.0,0-0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Tue 12/13,@UTAH,L121-100,6.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 11/28,vsOKC,W105-101,5.0,0-2,0.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Fri 11/25,@MEM,L132-111,12.0,1-5,20.0,0-3,0.0,3-3,100.0,3.0,2.0,0.0,1.0,0.0,0.0,5.0,0.0,3.0
Jaxson Hayes,2022-23,Regular,Wed 11/23,@SA,W129-110,5.0,0-2,0.0,0-1,0.0,1-2,50.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Mon 11/21,vsGS,W128-83,7.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Wed 11/2,@LAL,L120-117 OT,4.0,0-2,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Sun 10/30,@LAC,W112-91,8.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Fri 10/28,@PHX,L124-111,8.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jaxson Hayes,2022-23,Regular,Tue 10/25,vsDAL,W113-111,13.0,0-1,0.0,0-1,0.0,0-2,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Jaxson Hayes,2022-23,Regular,Sun 10/23,vsUTAH,L122-121 OT,3.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Jaxson Hayes,2022-23,Postseason,Wed 4/12,vsOKC,L123-118,18.0,2-2,100.0,0-0,0.0,2-2,100.0,9.0,2.0,0.0,0.0,4.0,1.0,6.0,0.0,0.0
Jaxson Hayes,2022-23,Preseason,Fri 10/7,vsDET,W107-101,23.0,1-4,25.0,0-2,0.0,0-0,0.0,6.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,2.0
Jaxson Hayes,2022-23,Preseason,Tue 10/4,@CHI,W129-125,26.0,7-8,87.5,0-1,0.0,0-0,0.0,6.0,3.0,1.0,1.0,3.0,0.0,14.0,0.0,1.0
