Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jay Huff,2022-23,Regular,Fri 4/7,vsMIA,W114-108,23.0,4-7,57.1,1-2,50.0,4-4,100.0,4.0,2.0,1.0,0.0,5.0,2.0,13.0,1.0,2.0
Jay Huff,2022-23,Regular,Wed 4/5,@ATL,L134-116,30.0,5-6,83.3,2-3,66.7,2-2,100.0,4.0,3.0,3.0,1.0,4.0,1.0,14.0,2.0,3.0
Jay Huff,2022-23,Regular,Tue 4/4,vsMIL,L140-128,27.0,5-10,50.0,3-6,50.0,4-5,80.0,9.0,2.0,0.0,2.0,5.0,0.0,17.0,3.0,6.0
Jay Huff,2022-23,Regular,Sun 4/2,@NY,L118-109,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jay Huff,2022-23,Regular,Wed 3/22,vsDEN,L118-104,4.0,0-1,0.0,0-1,0.0,2-2,100.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Jay Huff,2022-23,Regular,Sat 3/18,vsSAC,L132-118,6.0,1-1,100.0,0-0,0.0,3-3,100.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Jay Huff,2022-23,Regular,Tue 3/14,vsDET,W117-97,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
Jay Huff,2022-23,Preseason,Fri 10/14,@SAC,L133-86,12.0,4-6,66.7,0-2,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,8.0,0.0,2.0
Jay Huff,2022-23,Preseason,Thu 10/6,vsMIN,L114-99,12.0,2-2,100.0,0-0,0.0,0-0,0.0,7.0,2.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0
Jay Huff,2022-23,Preseason,Wed 10/5,vsPHX,L119-115,5.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
