Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaylen Brown,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,43.0,8-23,34.8,1-9,11.1,2-2,100.0,8.0,5.0,2.0,1.0,5.0,8.0,19.0,1.0,9.0
Jaylen Brown,2022-23,Postseason,Sat 5/27,@MIA,W104-103,39.0,9-16,56.3,0-4,0.0,8-10,80.0,10.0,3.0,0.0,2.0,4.0,4.0,26.0,0.0,4.0
Jaylen Brown,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,37.0,9-18,50.0,3-5,60.0,0-0,0.0,2.0,2.0,0.0,3.0,1.0,1.0,21.0,3.0,5.0
Jaylen Brown,2022-23,Postseason,Tue 5/23,@MIA,W116-99,37.0,7-16,43.8,1-5,20.0,2-5,40.0,4.0,4.0,0.0,2.0,5.0,1.0,17.0,1.0,5.0
Jaylen Brown,2022-23,Postseason,Sun 5/21,@MIA,L128-102,28.0,6-17,35.3,0-7,0.0,0-0,0.0,6.0,2.0,0.0,0.0,3.0,3.0,12.0,0.0,7.0
Jaylen Brown,2022-23,Postseason,Fri 5/19,vsMIA,L111-105,38.0,7-23,30.4,1-7,14.3,1-2,50.0,4.0,3.0,0.0,0.0,3.0,2.0,16.0,1.0,7.0
Jaylen Brown,2022-23,Postseason,Wed 5/17,vsMIA,L123-116,39.0,10-21,47.6,1-6,16.7,1-2,50.0,9.0,5.0,0.0,0.0,2.0,6.0,22.0,1.0,6.0
Jaylen Brown,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,41.0,9-19,47.4,3-6,50.0,4-4,100.0,6.0,2.0,2.0,2.0,1.0,3.0,25.0,3.0,6.0
Jaylen Brown,2022-23,Postseason,Thu 5/11,@PHI,W95-86,39.0,6-13,46.2,1-3,33.3,4-5,80.0,6.0,4.0,0.0,0.0,4.0,4.0,17.0,1.0,3.0
Jaylen Brown,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,34.0,9-16,56.3,3-6,50.0,3-8,37.5,6.0,2.0,0.0,0.0,5.0,3.0,24.0,3.0,6.0
Jaylen Brown,2022-23,Postseason,Sun 5/7,@PHI,L116-115 OT,44.0,10-16,62.5,3-8,37.5,0-2,0.0,3.0,5.0,0.0,0.0,3.0,1.0,23.0,3.0,8.0
Jaylen Brown,2022-23,Postseason,Fri 5/5,@PHI,W114-102,34.0,8-18,44.4,0-4,0.0,7-7,100.0,7.0,5.0,1.0,1.0,5.0,4.0,23.0,0.0,4.0
Jaylen Brown,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,30.0,9-17,52.9,3-6,50.0,4-4,100.0,3.0,4.0,0.0,2.0,1.0,1.0,25.0,3.0,6.0
Jaylen Brown,2022-23,Postseason,Mon 5/1,vsPHI,L119-115,42.0,8-10,80.0,3-4,75.0,4-4,100.0,6.0,4.0,0.0,1.0,1.0,4.0,23.0,3.0,4.0
Jaylen Brown,2022-23,Postseason,Thu 4/27,@ATL,W128-120,40.0,13-25,52.0,6-8,75.0,0-0,0.0,5.0,2.0,1.0,0.0,3.0,2.0,32.0,6.0,8.0
Jaylen Brown,2022-23,Postseason,Tue 4/25,vsATL,L119-117,38.0,15-23,65.2,4-7,57.1,1-5,20.0,7.0,5.0,0.0,0.0,3.0,4.0,35.0,4.0,7.0
Jaylen Brown,2022-23,Postseason,Sun 4/23,@ATL,W129-121,42.0,12-22,54.5,3-4,75.0,4-5,80.0,4.0,3.0,0.0,0.0,4.0,2.0,31.0,3.0,4.0
Jaylen Brown,2022-23,Postseason,Fri 4/21,@ATL,L130-122,33.0,7-15,46.7,0-4,0.0,1-2,50.0,1.0,3.0,0.0,3.0,5.0,3.0,15.0,0.0,4.0
Jaylen Brown,2022-23,Postseason,Tue 4/18,vsATL,W119-106,36.0,7-14,50.0,2-4,50.0,2-4,50.0,3.0,2.0,2.0,3.0,0.0,4.0,18.0,2.0,4.0
Jaylen Brown,2022-23,Postseason,Sat 4/15,vsATL,W112-99,37.0,12-23,52.2,2-6,33.3,3-3,100.0,12.0,3.0,0.0,1.0,3.0,6.0,29.0,2.0,6.0
Jaylen Brown,2022-23,Regular,Wed 4/5,vsTOR,W97-93,39.0,12-29,41.4,1-9,11.1,0-2,0.0,11.0,5.0,0.0,0.0,0.0,4.0,25.0,1.0,9.0
Jaylen Brown,2022-23,Regular,Fri 3/31,vsUTAH,W122-114,34.0,5-19,26.3,0-5,0.0,2-2,100.0,2.0,4.0,0.0,1.0,3.0,3.0,12.0,0.0,5.0
