Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jaylin Williams,2022-23,Regular,Thu 4/6,@UTAH,W114-98,23.0,4-8,50.0,3-5,60.0,0-0,0.0,6.0,2.0,0.0,1.0,2.0,1.0,11.0,3.0,5.0
Jaylin Williams,2022-23,Regular,Tue 4/4,@GS,L136-125,19.0,1-4,25.0,1-3,33.3,1-2,50.0,5.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,3.0
Jaylin Williams,2022-23,Regular,Sun 4/2,vsPHX,L128-118,20.0,2-3,66.7,1-2,50.0,2-2,100.0,8.0,2.0,0.0,1.0,2.0,1.0,7.0,1.0,2.0
Jaylin Williams,2022-23,Regular,Fri 3/31,@IND,L121-117,15.0,0-0,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Jaylin Williams,2022-23,Regular,Wed 3/29,vsDET,W107-106,32.0,2-3,66.7,2-3,66.7,1-2,50.0,6.0,2.0,0.0,2.0,2.0,1.0,7.0,2.0,3.0
Jaylin Williams,2022-23,Regular,Tue 3/28,vsCHA,L137-134,18.0,1-4,25.0,0-2,0.0,1-1,100.0,6.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,2.0
Jaylin Williams,2022-23,Regular,Sun 3/26,@POR,W118-112,27.0,3-8,37.5,0-3,0.0,1-2,50.0,6.0,2.0,0.0,0.0,3.0,1.0,7.0,0.0,3.0
Jaylin Williams,2022-23,Regular,Fri 3/24,@LAL,L116-111,27.0,2-7,28.6,1-5,20.0,0-0,0.0,3.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,5.0
Jaylin Williams,2022-23,Regular,Thu 3/23,@LAC,L127-105,26.0,3-7,42.9,1-4,25.0,1-2,50.0,9.0,4.0,0.0,2.0,2.0,3.0,8.0,1.0,4.0
Jaylin Williams,2022-23,Regular,Tue 3/21,@LAC,W101-100,11.0,2-4,50.0,2-3,66.7,0-0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,6.0,2.0,3.0
Jaylin Williams,2022-23,Regular,Sun 3/19,vsPHX,W124-120,21.0,2-3,66.7,2-3,66.7,4-6,66.7,6.0,0.0,1.0,0.0,2.0,0.0,10.0,2.0,3.0
Jaylin Williams,2022-23,Regular,Thu 3/16,@TOR,L128-111,14.0,2-7,28.6,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,3.0
Jaylin Williams,2022-23,Regular,Tue 3/14,vsBKN,W121-107,18.0,2-5,40.0,1-2,50.0,2-2,100.0,7.0,2.0,0.0,2.0,5.0,1.0,7.0,1.0,2.0
Jaylin Williams,2022-23,Regular,Sun 3/12,@SA,W102-90,26.0,3-6,50.0,1-2,50.0,2-2,100.0,5.0,2.0,1.0,4.0,4.0,0.0,9.0,1.0,2.0
Jaylin Williams,2022-23,Regular,Sat 3/11,@NO,W110-96,19.0,3-5,60.0,2-3,66.7,1-2,50.0,3.0,0.0,1.0,0.0,3.0,1.0,9.0,2.0,3.0
Jaylin Williams,2022-23,Regular,Wed 3/8,@PHX,L132-101,18.0,0-2,0.0,0-2,0.0,2-2,100.0,3.0,3.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0
Jaylin Williams,2022-23,Regular,Tue 3/7,vsGS,W137-128,27.0,6-10,60.0,3-5,60.0,0-0,0.0,6.0,2.0,0.0,1.0,3.0,1.0,15.0,3.0,5.0
