Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jayson Tatum,2022-23,Postseason,Mon 5/29,vsMIA,L103-84,42.0,5-13,38.5,1-4,25.0,3-4,75.0,11.0,4.0,0.0,1.0,2.0,2.0,14.0,1.0,4.0
Jayson Tatum,2022-23,Postseason,Sat 5/27,@MIA,W104-103,44.0,8-22,36.4,0-8,0.0,15-15,100.0,12.0,5.0,2.0,1.0,2.0,3.0,31.0,0.0,8.0
Jayson Tatum,2022-23,Postseason,Thu 5/25,vsMIA,W110-97,41.0,8-16,50.0,1-6,16.7,4-6,66.7,8.0,11.0,0.0,2.0,2.0,4.0,21.0,1.0,6.0
Jayson Tatum,2022-23,Postseason,Tue 5/23,@MIA,W116-99,42.0,14-22,63.6,4-9,44.4,1-2,50.0,11.0,7.0,2.0,1.0,3.0,5.0,33.0,4.0,9.0
Jayson Tatum,2022-23,Postseason,Sun 5/21,@MIA,L128-102,33.0,6-18,33.3,1-7,14.3,1-1,100.0,10.0,2.0,0.0,2.0,2.0,3.0,14.0,1.0,7.0
Jayson Tatum,2022-23,Postseason,Fri 5/19,vsMIA,L111-105,42.0,10-20,50.0,3-10,30.0,11-12,91.7,13.0,8.0,0.0,0.0,4.0,5.0,34.0,3.0,10.0
Jayson Tatum,2022-23,Postseason,Wed 5/17,vsMIA,L123-116,41.0,9-17,52.9,1-3,33.3,11-11,100.0,7.0,1.0,1.0,0.0,4.0,4.0,30.0,1.0,3.0
Jayson Tatum,2022-23,Postseason,Sun 5/14,vsPHI,W112-88,42.0,17-28,60.7,6-10,60.0,11-14,78.6,13.0,5.0,0.0,2.0,1.0,0.0,51.0,6.0,10.0
Jayson Tatum,2022-23,Postseason,Thu 5/11,@PHI,W95-86,43.0,5-21,23.8,4-11,36.4,5-5,100.0,9.0,6.0,2.0,2.0,1.0,4.0,19.0,4.0,11.0
Jayson Tatum,2022-23,Postseason,Tue 5/9,vsPHI,L115-103,40.0,11-27,40.7,3-11,27.3,11-13,84.6,10.0,5.0,0.0,2.0,2.0,2.0,36.0,3.0,11.0
Jayson Tatum,2022-23,Postseason,Sun 5/7,@PHI,L116-115 OT,47.0,9-20,45.0,1-6,16.7,5-7,71.4,18.0,6.0,4.0,1.0,3.0,2.0,24.0,1.0,6.0
Jayson Tatum,2022-23,Postseason,Fri 5/5,@PHI,W114-102,43.0,10-20,50.0,3-11,27.3,4-5,80.0,10.0,5.0,1.0,2.0,3.0,4.0,27.0,3.0,11.0
Jayson Tatum,2022-23,Postseason,Wed 5/3,vsPHI,W121-87,19.0,1-7,14.3,0-3,0.0,5-5,100.0,7.0,3.0,1.0,0.0,4.0,2.0,7.0,0.0,3.0
Jayson Tatum,2022-23,Postseason,Mon 5/1,vsPHI,L119-115,44.0,14-25,56.0,4-5,80.0,7-8,87.5,11.0,5.0,1.0,1.0,2.0,1.0,39.0,4.0,5.0
Jayson Tatum,2022-23,Postseason,Thu 4/27,@ATL,W128-120,40.0,11-20,55.0,4-10,40.0,4-4,100.0,14.0,7.0,2.0,1.0,1.0,0.0,30.0,4.0,10.0
Jayson Tatum,2022-23,Postseason,Tue 4/25,vsATL,L119-117,38.0,8-21,38.1,1-10,10.0,2-2,100.0,8.0,8.0,1.0,0.0,2.0,2.0,19.0,1.0,10.0
Jayson Tatum,2022-23,Postseason,Sun 4/23,@ATL,W129-121,39.0,8-20,40.0,4-13,30.8,11-12,91.7,7.0,4.0,3.0,0.0,2.0,3.0,31.0,4.0,13.0
Jayson Tatum,2022-23,Postseason,Fri 4/21,@ATL,L130-122,40.0,9-22,40.9,4-11,36.4,7-9,77.8,10.0,5.0,0.0,2.0,1.0,4.0,29.0,4.0,11.0
Jayson Tatum,2022-23,Postseason,Tue 4/18,vsATL,W119-106,40.0,12-22,54.5,5-9,55.6,0-0,0.0,10.0,6.0,1.0,1.0,1.0,4.0,29.0,5.0,9.0
Jayson Tatum,2022-23,Postseason,Sat 4/15,vsATL,W112-99,40.0,10-23,43.5,3-7,42.9,2-2,100.0,11.0,2.0,0.0,0.0,2.0,2.0,25.0,3.0,7.0
Jayson Tatum,2022-23,Regular,Fri 4/7,vsTOR,W121-102,20.0,7-12,58.3,0-5,0.0,7-9,77.8,3.0,4.0,0.0,0.0,2.0,3.0,21.0,0.0,5.0
Jayson Tatum,2022-23,Regular,Tue 4/4,@PHI,L103-101,38.0,7-20,35.0,2-8,25.0,3-5,60.0,6.0,6.0,0.0,3.0,2.0,2.0,19.0,2.0,8.0
Jayson Tatum,2022-23,Regular,Fri 3/31,vsUTAH,W122-114,36.0,12-17,70.6,5-8,62.5,10-11,90.9,11.0,3.0,0.0,3.0,4.0,0.0,39.0,5.0,8.0
Jayson Tatum,2022-23,Regular,Thu 3/30,@MIL,W140-99,31.0,12-18,66.7,8-10,80.0,8-8,100.0,8.0,1.0,0.0,0.0,1.0,0.0,40.0,8.0,10.0
Jayson Tatum,2022-23,Regular,Tue 3/28,@WSH,L130-111,32.0,11-19,57.9,2-7,28.6,4-4,100.0,9.0,5.0,1.0,0.0,4.0,3.0,28.0,2.0,7.0
Jayson Tatum,2022-23,Regular,Fri 3/24,vsIND,W120-95,32.0,13-24,54.2,3-9,33.3,5-6,83.3,7.0,2.0,0.0,2.0,3.0,6.0,34.0,3.0,9.0
Jayson Tatum,2022-23,Regular,Tue 3/21,@SAC,W132-109,35.0,14-25,56.0,2-7,28.6,6-11,54.5,8.0,4.0,0.0,2.0,0.0,1.0,36.0,2.0,7.0
Jayson Tatum,2022-23,Regular,Sat 3/18,@UTAH,L118-117,39.0,4-12,33.3,3-8,37.5,4-6,66.7,3.0,6.0,1.0,0.0,3.0,2.0,15.0,3.0,8.0
Jayson Tatum,2022-23,Regular,Fri 3/17,@POR,W126-112,36.0,8-20,40.0,2-11,18.2,16-18,88.9,12.0,4.0,0.0,3.0,2.0,5.0,34.0,2.0,11.0
Jayson Tatum,2022-23,Regular,Wed 3/15,@MIN,W104-102,37.0,4-16,25.0,0-8,0.0,14-16,87.5,12.0,2.0,1.0,2.0,5.0,2.0,22.0,0.0,8.0
Jayson Tatum,2022-23,Regular,Mon 3/13,@HOU,L111-109,41.0,8-22,36.4,2-10,20.0,4-4,100.0,8.0,6.0,0.0,1.0,1.0,4.0,22.0,2.0,10.0
Jayson Tatum,2022-23,Regular,Sat 3/11,@ATL,W134-125,35.0,12-25,48.0,5-14,35.7,5-6,83.3,15.0,6.0,1.0,0.0,5.0,1.0,34.0,5.0,14.0
Jayson Tatum,2022-23,Regular,Wed 3/8,vsPOR,W115-93,31.0,11-17,64.7,6-10,60.0,2-4,50.0,7.0,2.0,0.0,1.0,0.0,3.0,30.0,6.0,10.0
Jayson Tatum,2022-23,Regular,Sun 3/5,vsNY,L131-129 2OT,49.0,12-30,40.0,6-17,35.3,10-12,83.3,11.0,6.0,0.0,0.0,2.0,2.0,40.0,6.0,17.0
Jayson Tatum,2022-23,Regular,Fri 3/3,vsBKN,L115-105,38.0,10-23,43.5,0-7,0.0,2-2,100.0,13.0,5.0,2.0,1.0,2.0,4.0,22.0,0.0,7.0
