Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jeremiah Robinson Earl,2022-23,Regular,Sun 4/9,vsMEM,W115-100,40.0,3-13,23.1,2-6,33.3,2-2,100.0,8.0,3.0,0.0,0.0,6.0,0.0,10.0,2.0,6.0
Jeremiah Robinson Earl,2022-23,Regular,Thu 4/6,@UTAH,W114-98,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 3/29,vsDET,W107-106,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Tue 3/28,vsCHA,L137-134,27.0,3-8,37.5,1-3,33.3,0-0,0.0,5.0,2.0,0.0,2.0,4.0,1.0,7.0,1.0,3.0
Jeremiah Robinson Earl,2022-23,Regular,Sun 3/26,@POR,W118-112,13.0,2-4,50.0,1-1,100.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,5.0,1.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Fri 3/24,@LAL,L116-111,17.0,5-6,83.3,2-3,66.7,2-2,100.0,3.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,3.0
Jeremiah Robinson Earl,2022-23,Regular,Thu 3/23,@LAC,L127-105,11.0,2-5,40.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Sun 3/19,vsPHX,W124-120,5.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Jeremiah Robinson Earl,2022-23,Regular,Thu 3/16,@TOR,L128-111,9.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 3/8,@PHX,L132-101,24.0,3-5,60.0,0-1,0.0,2-2,100.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 3/1,vsLAL,L123-117,16.0,0-2,0.0,0-1,0.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Tue 2/28,vsSAC,L123-117,21.0,1-6,16.7,1-5,20.0,2-2,100.0,2.0,1.0,0.0,0.0,2.0,0.0,5.0,1.0,5.0
Jeremiah Robinson Earl,2022-23,Regular,Sun 2/26,vsSAC,L124-115,19.0,2-6,33.3,1-4,25.0,2-2,100.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,1.0,4.0
Jeremiah Robinson Earl,2022-23,Regular,Fri 2/24,@PHX,L124-115,10.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Thu 2/23,@UTAH,L120-119 OT,11.0,1-6,16.7,0-3,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 2/15,vsHOU,W133-96,18.0,3-4,75.0,0-0,0.0,3-4,75.0,3.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0
Jeremiah Robinson Earl,2022-23,Regular,Mon 2/13,vsNO,L103-100,18.0,0-5,0.0,0-4,0.0,0-0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0
Jeremiah Robinson Earl,2022-23,Regular,Mon 12/12,@DAL,L121-114,14.0,2-3,66.7,0-1,0.0,2-2,100.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Sat 12/10,@CLE,L110-102,17.0,2-5,40.0,0-1,0.0,0-0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,4.0,0.0,1.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 12/7,@MEM,L123-102,27.0,4-11,36.4,1-4,25.0,0-0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,9.0,1.0,4.0
Jeremiah Robinson Earl,2022-23,Regular,Mon 12/5,@ATL,W121-114,29.0,4-6,66.7,2-2,100.0,0-0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,10.0,2.0,2.0
Jeremiah Robinson Earl,2022-23,Regular,Sat 12/3,@MIN,W135-128,29.0,5-11,45.5,0-3,0.0,4-4,100.0,7.0,2.0,0.0,2.0,3.0,1.0,14.0,0.0,3.0
Jeremiah Robinson Earl,2022-23,Regular,Wed 11/30,vsSA,W119-111,26.0,2-5,40.0,1-3,33.3,2-2,100.0,5.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,3.0
