Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jimmy Butler,2022-23,Postseason,Mon 6/12,@DEN,L94-89,41.0,5-18,27.8,2-5,40.0,9-11,81.8,3.0,5.0,0.0,3.0,2.0,1.0,21.0,2.0,5.0
Jimmy Butler,2022-23,Postseason,Fri 6/9,vsDEN,L108-95,45.0,9-17,52.9,1-3,33.3,6-9,66.7,7.0,7.0,1.0,1.0,1.0,1.0,25.0,1.0,3.0
Jimmy Butler,2022-23,Postseason,Wed 6/7,vsDEN,L109-94,40.0,11-24,45.8,1-4,25.0,5-6,83.3,2.0,4.0,1.0,0.0,2.0,2.0,28.0,1.0,4.0
Jimmy Butler,2022-23,Postseason,Sun 6/4,@DEN,W111-108,40.0,7-19,36.8,2-5,40.0,5-5,100.0,4.0,9.0,0.0,0.0,0.0,1.0,21.0,2.0,5.0
Jimmy Butler,2022-23,Postseason,Thu 6/1,@DEN,L104-93,38.0,6-14,42.9,1-2,50.0,0-0,0.0,7.0,7.0,1.0,1.0,1.0,1.0,13.0,1.0,2.0
Jimmy Butler,2022-23,Postseason,Mon 5/29,@BOS,W103-84,43.0,12-28,42.9,3-7,42.9,1-2,50.0,7.0,6.0,0.0,3.0,2.0,1.0,28.0,3.0,7.0
Jimmy Butler,2022-23,Postseason,Sat 5/27,vsBOS,L104-103,47.0,5-21,23.8,2-4,50.0,12-14,85.7,11.0,8.0,0.0,1.0,3.0,2.0,24.0,2.0,4.0
Jimmy Butler,2022-23,Postseason,Thu 5/25,@BOS,L110-97,34.0,5-10,50.0,0-2,0.0,4-6,66.7,5.0,5.0,0.0,2.0,1.0,2.0,14.0,0.0,2.0
Jimmy Butler,2022-23,Postseason,Tue 5/23,vsBOS,L116-99,39.0,9-21,42.9,1-4,25.0,10-12,83.3,9.0,5.0,1.0,1.0,1.0,2.0,29.0,1.0,4.0
Jimmy Butler,2022-23,Postseason,Sun 5/21,vsBOS,W128-102,31.0,5-13,38.5,0-1,0.0,6-7,85.7,8.0,6.0,0.0,2.0,0.0,2.0,16.0,0.0,1.0
Jimmy Butler,2022-23,Postseason,Fri 5/19,@BOS,W111-105,41.0,12-25,48.0,0-1,0.0,3-3,100.0,8.0,6.0,2.0,3.0,1.0,3.0,27.0,0.0,1.0
Jimmy Butler,2022-23,Postseason,Wed 5/17,@BOS,W123-116,43.0,12-25,48.0,2-4,50.0,9-10,90.0,5.0,7.0,0.0,6.0,4.0,3.0,35.0,2.0,4.0
Jimmy Butler,2022-23,Postseason,Fri 5/12,vsNY,W96-92,41.0,7-22,31.8,0-3,0.0,10-11,90.9,8.0,4.0,0.0,0.0,2.0,0.0,24.0,0.0,3.0
Jimmy Butler,2022-23,Postseason,Wed 5/10,@NY,L112-103,43.0,5-12,41.7,0-0,0.0,9-11,81.8,7.0,9.0,2.0,4.0,3.0,1.0,19.0,0.0,0.0
Jimmy Butler,2022-23,Postseason,Mon 5/8,vsNY,W109-101,42.0,9-17,52.9,1-3,33.3,8-9,88.9,6.0,10.0,2.0,2.0,2.0,3.0,27.0,1.0,3.0
Jimmy Butler,2022-23,Postseason,Sat 5/6,vsNY,W105-86,36.0,9-21,42.9,0-2,0.0,10-11,90.9,4.0,3.0,2.0,0.0,1.0,2.0,28.0,0.0,2.0
Jimmy Butler,2022-23,Postseason,Sun 4/30,@NY,W108-101,43.0,8-16,50.0,0-1,0.0,9-11,81.8,11.0,4.0,0.0,2.0,3.0,2.0,25.0,0.0,1.0
Jimmy Butler,2022-23,Postseason,Wed 4/26,@MIL,W128-126 OT,46.0,17-33,51.5,3-10,30.0,5-9,55.6,8.0,4.0,1.0,2.0,2.0,5.0,42.0,3.0,10.0
Jimmy Butler,2022-23,Postseason,Mon 4/24,vsMIL,W119-114,41.0,19-28,67.9,3-8,37.5,15-18,83.3,9.0,2.0,1.0,0.0,0.0,1.0,56.0,3.0,8.0
Jimmy Butler,2022-23,Postseason,Sat 4/22,vsMIL,W121-99,28.0,12-19,63.2,4-4,100.0,2-3,66.7,5.0,4.0,0.0,2.0,2.0,2.0,30.0,4.0,4.0
Jimmy Butler,2022-23,Postseason,Wed 4/19,@MIL,L138-122,28.0,8-12,66.7,2-4,50.0,7-10,70.0,3.0,3.0,0.0,2.0,0.0,1.0,25.0,2.0,4.0
Jimmy Butler,2022-23,Postseason,Sun 4/16,@MIL,W130-117,43.0,15-27,55.6,0-1,0.0,5-8,62.5,5.0,11.0,0.0,3.0,4.0,3.0,35.0,0.0,1.0
Jimmy Butler,2022-23,Regular,Thu 4/6,@PHI,W129-101,29.0,9-12,75.0,1-3,33.3,5-6,83.3,3.0,6.0,0.0,0.0,1.0,0.0,24.0,1.0,3.0
Jimmy Butler,2022-23,Regular,Tue 4/4,@DET,W118-105,35.0,9-12,75.0,0-0,0.0,9-11,81.8,8.0,8.0,0.0,4.0,0.0,2.0,27.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Sat 4/1,vsDAL,W129-122,37.0,12-16,75.0,1-3,33.3,10-11,90.9,3.0,12.0,0.0,1.0,2.0,0.0,35.0,1.0,3.0
Jimmy Butler,2022-23,Regular,Wed 3/29,@NY,L101-92,35.0,5-10,50.0,0-0,0.0,2-2,100.0,3.0,6.0,0.0,0.0,1.0,1.0,12.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Sat 3/25,vsBKN,L129-100,33.0,6-13,46.2,1-2,50.0,5-7,71.4,1.0,5.0,0.0,0.0,1.0,1.0,18.0,1.0,2.0
Jimmy Butler,2022-23,Regular,Wed 3/22,vsNY,W127-120,37.0,11-19,57.9,2-2,100.0,11-14,78.6,4.0,9.0,0.0,4.0,1.0,1.0,35.0,2.0,2.0
Jimmy Butler,2022-23,Regular,Sun 3/19,@DET,W112-100,35.0,8-11,72.7,0-0,0.0,10-11,90.9,4.0,10.0,0.0,1.0,1.0,1.0,26.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Sat 3/18,@CHI,L113-99,33.0,8-13,61.5,0-1,0.0,8-10,80.0,7.0,1.0,0.0,0.0,3.0,1.0,24.0,0.0,1.0
Jimmy Butler,2022-23,Regular,Wed 3/15,vsMEM,W138-119,28.0,6-11,54.5,0-0,0.0,11-12,91.7,8.0,6.0,1.0,2.0,0.0,1.0,23.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Mon 3/13,vsUTAH,W119-115,31.0,5-14,35.7,1-2,50.0,13-15,86.7,8.0,4.0,2.0,4.0,1.0,1.0,24.0,1.0,2.0
Jimmy Butler,2022-23,Regular,Sat 3/11,@ORL,L126-114 OT,39.0,14-25,56.0,2-7,28.6,8-8,100.0,5.0,2.0,0.0,1.0,2.0,2.0,38.0,2.0,7.0
Jimmy Butler,2022-23,Regular,Fri 3/10,vsCLE,W119-115,35.0,12-16,75.0,1-1,100.0,8-9,88.9,5.0,3.0,1.0,0.0,2.0,1.0,33.0,1.0,1.0
Jimmy Butler,2022-23,Regular,Wed 3/8,vsCLE,L104-100,35.0,8-14,57.1,0-1,0.0,12-15,80.0,5.0,5.0,1.0,2.0,1.0,2.0,28.0,0.0,1.0
Jimmy Butler,2022-23,Regular,Mon 3/6,vsATL,W130-128,33.0,8-14,57.1,0-0,0.0,10-12,83.3,10.0,9.0,0.0,0.0,2.0,2.0,26.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Sat 3/4,vsATL,W117-109,34.0,5-8,62.5,1-1,100.0,4-4,100.0,11.0,7.0,0.0,2.0,1.0,2.0,15.0,1.0,1.0
Jimmy Butler,2022-23,Regular,Fri 3/3,vsNY,L122-120,33.0,7-15,46.7,1-2,50.0,18-20,90.0,8.0,5.0,0.0,2.0,0.0,0.0,33.0,1.0,2.0
Jimmy Butler,2022-23,Regular,Wed 3/1,vsPHI,L119-96,27.0,6-8,75.0,0-0,0.0,4-4,100.0,3.0,3.0,0.0,1.0,1.0,1.0,16.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Mon 2/27,@PHI,W101-99,32.0,9-14,64.3,1-1,100.0,4-6,66.7,11.0,9.0,0.0,4.0,1.0,3.0,23.0,1.0,1.0
Jimmy Butler,2022-23,Regular,Sat 2/25,@CHA,L108-103,33.0,6-8,75.0,0-0,0.0,16-20,80.0,3.0,6.0,0.0,1.0,1.0,3.0,28.0,0.0,0.0
Jimmy Butler,2022-23,Regular,Fri 2/24,@MIL,L128-99,21.0,8-10,80.0,1-1,100.0,6-8,75.0,2.0,1.0,0.0,0.0,1.0,2.0,23.0,1.0,1.0
Jimmy Butler,2022-23,Regular,Wed 2/15,@BKN,L116-105,32.0,4-11,36.4,0-0,0.0,5-5,100.0,3.0,6.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0
