Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jock Landale,2022-23,Postseason,Thu 5/11,vsDEN,L125-100,31.0,5-6,83.3,0-0,0.0,3-4,75.0,5.0,1.0,1.0,0.0,4.0,1.0,13.0,0.0,0.0
Jock Landale,2022-23,Postseason,Tue 5/9,@DEN,L118-102,16.0,2-4,50.0,0-0,0.0,1-2,50.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0
Jock Landale,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,21.0,4-6,66.7,0-0,0.0,0-0,0.0,5.0,1.0,1.0,1.0,4.0,0.0,8.0,0.0,0.0
Jock Landale,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,22.0,3-3,100.0,0-0,0.0,0-0,0.0,9.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0
Jock Landale,2022-23,Postseason,Mon 5/1,@DEN,L97-87,5.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Jock Landale,2022-23,Postseason,Sat 4/29,@DEN,L125-107,10.0,2-5,40.0,0-1,0.0,3-4,75.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0
Jock Landale,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,8.0,1-3,33.3,0-0,0.0,2-4,50.0,2.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
Jock Landale,2022-23,Regular,Sun 4/9,vsLAC,L119-114,21.0,7-13,53.8,1-1,100.0,0-0,0.0,8.0,2.0,0.0,0.0,2.0,1.0,15.0,1.0,1.0
Jock Landale,2022-23,Regular,Fri 4/7,@LAL,L121-107,30.0,8-13,61.5,0-1,0.0,1-3,33.3,10.0,2.0,0.0,0.0,2.0,2.0,17.0,0.0,1.0
Jock Landale,2022-23,Regular,Thu 4/6,vsDEN,W119-115,5.0,1-1,100.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jock Landale,2022-23,Regular,Tue 4/4,vsSA,W115-94,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jock Landale,2022-23,Regular,Sat 3/25,vsPHI,W125-105,14.0,1-2,50.0,0-0,0.0,0-1,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0
Jock Landale,2022-23,Regular,Fri 3/24,@SAC,L135-127,25.0,8-11,72.7,0-0,0.0,1-1,100.0,6.0,3.0,0.0,0.0,3.0,0.0,17.0,0.0,0.0
Jock Landale,2022-23,Regular,Wed 3/22,@LAL,L122-111,21.0,2-6,33.3,0-1,0.0,0-0,0.0,5.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,1.0
Jock Landale,2022-23,Regular,Sun 3/19,@OKC,L124-120,15.0,2-5,40.0,1-1,100.0,0-1,0.0,3.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0
Jock Landale,2022-23,Regular,Thu 3/16,vsORL,W116-113,13.0,4-6,66.7,0-0,0.0,0-0,0.0,3.0,2.0,0.0,0.0,4.0,3.0,8.0,0.0,0.0
