Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Joe Ingles,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,8.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Joe Ingles,2022-23,Postseason,Mon 4/24,@MIA,L119-114,18.0,1-1,100.0,1-1,100.0,0-0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0
Joe Ingles,2022-23,Postseason,Sat 4/22,@MIA,L121-99,22.0,2-7,28.6,1-6,16.7,0-0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,6.0
Joe Ingles,2022-23,Postseason,Wed 4/19,vsMIA,W138-122,25.0,6-7,85.7,5-6,83.3,0-0,0.0,4.0,4.0,0.0,2.0,1.0,2.0,17.0,5.0,6.0
Joe Ingles,2022-23,Postseason,Sun 4/16,vsMIA,L130-117,15.0,3-7,42.9,3-7,42.9,0-0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,9.0,3.0,7.0
Joe Ingles,2022-23,Regular,Sun 4/9,@TOR,L121-105,18.0,1-3,33.3,0-2,0.0,0-0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
Joe Ingles,2022-23,Regular,Wed 4/5,vsCHI,W105-92,24.0,3-7,42.9,3-7,42.9,0-0,0.0,1.0,3.0,0.0,2.0,1.0,2.0,9.0,3.0,7.0
Joe Ingles,2022-23,Regular,Tue 4/4,@WSH,W140-128,28.0,4-6,66.7,4-6,66.7,0-0,0.0,3.0,5.0,1.0,2.0,0.0,3.0,12.0,4.0,6.0
Joe Ingles,2022-23,Regular,Sun 4/2,vsPHI,W117-104,20.0,2-3,66.7,2-3,66.7,0-0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,6.0,2.0,3.0
Joe Ingles,2022-23,Regular,Thu 3/30,vsBOS,L140-99,16.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Joe Ingles,2022-23,Regular,Mon 3/27,@DET,W126-117,20.0,1-7,14.3,1-5,20.0,0-0,0.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,1.0,5.0
Joe Ingles,2022-23,Regular,Sat 3/25,@DEN,L129-106,19.0,0-1,0.0,0-1,0.0,2-2,100.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
Joe Ingles,2022-23,Regular,Fri 3/24,@UTAH,W144-116,22.0,2-5,40.0,2-5,40.0,0-0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,6.0,2.0,5.0
Joe Ingles,2022-23,Regular,Wed 3/22,vsSA,W130-94,22.0,5-7,71.4,4-6,66.7,0-0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,14.0,4.0,6.0
Joe Ingles,2022-23,Regular,Sun 3/19,vsTOR,W118-111,21.0,2-4,50.0,2-4,50.0,0-0,0.0,5.0,5.0,0.0,1.0,3.0,0.0,6.0,2.0,4.0
Joe Ingles,2022-23,Regular,Thu 3/16,vsIND,L139-123,28.0,4-5,80.0,4-5,80.0,2-2,100.0,5.0,0.0,0.0,0.0,1.0,2.0,14.0,4.0,5.0
