Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Joel Embiid,2022-23,Postseason,Sun 5/14,@BOS,L112-88,38.0,5-18,27.8,0-4,0.0,5-6,83.3,8.0,1.0,2.0,0.0,3.0,4.0,15.0,0.0,4.0
Joel Embiid,2022-23,Postseason,Thu 5/11,vsBOS,L95-86,41.0,9-19,47.4,0-2,0.0,8-8,100.0,10.0,1.0,3.0,1.0,3.0,4.0,26.0,0.0,2.0
Joel Embiid,2022-23,Postseason,Tue 5/9,@BOS,W115-103,37.0,10-23,43.5,3-7,42.9,10-11,90.9,7.0,3.0,4.0,0.0,3.0,4.0,33.0,3.0,7.0
Joel Embiid,2022-23,Postseason,Sun 5/7,vsBOS,W116-115 OT,46.0,11-26,42.3,0-3,0.0,12-15,80.0,13.0,4.0,0.0,1.0,3.0,2.0,34.0,0.0,3.0
Joel Embiid,2022-23,Postseason,Fri 5/5,vsBOS,L114-102,39.0,9-19,47.4,1-2,50.0,11-12,91.7,13.0,3.0,4.0,1.0,3.0,3.0,30.0,1.0,2.0
Joel Embiid,2022-23,Postseason,Wed 5/3,@BOS,L121-87,27.0,4-9,44.4,0-2,0.0,7-8,87.5,3.0,0.0,5.0,0.0,2.0,3.0,15.0,0.0,2.0
Joel Embiid,2022-23,Postseason,Thu 4/20,@BKN,W102-97,38.0,5-13,38.5,0-3,0.0,4-5,80.0,10.0,2.0,2.0,1.0,5.0,5.0,14.0,0.0,3.0
Joel Embiid,2022-23,Postseason,Mon 4/17,vsBKN,W96-84,37.0,6-11,54.5,0-1,0.0,8-8,100.0,19.0,7.0,3.0,1.0,2.0,8.0,20.0,0.0,1.0
Joel Embiid,2022-23,Postseason,Sat 4/15,vsBKN,W121-101,33.0,7-15,46.7,1-4,25.0,11-11,100.0,5.0,3.0,2.0,1.0,3.0,2.0,26.0,1.0,4.0
Joel Embiid,2022-23,Regular,Thu 4/6,vsMIA,L129-101,30.0,9-13,69.2,1-2,50.0,2-4,50.0,6.0,2.0,2.0,0.0,1.0,2.0,21.0,1.0,2.0
Joel Embiid,2022-23,Regular,Tue 4/4,vsBOS,W103-101,39.0,20-25,80.0,0-1,0.0,12-13,92.3,13.0,6.0,2.0,0.0,3.0,3.0,52.0,0.0,1.0
Joel Embiid,2022-23,Regular,Sun 4/2,@MIL,L117-104,32.0,11-25,44.0,1-7,14.3,5-5,100.0,9.0,5.0,0.0,0.0,4.0,1.0,28.0,1.0,7.0
Joel Embiid,2022-23,Regular,Fri 3/31,vsTOR,W117-110,34.0,7-13,53.8,0-2,0.0,11-12,91.7,12.0,1.0,1.0,0.0,3.0,5.0,25.0,0.0,2.0
Joel Embiid,2022-23,Regular,Wed 3/29,vsDAL,W116-108,33.0,8-17,47.1,1-3,33.3,8-9,88.9,9.0,3.0,1.0,1.0,4.0,4.0,25.0,1.0,3.0
