Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
John Butler Jr,2022-23,Regular,Sun 4/9,vsGS,L157-101,22.0,1-5,20.0,1-3,33.3,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0
John Butler Jr,2022-23,Regular,Sat 4/8,@LAC,L136-125,22.0,3-5,60.0,1-3,33.3,0-1,0.0,1.0,3.0,1.0,0.0,4.0,0.0,7.0,1.0,3.0
John Butler Jr,2022-23,Regular,Thu 4/6,@SA,L129-127,37.0,4-11,36.4,2-6,33.3,2-2,100.0,2.0,4.0,2.0,2.0,2.0,1.0,12.0,2.0,6.0
John Butler Jr,2022-23,Regular,Tue 4/4,@MEM,L119-109,25.0,4-9,44.4,2-7,28.6,0-0,0.0,5.0,0.0,1.0,1.0,1.0,0.0,10.0,2.0,7.0
John Butler Jr,2022-23,Regular,Sun 4/2,@MIN,W107-105,18.0,2-5,40.0,1-3,33.3,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0
John Butler Jr,2022-23,Regular,Fri 3/31,vsSAC,L138-114,16.0,1-4,25.0,1-3,33.3,0-0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0,3.0
John Butler Jr,2022-23,Regular,Wed 3/29,vsSAC,L120-80,26.0,1-6,16.7,0-4,0.0,1-1,100.0,3.0,1.0,1.0,2.0,4.0,0.0,3.0,0.0,4.0
John Butler Jr,2022-23,Regular,Mon 3/27,vsNO,L124-90,17.0,0-3,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
John Butler Jr,2022-23,Regular,Fri 3/24,vsCHI,L124-96,8.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Wed 3/22,@UTAH,W127-115,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Thu 2/23,@SAC,L133-116,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
John Butler Jr,2022-23,Regular,Mon 2/13,vsLAL,W127-115,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Mon 2/6,vsMIL,L127-108,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Sat 1/28,vsTOR,L123-105,2.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
John Butler Jr,2022-23,Regular,Mon 1/23,vsSA,W147-127,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Wed 11/30,@LAL,L128-109,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Wed 11/23,@CLE,L114-96,3.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
John Butler Jr,2022-23,Regular,Mon 11/21,@MIL,L119-111,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Butler Jr,2022-23,Regular,Sat 11/5,@PHX,L102-82,9.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
John Butler Jr,2022-23,Preseason,Sun 10/9,@SA,W111-97,8.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
