Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
John Konchar,2022-23,Postseason,Fri 4/28,@LAL,L125-85,15.0,1-3,33.3,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0
John Konchar,2022-23,Postseason,Wed 4/26,vsLAL,W116-99,10.0,0-2,0.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
John Konchar,2022-23,Postseason,Sat 4/22,@LAL,L111-101,9.0,0-1,0.0,0-1,0.0,0-0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
John Konchar,2022-23,Postseason,Wed 4/19,vsLAL,W103-93,14.0,1-3,33.3,0-1,0.0,0-0,0.0,2.0,3.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0
John Konchar,2022-23,Postseason,Sun 4/16,vsLAL,L128-112,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Konchar,2022-23,Regular,Sun 4/9,@OKC,L115-100,36.0,1-5,20.0,0-2,0.0,0-0,0.0,9.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,2.0
John Konchar,2022-23,Regular,Fri 4/7,@MIL,W137-114,30.0,6-8,75.0,1-3,33.3,0-0,0.0,7.0,3.0,0.0,5.0,2.0,0.0,13.0,1.0,3.0
John Konchar,2022-23,Regular,Wed 4/5,@NO,L138-131 OT,22.0,5-7,71.4,0-0,0.0,0-1,0.0,9.0,4.0,1.0,1.0,1.0,0.0,10.0,0.0,0.0
John Konchar,2022-23,Regular,Tue 4/4,vsPOR,W119-109,13.0,0-2,0.0,0-2,0.0,0-0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
John Konchar,2022-23,Regular,Sun 4/2,@CHI,L128-107,1.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Konchar,2022-23,Regular,Tue 3/28,vsORL,W113-108,15.0,0-2,0.0,0-1,0.0,1-2,50.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0
John Konchar,2022-23,Regular,Sun 3/26,@ATL,W123-119,12.0,1-3,33.3,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0
John Konchar,2022-23,Regular,Fri 3/24,vsHOU,W151-114,18.0,1-4,25.0,1-4,25.0,0-0,0.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,4.0
John Konchar,2022-23,Regular,Wed 3/22,vsHOU,W130-125,15.0,1-3,33.3,0-2,0.0,0-0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,2.0,0.0,2.0
John Konchar,2022-23,Regular,Mon 3/20,vsDAL,W112-108,18.0,1-3,33.3,1-3,33.3,0-0,0.0,7.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,3.0
John Konchar,2022-23,Regular,Sat 3/18,vsGS,W133-119,15.0,0-1,0.0,0-1,0.0,0-0,0.0,3.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0
