Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Johnny Davis,2022-23,Regular,Sun 4/9,vsHOU,L114-109,40.0,4-20,20.0,3-15,20.0,2-4,50.0,8.0,8.0,0.0,2.0,4.0,2.0,13.0,3.0,15.0
Johnny Davis,2022-23,Regular,Fri 4/7,vsMIA,W114-108,38.0,7-20,35.0,2-8,25.0,0-0,0.0,4.0,1.0,0.0,1.0,3.0,2.0,16.0,2.0,8.0
Johnny Davis,2022-23,Regular,Wed 4/5,@ATL,L134-116,36.0,8-18,44.4,1-4,25.0,3-5,60.0,7.0,3.0,2.0,2.0,4.0,4.0,20.0,1.0,4.0
Johnny Davis,2022-23,Regular,Tue 4/4,vsMIL,L140-128,37.0,9-17,52.9,2-5,40.0,0-1,0.0,5.0,4.0,2.0,2.0,2.0,1.0,20.0,2.0,5.0
Johnny Davis,2022-23,Regular,Sun 4/2,@NY,L118-109,30.0,6-11,54.5,2-6,33.3,2-4,50.0,6.0,3.0,0.0,0.0,3.0,0.0,16.0,2.0,6.0
Johnny Davis,2022-23,Regular,Fri 3/31,vsORL,L116-109,28.0,4-15,26.7,2-10,20.0,0-0,0.0,3.0,1.0,2.0,0.0,3.0,2.0,10.0,2.0,10.0
Johnny Davis,2022-23,Regular,Tue 3/28,vsBOS,W130-111,23.0,3-9,33.3,1-5,20.0,0-0,0.0,8.0,1.0,0.0,0.0,2.0,0.0,7.0,1.0,5.0
Johnny Davis,2022-23,Regular,Sun 3/26,@TOR,L114-104,30.0,5-8,62.5,3-4,75.0,2-4,50.0,4.0,2.0,0.0,1.0,1.0,1.0,15.0,3.0,4.0
Johnny Davis,2022-23,Regular,Fri 3/24,vsSA,W136-124,15.0,1-5,20.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,0.0,1.0
Johnny Davis,2022-23,Regular,Wed 3/22,vsDEN,L118-104,23.0,3-9,33.3,0-3,0.0,1-2,50.0,3.0,0.0,0.0,1.0,4.0,0.0,7.0,0.0,3.0
Johnny Davis,2022-23,Regular,Tue 3/21,@ORL,L122-112,4.0,1-2,50.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Johnny Davis,2022-23,Regular,Sat 3/18,vsSAC,L132-118,13.0,2-5,40.0,0-2,0.0,0-3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0
Johnny Davis,2022-23,Regular,Fri 3/17,@CLE,L117-94,19.0,2-3,66.7,0-0,0.0,0-0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0
Johnny Davis,2022-23,Regular,Tue 3/14,vsDET,W117-97,19.0,5-11,45.5,0-2,0.0,1-1,100.0,5.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,2.0
Johnny Davis,2022-23,Regular,Sun 3/12,@PHI,L112-93,7.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Tue 2/14,@POR,W126-101,2.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Johnny Davis,2022-23,Regular,Sat 2/11,vsIND,W127-113,3.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Mon 2/6,vsCLE,L114-91,6.0,1-3,33.3,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Johnny Davis,2022-23,Regular,Wed 12/28,vsPHX,W127-102,2.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Johnny Davis,2022-23,Regular,Thu 12/22,@UTAH,L120-112,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Mon 11/28,vsMIN,W142-127,4.0,1-3,33.3,0-1,0.0,1-1,100.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
Johnny Davis,2022-23,Regular,Wed 11/23,@MIA,L113-105,6.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Sun 11/20,vsCHA,W106-102,5.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Fri 11/4,vsBKN,L128-86,8.0,0-0,0.0,0-0,0.0,2-2,100.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0
Johnny Davis,2022-23,Regular,Mon 10/31,vsPHI,L118-111,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johnny Davis,2022-23,Regular,Sun 10/30,@BOS,L112-94,8.0,1-3,33.3,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Johnny Davis,2022-23,Regular,Fri 10/28,vsIND,L127-117,7.0,1-2,50.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Johnny Davis,2022-23,Regular,Tue 10/25,vsDET,W120-99,3.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Johnny Davis,2022-23,Preseason,Fri 10/14,@NY,L105-89,14.0,0-5,0.0,0-4,0.0,0-0,0.0,5.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0
Johnny Davis,2022-23,Preseason,Mon 10/10,@CHA,W116-107,15.0,2-4,50.0,0-0,0.0,0-0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0
Johnny Davis,2022-23,Preseason,Sun 10/2,vsGS,L104-95,25.0,0-7,0.0,0-2,0.0,2-2,100.0,5.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0
Johnny Davis,2022-23,Preseason,Fri 9/30,vsGS,L96-87,22.0,0-5,0.0,0-0,0.0,4-4,100.0,2.0,3.0,0.0,3.0,2.0,2.0,4.0,0.0,0.0
