Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jonas Valanciunas,2022-23,Regular,Sun 4/9,@MIN,L113-108,22.0,5-14,35.7,1-3,33.3,0-0,0.0,18.0,1.0,1.0,0.0,3.0,2.0,11.0,1.0,3.0
Jonas Valanciunas,2022-23,Regular,Fri 4/7,vsNY,W113-105,25.0,3-7,42.9,0-0,0.0,2-2,100.0,12.0,1.0,3.0,0.0,4.0,2.0,8.0,0.0,0.0
Jonas Valanciunas,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,19.0,1-2,50.0,0-0,0.0,2-2,100.0,6.0,1.0,3.0,1.0,5.0,0.0,4.0,0.0,0.0
Jonas Valanciunas,2022-23,Regular,Tue 4/4,vsSAC,L121-103,27.0,5-10,50.0,0-0,0.0,3-4,75.0,8.0,4.0,0.0,0.0,3.0,1.0,13.0,0.0,0.0
Jonas Valanciunas,2022-23,Regular,Sat 4/1,vsLAC,W122-114,28.0,10-18,55.6,1-1,100.0,2-2,100.0,12.0,0.0,1.0,0.0,3.0,3.0,23.0,1.0,1.0
Jonas Valanciunas,2022-23,Regular,Thu 3/30,@DEN,W107-88,25.0,5-11,45.5,0-1,0.0,5-5,100.0,12.0,4.0,1.0,0.0,4.0,1.0,15.0,0.0,1.0
Jonas Valanciunas,2022-23,Regular,Tue 3/28,@GS,L120-109,22.0,5-8,62.5,0-1,0.0,1-2,50.0,9.0,5.0,0.0,0.0,2.0,4.0,11.0,0.0,1.0
Jonas Valanciunas,2022-23,Regular,Mon 3/27,@POR,W124-90,30.0,4-6,66.7,0-0,0.0,2-4,50.0,21.0,0.0,2.0,0.0,5.0,5.0,10.0,0.0,0.0
Jonas Valanciunas,2022-23,Regular,Sat 3/25,@LAC,W131-110,32.0,8-18,44.4,1-2,50.0,0-0,0.0,13.0,4.0,1.0,1.0,5.0,2.0,17.0,1.0,2.0
Jonas Valanciunas,2022-23,Regular,Thu 3/23,vsCHA,W115-96,34.0,10-16,62.5,0-1,0.0,0-0,0.0,19.0,3.0,0.0,1.0,2.0,3.0,20.0,0.0,1.0
Jonas Valanciunas,2022-23,Regular,Tue 3/21,vsSA,W119-84,28.0,8-10,80.0,1-1,100.0,2-2,100.0,15.0,5.0,0.0,0.0,3.0,5.0,19.0,1.0,1.0
Jonas Valanciunas,2022-23,Regular,Sun 3/19,@HOU,W117-107,33.0,6-12,50.0,1-1,100.0,8-9,88.9,12.0,2.0,2.0,1.0,5.0,3.0,21.0,1.0,1.0
Jonas Valanciunas,2022-23,Regular,Fri 3/17,@HOU,L114-112,34.0,10-16,62.5,0-2,0.0,2-2,100.0,17.0,0.0,4.0,0.0,2.0,0.0,22.0,0.0,2.0
Jonas Valanciunas,2022-23,Regular,Tue 3/14,vsLAL,L123-108,16.0,5-10,50.0,0-2,0.0,0-0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,10.0,0.0,2.0
Jonas Valanciunas,2022-23,Regular,Sun 3/12,vsPOR,W127-110,21.0,5-8,62.5,0-0,0.0,1-1,100.0,12.0,2.0,2.0,0.0,2.0,1.0,11.0,0.0,0.0
Jonas Valanciunas,2022-23,Regular,Sat 3/11,vsOKC,L110-96,16.0,4-6,66.7,1-1,100.0,4-5,80.0,4.0,1.0,0.0,0.0,3.0,3.0,13.0,1.0,1.0
Jonas Valanciunas,2022-23,Regular,Wed 3/8,vsDAL,W113-106,7.0,0-0,0.0,0-0,0.0,0-0,0.0,4.0,2.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0
