Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jonathan Kuminga,2022-23,Postseason,Fri 5/12,@LAL,L122-101,4.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Jonathan Kuminga,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,2.0,2-2,100.0,1-1,100.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
Jonathan Kuminga,2022-23,Postseason,Sat 5/6,@LAL,L127-97,9.0,3-4,75.0,1-1,100.0,3-4,75.0,1.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,1.0
Jonathan Kuminga,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,10.0,1-4,25.0,1-1,100.0,0-0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0
Jonathan Kuminga,2022-23,Postseason,Sun 4/30,@SAC,W120-100,3.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Jonathan Kuminga,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,3.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,2022-23,Postseason,Thu 4/20,vsSAC,W114-97,13.0,3-7,42.9,0-2,0.0,0-2,0.0,2.0,1.0,0.0,1.0,2.0,0.0,6.0,0.0,2.0
Jonathan Kuminga,2022-23,Postseason,Mon 4/17,@SAC,L114-106,4.0,0-0,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Kuminga,2022-23,Postseason,Sat 4/15,@SAC,L126-123,10.0,3-6,50.0,0-2,0.0,2-3,66.7,0.0,1.0,0.0,1.0,2.0,2.0,8.0,0.0,2.0
Jonathan Kuminga,2022-23,Regular,Sun 4/9,@POR,W157-101,24.0,6-9,66.7,1-1,100.0,2-2,100.0,7.0,6.0,2.0,1.0,2.0,3.0,15.0,1.0,1.0
Jonathan Kuminga,2022-23,Regular,Fri 4/7,@SAC,W119-97,19.0,4-5,80.0,2-2,100.0,5-6,83.3,1.0,1.0,0.0,0.0,1.0,1.0,15.0,2.0,2.0
Jonathan Kuminga,2022-23,Regular,Tue 4/4,vsOKC,W136-125,20.0,4-10,40.0,1-3,33.3,0-2,0.0,8.0,1.0,1.0,1.0,1.0,0.0,9.0,1.0,3.0
Jonathan Kuminga,2022-23,Regular,Sun 4/2,@DEN,L112-110,23.0,3-5,60.0,1-2,50.0,2-2,100.0,1.0,2.0,0.0,2.0,2.0,0.0,9.0,1.0,2.0
Jonathan Kuminga,2022-23,Regular,Fri 3/31,vsSA,W130-115,27.0,8-11,72.7,0-1,0.0,1-3,33.3,8.0,2.0,0.0,0.0,2.0,2.0,17.0,0.0,1.0
Jonathan Kuminga,2022-23,Regular,Tue 3/28,vsNO,W120-109,31.0,5-5,100.0,1-1,100.0,2-3,66.7,4.0,1.0,1.0,0.0,3.0,0.0,13.0,1.0,1.0
Jonathan Kuminga,2022-23,Regular,Sun 3/26,vsMIN,L99-96,15.0,2-4,50.0,0-1,0.0,1-2,50.0,1.0,1.0,0.0,2.0,2.0,0.0,5.0,0.0,1.0
Jonathan Kuminga,2022-23,Regular,Fri 3/24,vsPHI,W120-112,16.0,1-7,14.3,1-5,20.0,1-4,25.0,2.0,2.0,0.0,0.0,3.0,0.0,4.0,1.0,5.0
Jonathan Kuminga,2022-23,Regular,Wed 3/22,@DAL,W127-125,31.0,9-11,81.8,2-3,66.7,2-2,100.0,3.0,1.0,0.0,2.0,3.0,1.0,22.0,2.0,3.0
Jonathan Kuminga,2022-23,Regular,Mon 3/20,@HOU,W121-108,26.0,7-9,77.8,1-2,50.0,2-2,100.0,3.0,4.0,1.0,0.0,2.0,2.0,17.0,1.0,2.0
Jonathan Kuminga,2022-23,Regular,Sat 3/18,@MEM,L133-119,30.0,8-16,50.0,4-7,57.1,4-6,66.7,8.0,3.0,1.0,1.0,3.0,1.0,24.0,4.0,7.0
Jonathan Kuminga,2022-23,Regular,Fri 3/17,@ATL,L127-119,26.0,5-12,41.7,0-1,0.0,0-2,0.0,6.0,3.0,1.0,0.0,4.0,1.0,10.0,0.0,1.0
Jonathan Kuminga,2022-23,Regular,Wed 3/15,@LAC,L134-126,19.0,4-5,80.0,0-1,0.0,0-0,0.0,0.0,2.0,0.0,0.0,4.0,2.0,8.0,0.0,1.0
Jonathan Kuminga,2022-23,Regular,Tue 3/7,@OKC,L137-128,28.0,8-11,72.7,1-3,33.3,4-4,100.0,3.0,2.0,0.0,2.0,2.0,2.0,21.0,1.0,3.0
Jonathan Kuminga,2022-23,Regular,Sun 3/5,@LAL,L113-105,13.0,2-10,20.0,1-3,33.3,0-0,0.0,6.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0,3.0
Jonathan Kuminga,2022-23,Regular,Fri 3/3,vsNO,W108-99,32.0,9-13,69.2,1-2,50.0,0-0,0.0,7.0,0.0,1.0,4.0,3.0,2.0,19.0,1.0,2.0
Jonathan Kuminga,2022-23,Regular,Thu 3/2,vsLAC,W115-91,29.0,7-12,58.3,3-4,75.0,2-3,66.7,7.0,2.0,1.0,2.0,3.0,2.0,19.0,3.0,4.0
Jonathan Kuminga,2022-23,Regular,Tue 2/28,vsPOR,W123-105,25.0,8-10,80.0,0-0,0.0,0-1,0.0,3.0,0.0,0.0,1.0,3.0,1.0,16.0,0.0,0.0
Jonathan Kuminga,2022-23,Regular,Sun 2/26,vsMIN,W109-104,27.0,5-10,50.0,1-1,100.0,2-2,100.0,5.0,1.0,0.0,1.0,1.0,3.0,13.0,1.0,1.0
Jonathan Kuminga,2022-23,Regular,Fri 2/24,vsHOU,W116-101,24.0,2-7,28.6,0-2,0.0,3-4,75.0,4.0,4.0,1.0,0.0,3.0,4.0,7.0,0.0,2.0
