Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jordan McLaughlin,2022-23,Postseason,Sun 4/23,vsDEN,W114-108 OT,4.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Jordan McLaughlin,2022-23,Postseason,Sun 4/16,@DEN,L109-80,10.0,0-3,0.0,0-1,0.0,0-0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Jordan McLaughlin,2022-23,Regular,Sun 4/9,vsNO,W113-108,18.0,1-1,100.0,1-1,100.0,2-2,100.0,2.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0
Jordan McLaughlin,2022-23,Regular,Sat 4/8,@SA,W151-131,20.0,1-2,50.0,1-1,100.0,2-2,100.0,2.0,9.0,1.0,1.0,2.0,0.0,5.0,1.0,1.0
Jordan McLaughlin,2022-23,Regular,Sun 4/2,vsPOR,L107-105,11.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0
Jordan McLaughlin,2022-23,Regular,Fri 3/31,vsLAL,L123-111,10.0,0-5,0.0,0-3,0.0,0-0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
Jordan McLaughlin,2022-23,Regular,Wed 3/29,@PHX,L107-100,16.0,1-3,33.3,1-2,50.0,0-0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0
Jordan McLaughlin,2022-23,Regular,Mon 3/27,@SAC,W119-115,16.0,1-2,50.0,1-1,100.0,0-0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0
Jordan McLaughlin,2022-23,Regular,Sun 3/26,@GS,W99-96,15.0,1-2,50.0,1-1,100.0,0-0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0
Jordan McLaughlin,2022-23,Regular,Mon 3/20,@NY,W140-134,16.0,1-5,20.0,0-2,0.0,1-2,50.0,2.0,5.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0
Jordan McLaughlin,2022-23,Regular,Sat 3/18,@TOR,L122-107,24.0,4-6,66.7,0-1,0.0,1-2,50.0,1.0,8.0,0.0,0.0,1.0,3.0,9.0,0.0,1.0
Jordan McLaughlin,2022-23,Regular,Fri 3/17,@CHI,L139-131 2OT,22.0,3-4,75.0,2-3,66.7,0-0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,8.0,2.0,3.0
Jordan McLaughlin,2022-23,Regular,Wed 3/15,vsBOS,L104-102,18.0,2-6,33.3,1-3,33.3,0-0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,5.0,1.0,3.0
Jordan McLaughlin,2022-23,Regular,Mon 3/13,@ATL,W136-115,18.0,1-3,33.3,1-2,50.0,0-0,0.0,1.0,5.0,0.0,3.0,0.0,1.0,3.0,1.0,2.0
Jordan McLaughlin,2022-23,Regular,Fri 3/10,vsBKN,L124-123 OT,9.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
Jordan McLaughlin,2022-23,Regular,Tue 3/7,vsPHI,L117-94,20.0,2-4,50.0,1-3,33.3,0-0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0
Jordan McLaughlin,2022-23,Regular,Sat 3/4,@SAC,W138-134,14.0,1-3,33.3,1-2,50.0,0-0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,2.0
Jordan McLaughlin,2022-23,Regular,Fri 3/3,@LAL,W110-102,17.0,1-5,20.0,0-3,0.0,0-0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0
