Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jordan Nwora,2022-23,Regular,Sun 4/9,@NY,W141-136,23.0,7-10,70.0,4-6,66.7,1-1,100.0,4.0,0.0,1.0,0.0,4.0,3.0,19.0,4.0,6.0
Jordan Nwora,2022-23,Regular,Fri 4/7,vsDET,L122-115,25.0,6-13,46.2,1-4,25.0,0-0,0.0,6.0,3.0,0.0,0.0,3.0,0.0,13.0,1.0,4.0
Jordan Nwora,2022-23,Regular,Wed 4/5,vsNY,L138-129,26.0,3-9,33.3,2-6,33.3,3-4,75.0,1.0,1.0,0.0,0.0,1.0,2.0,11.0,2.0,6.0
Jordan Nwora,2022-23,Regular,Sun 4/2,@CLE,L115-105,36.0,4-15,26.7,2-8,25.0,5-6,83.3,10.0,3.0,0.0,0.0,0.0,1.0,15.0,2.0,8.0
Jordan Nwora,2022-23,Regular,Fri 3/31,vsOKC,W121-117,30.0,6-14,42.9,1-6,16.7,0-0,0.0,6.0,6.0,1.0,0.0,2.0,0.0,13.0,1.0,6.0
Jordan Nwora,2022-23,Regular,Wed 3/29,vsMIL,L149-136,34.0,7-14,50.0,3-6,50.0,1-2,50.0,2.0,2.0,0.0,1.0,3.0,1.0,18.0,3.0,6.0
Jordan Nwora,2022-23,Regular,Mon 3/27,vsDAL,L127-104,31.0,5-11,45.5,2-4,50.0,1-2,50.0,9.0,1.0,0.0,0.0,2.0,3.0,13.0,2.0,4.0
Jordan Nwora,2022-23,Regular,Sat 3/25,@ATL,L143-130,34.0,12-17,70.6,4-7,57.1,5-5,100.0,6.0,1.0,1.0,0.0,2.0,2.0,33.0,4.0,7.0
Jordan Nwora,2022-23,Regular,Fri 3/24,@BOS,L120-95,18.0,2-5,40.0,0-2,0.0,0-0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,2.0
Jordan Nwora,2022-23,Regular,Wed 3/22,@TOR,W118-114,18.0,3-7,42.9,2-3,66.7,2-2,100.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,3.0
