Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jordan Poole,2022-23,Postseason,Fri 5/12,@LAL,L122-101,23.0,3-10,30.0,0-3,0.0,1-1,100.0,0.0,4.0,0.0,0.0,4.0,1.0,7.0,0.0,3.0
Jordan Poole,2022-23,Postseason,Wed 5/10,vsLAL,W121-106,23.0,5-14,35.7,1-6,16.7,0-0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,11.0,1.0,6.0
Jordan Poole,2022-23,Postseason,Mon 5/8,@LAL,L104-101,10.0,0-4,0.0,0-2,0.0,0-0,0.0,3.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0
Jordan Poole,2022-23,Postseason,Sat 5/6,@LAL,L127-97,22.0,2-9,22.2,0-4,0.0,1-2,50.0,3.0,6.0,0.0,0.0,1.0,4.0,5.0,0.0,4.0
Jordan Poole,2022-23,Postseason,Thu 5/4,vsLAL,W127-100,16.0,3-6,50.0,0-2,0.0,0-0,0.0,4.0,3.0,0.0,0.0,5.0,1.0,6.0,0.0,2.0
Jordan Poole,2022-23,Postseason,Tue 5/2,vsLAL,L117-112,30.0,7-15,46.7,6-11,54.5,1-1,100.0,0.0,6.0,0.0,1.0,5.0,0.0,21.0,6.0,11.0
Jordan Poole,2022-23,Postseason,Sun 4/30,@SAC,W120-100,19.0,3-9,33.3,2-6,33.3,0-0,0.0,3.0,2.0,1.0,0.0,2.0,1.0,8.0,2.0,6.0
Jordan Poole,2022-23,Postseason,Fri 4/28,vsSAC,L118-99,26.0,2-11,18.2,1-2,50.0,2-4,50.0,0.0,1.0,0.0,2.0,3.0,1.0,7.0,1.0,2.0
Jordan Poole,2022-23,Postseason,Wed 4/26,@SAC,W123-116,23.0,4-12,33.3,1-6,16.7,1-3,33.3,3.0,6.0,1.0,2.0,1.0,0.0,10.0,1.0,6.0
Jordan Poole,2022-23,Postseason,Sun 4/23,vsSAC,W126-125,26.0,8-15,53.3,2-6,33.3,4-5,80.0,2.0,4.0,0.0,1.0,2.0,2.0,22.0,2.0,6.0
Jordan Poole,2022-23,Postseason,Thu 4/20,vsSAC,W114-97,28.0,4-13,30.8,1-7,14.3,7-8,87.5,5.0,4.0,0.0,3.0,2.0,1.0,16.0,1.0,7.0
Jordan Poole,2022-23,Postseason,Mon 4/17,@SAC,L114-106,16.0,1-7,14.3,0-3,0.0,2-2,100.0,3.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0
Jordan Poole,2022-23,Postseason,Sat 4/15,@SAC,L126-123,22.0,4-10,40.0,2-5,40.0,7-8,87.5,1.0,3.0,1.0,0.0,1.0,1.0,17.0,2.0,5.0
Jordan Poole,2022-23,Regular,Sun 4/9,@POR,W157-101,17.0,7-9,77.8,4-5,80.0,3-4,75.0,4.0,2.0,0.0,0.0,3.0,2.0,21.0,4.0,5.0
Jordan Poole,2022-23,Regular,Fri 4/7,@SAC,W119-97,19.0,0-10,0.0,0-6,0.0,8-9,88.9,3.0,5.0,0.0,0.0,4.0,2.0,8.0,0.0,6.0
Jordan Poole,2022-23,Regular,Tue 4/4,vsOKC,W136-125,31.0,8-19,42.1,5-12,41.7,9-11,81.8,2.0,4.0,1.0,0.0,3.0,4.0,30.0,5.0,12.0
Jordan Poole,2022-23,Regular,Sun 4/2,@DEN,L112-110,20.0,7-13,53.8,0-3,0.0,3-3,100.0,2.0,3.0,0.0,1.0,4.0,1.0,17.0,0.0,3.0
Jordan Poole,2022-23,Regular,Fri 3/31,vsSA,W130-115,27.0,8-17,47.1,6-13,46.2,5-6,83.3,2.0,6.0,1.0,1.0,4.0,3.0,27.0,6.0,13.0
Jordan Poole,2022-23,Regular,Tue 3/28,vsNO,W120-109,29.0,8-15,53.3,2-6,33.3,3-4,75.0,5.0,2.0,1.0,1.0,1.0,1.0,21.0,2.0,6.0
