Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jose Alvarado,2022-23,Regular,Mon 2/27,vsORL,L101-93,15.0,3-7,42.9,1-3,33.3,0-0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,3.0
Jose Alvarado,2022-23,Regular,Sat 2/25,@NY,L128-106,16.0,3-7,42.9,0-3,0.0,0-0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,6.0,0.0,3.0
Jose Alvarado,2022-23,Regular,Thu 2/23,@TOR,L115-110,15.0,3-5,60.0,1-2,50.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0
Jose Alvarado,2022-23,Regular,Wed 2/15,@LAL,L120-102,24.0,1-7,14.3,0-2,0.0,0-0,0.0,2.0,3.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0
Jose Alvarado,2022-23,Regular,Mon 2/13,@OKC,W103-100,29.0,6-11,54.5,2-6,33.3,0-0,0.0,1.0,2.0,1.0,1.0,4.0,3.0,14.0,2.0,6.0
Jose Alvarado,2022-23,Regular,Fri 2/10,vsCLE,L118-107,21.0,2-4,50.0,1-2,50.0,0-0,0.0,0.0,7.0,0.0,2.0,2.0,2.0,5.0,1.0,2.0
Jose Alvarado,2022-23,Regular,Tue 2/7,vsATL,W116-107,16.0,2-5,40.0,2-4,50.0,0-0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,2.0,4.0
Jose Alvarado,2022-23,Regular,Sun 2/5,vsSAC,W136-104,15.0,1-5,20.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0
Jose Alvarado,2022-23,Regular,Sat 2/4,vsLAL,W131-126,24.0,7-11,63.6,2-4,50.0,2-2,100.0,4.0,2.0,0.0,0.0,1.0,2.0,18.0,2.0,4.0
Jose Alvarado,2022-23,Regular,Thu 2/2,@DAL,L111-106,14.0,1-4,25.0,0-2,0.0,2-3,66.7,4.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0
Jose Alvarado,2022-23,Regular,Tue 1/31,@DEN,L122-113,14.0,1-3,33.3,1-3,33.3,0-0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,3.0,1.0,3.0
Jose Alvarado,2022-23,Regular,Sun 1/29,@MIL,L135-110,29.0,4-12,33.3,3-7,42.9,7-8,87.5,3.0,6.0,0.0,2.0,2.0,2.0,18.0,3.0,7.0
Jose Alvarado,2022-23,Regular,Sat 1/28,vsWSH,L113-103,25.0,2-6,33.3,1-2,50.0,4-4,100.0,2.0,4.0,0.0,2.0,5.0,0.0,9.0,1.0,2.0
Jose Alvarado,2022-23,Regular,Wed 1/25,vsMIN,L111-102,24.0,3-9,33.3,1-4,25.0,0-0,0.0,4.0,3.0,0.0,0.0,4.0,2.0,7.0,1.0,4.0
Jose Alvarado,2022-23,Regular,Tue 1/24,vsDEN,L99-98,27.0,8-12,66.7,1-4,25.0,0-0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,1.0,4.0
Jose Alvarado,2022-23,Regular,Sun 1/22,@MIA,L100-96,23.0,1-8,12.5,1-3,33.3,0-0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,3.0,1.0,3.0
Jose Alvarado,2022-23,Regular,Fri 1/20,@ORL,L123-110,30.0,6-15,40.0,3-11,27.3,2-2,100.0,4.0,4.0,0.0,1.0,2.0,1.0,17.0,3.0,11.0
Jose Alvarado,2022-23,Regular,Wed 1/18,vsMIA,L124-98,25.0,4-9,44.4,3-5,60.0,0-0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,11.0,3.0,5.0
Jose Alvarado,2022-23,Regular,Mon 1/16,@CLE,L113-103,34.0,4-8,50.0,2-4,50.0,0-0,0.0,3.0,5.0,0.0,3.0,3.0,1.0,10.0,2.0,4.0
Jose Alvarado,2022-23,Regular,Fri 1/13,@DET,W116-110,30.0,3-14,21.4,1-4,25.0,0-0,0.0,4.0,4.0,1.0,2.0,4.0,2.0,7.0,1.0,4.0
Jose Alvarado,2022-23,Regular,Wed 1/11,@BOS,L125-114,22.0,3-9,33.3,0-3,0.0,3-3,100.0,1.0,3.0,1.0,0.0,0.0,2.0,9.0,0.0,3.0
Jose Alvarado,2022-23,Regular,Mon 1/9,@WSH,W132-112,24.0,3-5,60.0,2-2,100.0,2-2,100.0,4.0,5.0,0.0,1.0,2.0,1.0,10.0,2.0,2.0
Jose Alvarado,2022-23,Regular,Sat 1/7,@DAL,L127-117,27.0,5-12,41.7,1-4,25.0,3-3,100.0,5.0,7.0,0.0,1.0,2.0,1.0,14.0,1.0,4.0
Jose Alvarado,2022-23,Regular,Fri 1/6,vsBKN,L108-102,32.0,6-16,37.5,3-10,30.0,2-2,100.0,5.0,2.0,0.0,0.0,2.0,3.0,17.0,3.0,10.0
Jose Alvarado,2022-23,Regular,Wed 1/4,vsHOU,W119-108,21.0,5-9,55.6,3-6,50.0,0-0,0.0,2.0,5.0,0.0,0.0,2.0,0.0,13.0,3.0,6.0
Jose Alvarado,2022-23,Regular,Mon 1/2,@PHI,L120-111,12.0,0-4,0.0,0-2,0.0,0-0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
Jose Alvarado,2022-23,Regular,Sat 12/31,@MEM,L116-101,20.0,2-6,33.3,0-2,0.0,3-4,75.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,2.0
Jose Alvarado,2022-23,Regular,Fri 12/30,vsPHI,W127-116,20.0,3-9,33.3,0-4,0.0,1-1,100.0,2.0,3.0,0.0,4.0,1.0,3.0,7.0,0.0,4.0
Jose Alvarado,2022-23,Regular,Wed 12/28,vsMIN,W119-118,11.0,2-6,33.3,0-1,0.0,1-3,33.3,3.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,1.0
Jose Alvarado,2022-23,Regular,Mon 12/26,vsIND,W113-93,30.0,3-11,27.3,1-8,12.5,1-2,50.0,4.0,3.0,0.0,3.0,1.0,3.0,8.0,1.0,8.0
Jose Alvarado,2022-23,Regular,Fri 12/23,@OKC,W128-125 OT,22.0,3-10,30.0,3-7,42.9,2-2,100.0,4.0,0.0,0.0,0.0,1.0,1.0,11.0,3.0,7.0
Jose Alvarado,2022-23,Regular,Thu 12/22,vsSA,W126-117,25.0,4-11,36.4,1-4,25.0,0-0,0.0,2.0,3.0,0.0,3.0,1.0,0.0,9.0,1.0,4.0
Jose Alvarado,2022-23,Regular,Mon 12/19,vsMIL,L128-119,20.0,0-6,0.0,0-5,0.0,0-0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0
Jose Alvarado,2022-23,Regular,Sat 12/17,@PHX,L118-114,15.0,4-8,50.0,2-4,50.0,0-0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,10.0,2.0,4.0
Jose Alvarado,2022-23,Regular,Tue 12/13,@UTAH,L121-100,17.0,1-6,16.7,0-3,0.0,2-5,40.0,2.0,3.0,0.0,3.0,1.0,3.0,4.0,0.0,3.0
