Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Josh Giddey,2022-23,Regular,Thu 4/6,@UTAH,W114-98,36.0,6-14,42.9,2-5,40.0,3-4,75.0,8.0,8.0,0.0,3.0,3.0,4.0,17.0,2.0,5.0
Josh Giddey,2022-23,Regular,Tue 4/4,@GS,L136-125,28.0,7-15,46.7,1-5,20.0,0-1,0.0,6.0,5.0,0.0,0.0,1.0,0.0,15.0,1.0,5.0
Josh Giddey,2022-23,Regular,Sun 4/2,vsPHX,L128-118,35.0,5-16,31.3,2-7,28.6,4-6,66.7,9.0,8.0,0.0,0.0,3.0,1.0,16.0,2.0,7.0
Josh Giddey,2022-23,Regular,Fri 3/31,@IND,L121-117,33.0,9-19,47.4,1-4,25.0,2-4,50.0,7.0,4.0,0.0,0.0,0.0,1.0,21.0,1.0,4.0
Josh Giddey,2022-23,Regular,Wed 3/29,vsDET,W107-106,34.0,6-19,31.6,0-1,0.0,6-7,85.7,5.0,7.0,0.0,1.0,1.0,0.0,18.0,0.0,1.0
Josh Giddey,2022-23,Regular,Tue 3/28,vsCHA,L137-134,34.0,14-22,63.6,1-3,33.3,2-4,50.0,10.0,9.0,1.0,0.0,0.0,5.0,31.0,1.0,3.0
Josh Giddey,2022-23,Regular,Sun 3/26,@POR,W118-112,35.0,7-12,58.3,3-5,60.0,0-1,0.0,11.0,6.0,2.0,1.0,0.0,2.0,17.0,3.0,5.0
Josh Giddey,2022-23,Regular,Fri 3/24,@LAL,L116-111,39.0,12-24,50.0,2-6,33.3,1-1,100.0,17.0,7.0,1.0,1.0,3.0,2.0,27.0,2.0,6.0
Josh Giddey,2022-23,Regular,Thu 3/23,@LAC,L127-105,26.0,8-15,53.3,2-5,40.0,0-0,0.0,3.0,4.0,0.0,0.0,1.0,2.0,18.0,2.0,5.0
Josh Giddey,2022-23,Regular,Tue 3/21,@LAC,W101-100,31.0,5-12,41.7,0-3,0.0,3-3,100.0,6.0,6.0,0.0,0.0,0.0,2.0,13.0,0.0,3.0
Josh Giddey,2022-23,Regular,Sun 3/19,vsPHX,W124-120,33.0,7-13,53.8,1-2,50.0,1-2,50.0,6.0,6.0,0.0,0.0,0.0,4.0,16.0,1.0,2.0
Josh Giddey,2022-23,Regular,Thu 3/16,@TOR,L128-111,27.0,6-11,54.5,1-2,50.0,0-0,0.0,7.0,1.0,0.0,1.0,2.0,3.0,13.0,1.0,2.0
Josh Giddey,2022-23,Regular,Tue 3/14,vsBKN,W121-107,37.0,7-19,36.8,1-3,33.3,0-1,0.0,13.0,10.0,0.0,2.0,3.0,1.0,15.0,1.0,3.0
Josh Giddey,2022-23,Regular,Sun 3/12,@SA,W102-90,32.0,6-16,37.5,1-2,50.0,2-2,100.0,11.0,5.0,0.0,1.0,0.0,1.0,15.0,1.0,2.0
Josh Giddey,2022-23,Regular,Sat 3/11,@NO,W110-96,33.0,8-12,66.7,1-1,100.0,2-4,50.0,7.0,4.0,0.0,0.0,1.0,3.0,19.0,1.0,1.0
Josh Giddey,2022-23,Regular,Wed 3/8,@PHX,L132-101,22.0,3-12,25.0,1-1,100.0,3-3,100.0,7.0,5.0,0.0,2.0,2.0,3.0,10.0,1.0,1.0
Josh Giddey,2022-23,Regular,Tue 3/7,vsGS,W137-128,38.0,6-11,54.5,1-4,25.0,4-4,100.0,11.0,17.0,0.0,0.0,2.0,3.0,17.0,1.0,4.0
Josh Giddey,2022-23,Regular,Sun 3/5,vsUTAH,W129-119,32.0,10-16,62.5,4-6,66.7,0-0,0.0,9.0,9.0,0.0,2.0,1.0,3.0,24.0,4.0,6.0
Josh Giddey,2022-23,Regular,Fri 3/3,vsUTAH,W130-103,32.0,8-17,47.1,0-3,0.0,2-2,100.0,6.0,13.0,1.0,1.0,2.0,1.0,18.0,0.0,3.0
Josh Giddey,2022-23,Regular,Wed 3/1,vsLAL,L123-117,34.0,10-17,58.8,1-4,25.0,1-3,33.3,9.0,11.0,0.0,0.0,1.0,4.0,22.0,1.0,4.0
Josh Giddey,2022-23,Regular,Tue 2/28,vsSAC,L123-117,19.0,4-10,40.0,0-0,0.0,0-2,0.0,6.0,5.0,1.0,0.0,3.0,1.0,8.0,0.0,0.0
Josh Giddey,2022-23,Regular,Sun 2/26,vsSAC,L124-115,32.0,8-10,80.0,1-1,100.0,1-2,50.0,7.0,5.0,0.0,1.0,0.0,4.0,18.0,1.0,1.0
Josh Giddey,2022-23,Regular,Fri 2/24,@PHX,L124-115,24.0,3-14,21.4,0-1,0.0,1-2,50.0,4.0,5.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0
Josh Giddey,2022-23,Regular,Thu 2/23,@UTAH,L120-119 OT,38.0,8-23,34.8,0-5,0.0,2-3,66.7,11.0,3.0,0.0,2.0,3.0,3.0,18.0,0.0,5.0
Josh Giddey,2022-23,Regular,Wed 2/15,vsHOU,W133-96,25.0,5-10,50.0,0-1,0.0,3-4,75.0,3.0,6.0,1.0,1.0,1.0,2.0,13.0,0.0,1.0
Josh Giddey,2022-23,Regular,Mon 2/13,vsNO,L103-100,33.0,8-16,50.0,0-2,0.0,1-1,100.0,7.0,4.0,0.0,1.0,2.0,4.0,17.0,0.0,2.0
Josh Giddey,2022-23,Regular,Fri 2/10,@POR,W138-129,28.0,7-15,46.7,2-3,66.7,3-3,100.0,6.0,7.0,0.0,0.0,4.0,0.0,19.0,2.0,3.0
Josh Giddey,2022-23,Regular,Tue 2/7,@LAL,W133-130,35.0,10-19,52.6,0-3,0.0,0-0,0.0,5.0,6.0,0.0,0.0,2.0,4.0,20.0,0.0,3.0
Josh Giddey,2022-23,Regular,Mon 2/6,@GS,L141-114,29.0,6-12,50.0,0-1,0.0,3-4,75.0,7.0,8.0,1.0,1.0,1.0,4.0,15.0,0.0,1.0
Josh Giddey,2022-23,Regular,Sat 2/4,vsHOU,W153-121,28.0,8-13,61.5,1-4,25.0,0-0,0.0,8.0,10.0,1.0,3.0,1.0,2.0,17.0,1.0,4.0
Josh Giddey,2022-23,Regular,Wed 2/1,@HOU,L112-106,38.0,9-18,50.0,2-6,33.3,0-0,0.0,8.0,8.0,1.0,1.0,4.0,3.0,20.0,2.0,6.0
Josh Giddey,2022-23,Regular,Mon 1/30,vsGS,L128-120,29.0,9-18,50.0,1-3,33.3,2-4,50.0,8.0,6.0,0.0,3.0,2.0,5.0,21.0,1.0,3.0
