Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Josh Minott,2022-23,Postseason,Sun 4/16,@DEN,L109-80,6.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0
Josh Minott,2022-23,Regular,Sat 4/8,@SA,W151-131,5.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,2022-23,Regular,Sat 3/18,@TOR,L122-107,16.0,2-3,66.7,0-0,0.0,2-2,100.0,3.0,1.0,0.0,1.0,2.0,3.0,6.0,0.0,0.0
Josh Minott,2022-23,Regular,Mon 3/13,@ATL,W136-115,2.0,2-3,66.7,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0
Josh Minott,2022-23,Regular,Tue 3/7,vsPHI,L117-94,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Josh Minott,2022-23,Regular,Fri 2/10,@MEM,L128-107,2.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,2022-23,Regular,Wed 2/8,@UTAH,W143-118,29.0,6-12,50.0,0-2,0.0,0-0,0.0,11.0,0.0,2.0,1.0,4.0,0.0,12.0,0.0,2.0
Josh Minott,2022-23,Regular,Tue 2/7,@DEN,L146-112,17.0,4-7,57.1,1-1,100.0,2-2,100.0,5.0,0.0,2.0,1.0,1.0,0.0,11.0,1.0,1.0
Josh Minott,2022-23,Regular,Sun 2/5,vsDEN,W128-98,4.0,1-3,33.3,0-0,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Josh Minott,2022-23,Regular,Fri 1/6,vsLAC,W128-115,1.0,0-0,0.0,0-0,0.0,0-0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
Josh Minott,2022-23,Regular,Fri 12/23,@BOS,L121-109,1.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Josh Minott,2022-23,Regular,Mon 12/19,vsDAL,W116-106,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,2022-23,Regular,Sun 12/18,vsCHI,W150-126,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Josh Minott,2022-23,Regular,Wed 12/14,@LAC,L99-88,3.0,1-1,100.0,0-0,0.0,2-2,100.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Josh Minott,2022-23,Regular,Mon 12/12,@POR,L133-112,4.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Josh Minott,2022-23,Regular,Mon 11/28,@WSH,L142-127,5.0,1-1,100.0,0-0,0.0,2-2,100.0,3.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0
Josh Minott,2022-23,Postseason,Fri 4/14,vsOKC,W120-95,4.0,2-2,100.0,1-1,100.0,2-2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0
Josh Minott,2022-23,Preseason,Wed 10/12,@LAL,W118-113,7.0,0-2,0.0,0-1,0.0,1-2,50.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0
Josh Minott,2022-23,Preseason,Sun 10/9,@LAC,W119-117,4.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Josh Minott,2022-23,Preseason,Thu 10/6,vsLAL,W114-99,10.0,0-1,0.0,0-0,0.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Josh Minott,2022-23,Preseason,Tue 10/4,@MIA,W121-111,9.0,0-4,0.0,0-2,0.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
