Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Josh Okogie,2022-23,Postseason,Tue 5/9,@DEN,L118-102,8.0,0-3,0.0,0-2,0.0,1-2,50.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
Josh Okogie,2022-23,Postseason,Sun 5/7,vsDEN,W129-124,17.0,2-5,40.0,0-1,0.0,0-0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,1.0
Josh Okogie,2022-23,Postseason,Fri 5/5,vsDEN,W121-114,10.0,1-2,50.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Josh Okogie,2022-23,Postseason,Mon 5/1,@DEN,L97-87,22.0,1-3,33.3,0-2,0.0,0-0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
Josh Okogie,2022-23,Postseason,Sat 4/29,@DEN,L125-107,19.0,1-3,33.3,0-1,0.0,0-0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0
Josh Okogie,2022-23,Postseason,Tue 4/25,vsLAC,W136-130,33.0,4-7,57.1,1-3,33.3,2-2,100.0,2.0,3.0,0.0,2.0,3.0,0.0,11.0,1.0,3.0
Josh Okogie,2022-23,Postseason,Sat 4/22,@LAC,W112-100,25.0,2-4,50.0,0-2,0.0,2-2,100.0,3.0,1.0,1.0,1.0,2.0,0.0,6.0,0.0,2.0
Josh Okogie,2022-23,Postseason,Thu 4/20,@LAC,W129-124,21.0,1-5,20.0,0-1,0.0,4-5,80.0,7.0,1.0,0.0,2.0,1.0,1.0,6.0,0.0,1.0
Josh Okogie,2022-23,Postseason,Tue 4/18,vsLAC,W123-109,15.0,2-4,50.0,1-2,50.0,2-2,100.0,3.0,2.0,0.0,0.0,3.0,0.0,7.0,1.0,2.0
Josh Okogie,2022-23,Postseason,Sun 4/16,vsLAC,L115-110,7.0,0-1,0.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Josh Okogie,2022-23,Regular,Sun 4/9,vsLAC,L119-114,30.0,4-13,30.8,2-5,40.0,3-4,75.0,7.0,3.0,0.0,2.0,1.0,1.0,13.0,2.0,5.0
Josh Okogie,2022-23,Regular,Fri 4/7,@LAL,L121-107,29.0,3-10,30.0,2-6,33.3,8-8,100.0,6.0,2.0,0.0,0.0,0.0,0.0,16.0,2.0,6.0
Josh Okogie,2022-23,Regular,Thu 4/6,vsDEN,W119-115,22.0,1-4,25.0,0-2,0.0,3-6,50.0,3.0,2.0,1.0,2.0,1.0,1.0,5.0,0.0,2.0
Josh Okogie,2022-23,Regular,Tue 4/4,vsSA,W115-94,20.0,0-2,0.0,0-1,0.0,1-2,50.0,4.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0
Josh Okogie,2022-23,Regular,Sun 4/2,@OKC,W128-118,26.0,1-2,50.0,0-1,0.0,2-4,50.0,3.0,2.0,1.0,0.0,3.0,1.0,4.0,0.0,1.0
Josh Okogie,2022-23,Regular,Fri 3/31,vsDEN,W100-93,29.0,5-8,62.5,4-5,80.0,0-0,0.0,5.0,0.0,0.0,1.0,2.0,1.0,14.0,4.0,5.0
