Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Josh Richardson,2022-23,Regular,Sun 4/9,@MIN,L113-108,29.0,1-5,20.0,0-2,0.0,0-0,0.0,5.0,1.0,0.0,1.0,3.0,2.0,2.0,0.0,2.0
Josh Richardson,2022-23,Regular,Fri 4/7,vsNY,W113-105,18.0,1-4,25.0,1-4,25.0,0-0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,4.0
Josh Richardson,2022-23,Regular,Wed 4/5,vsMEM,W138-131 OT,15.0,3-4,75.0,2-3,66.7,0-0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,8.0,2.0,3.0
Josh Richardson,2022-23,Regular,Tue 4/4,vsSAC,L121-103,20.0,1-4,25.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0
Josh Richardson,2022-23,Regular,Sat 4/1,vsLAC,W122-114,19.0,1-4,25.0,1-3,33.3,0-0,0.0,4.0,1.0,0.0,0.0,2.0,1.0,3.0,1.0,3.0
Josh Richardson,2022-23,Regular,Thu 3/30,@DEN,W107-88,19.0,1-4,25.0,1-3,33.3,0-0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0
Josh Richardson,2022-23,Regular,Tue 3/28,@GS,L120-109,21.0,3-6,50.0,1-3,33.3,0-0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,7.0,1.0,3.0
Josh Richardson,2022-23,Regular,Mon 3/27,@POR,W124-90,22.0,4-5,80.0,2-3,66.7,0-0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,10.0,2.0,3.0
Josh Richardson,2022-23,Regular,Sat 3/25,@LAC,W131-110,25.0,5-10,50.0,3-6,50.0,0-0,0.0,1.0,2.0,0.0,1.0,1.0,5.0,13.0,3.0,6.0
Josh Richardson,2022-23,Regular,Thu 3/23,vsCHA,W115-96,20.0,1-3,33.3,1-2,50.0,0-0,0.0,5.0,2.0,0.0,0.0,2.0,1.0,3.0,1.0,2.0
Josh Richardson,2022-23,Regular,Tue 3/21,vsSA,W119-84,25.0,4-7,57.1,2-3,66.7,0-0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,10.0,2.0,3.0
Josh Richardson,2022-23,Regular,Sun 3/19,@HOU,W117-107,17.0,2-4,50.0,1-3,33.3,1-1,100.0,2.0,2.0,0.0,0.0,4.0,0.0,6.0,1.0,3.0
Josh Richardson,2022-23,Regular,Fri 3/17,@HOU,L114-112,26.0,3-9,33.3,2-4,50.0,0-0,0.0,2.0,4.0,0.0,0.0,3.0,1.0,8.0,2.0,4.0
Josh Richardson,2022-23,Regular,Tue 3/14,vsLAL,L123-108,17.0,2-7,28.6,1-4,25.0,0-1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,4.0
Josh Richardson,2022-23,Regular,Sun 3/12,vsPOR,W127-110,28.0,5-11,45.5,4-8,50.0,5-6,83.3,2.0,1.0,2.0,4.0,2.0,0.0,19.0,4.0,8.0
Josh Richardson,2022-23,Regular,Sat 3/11,vsOKC,L110-96,27.0,2-10,20.0,1-6,16.7,1-1,100.0,4.0,1.0,1.0,2.0,2.0,0.0,6.0,1.0,6.0
Josh Richardson,2022-23,Regular,Wed 3/8,vsDAL,W113-106,23.0,2-9,22.2,2-4,50.0,0-0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,6.0,2.0,4.0
Josh Richardson,2022-23,Regular,Wed 3/1,@POR,W121-110,20.0,2-2,100.0,1-1,100.0,0-0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0,1.0
Josh Richardson,2022-23,Regular,Mon 2/27,vsORL,L101-93,27.0,3-4,75.0,0-1,0.0,2-2,100.0,2.0,2.0,0.0,2.0,5.0,1.0,8.0,0.0,1.0
Josh Richardson,2022-23,Regular,Sat 2/25,@NY,L128-106,34.0,6-13,46.2,3-8,37.5,1-1,100.0,2.0,4.0,0.0,4.0,3.0,1.0,16.0,3.0,8.0
Josh Richardson,2022-23,Regular,Thu 2/23,@TOR,L115-110,29.0,4-8,50.0,2-6,33.3,1-1,100.0,3.0,3.0,0.0,3.0,4.0,2.0,11.0,2.0,6.0
Josh Richardson,2022-23,Regular,Wed 2/15,@LAL,L120-102,19.0,2-7,28.6,1-3,33.3,3-6,50.0,3.0,2.0,1.0,2.0,4.0,2.0,8.0,1.0,3.0
Josh Richardson,2022-23,Regular,Mon 2/13,@OKC,W103-100,34.0,4-8,50.0,0-4,0.0,2-2,100.0,2.0,3.0,2.0,5.0,3.0,0.0,10.0,0.0,4.0
Josh Richardson,2022-23,Regular,Wed 2/8,@TOR,L112-98,31.0,4-15,26.7,2-8,25.0,4-4,100.0,7.0,3.0,3.0,1.0,0.0,1.0,14.0,2.0,8.0
Josh Richardson,2022-23,Regular,Mon 2/6,@CHI,L128-104,31.0,5-14,35.7,1-4,25.0,0-0,0.0,0.0,3.0,0.0,4.0,3.0,2.0,11.0,1.0,4.0
Josh Richardson,2022-23,Regular,Fri 2/3,vsPHI,L137-125,26.0,4-9,44.4,2-4,50.0,0-0,0.0,1.0,7.0,0.0,2.0,2.0,1.0,10.0,2.0,4.0
Josh Richardson,2022-23,Regular,Wed 2/1,vsSAC,L119-109,29.0,8-13,61.5,2-6,33.3,1-1,100.0,8.0,3.0,0.0,2.0,4.0,4.0,19.0,2.0,6.0
Josh Richardson,2022-23,Regular,Wed 1/25,@LAL,L113-104,25.0,3-12,25.0,1-6,16.7,0-0,0.0,7.0,3.0,0.0,0.0,1.0,2.0,7.0,1.0,6.0
Josh Richardson,2022-23,Regular,Mon 1/23,@POR,L147-127,19.0,3-7,42.9,2-4,50.0,3-3,100.0,3.0,2.0,0.0,0.0,1.0,0.0,11.0,2.0,4.0
Josh Richardson,2022-23,Regular,Fri 1/20,vsLAC,L131-126,22.0,6-10,60.0,3-5,60.0,2-3,66.7,4.0,3.0,0.0,1.0,0.0,1.0,17.0,3.0,5.0
Josh Richardson,2022-23,Regular,Tue 1/17,vsBKN,W106-98,27.0,4-9,44.4,1-4,25.0,0-0,0.0,4.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,4.0
Josh Richardson,2022-23,Regular,Sun 1/15,vsSAC,L132-119,30.0,8-13,61.5,4-6,66.7,1-1,100.0,1.0,4.0,0.0,1.0,1.0,0.0,21.0,4.0,6.0
Josh Richardson,2022-23,Regular,Fri 1/13,vsGS,L144-113,21.0,4-9,44.4,1-5,20.0,0-0,0.0,3.0,5.0,1.0,1.0,3.0,0.0,9.0,1.0,5.0
Josh Richardson,2022-23,Regular,Wed 1/11,@MEM,L135-129,23.0,5-10,50.0,2-6,33.3,0-0,0.0,1.0,5.0,1.0,1.0,3.0,1.0,12.0,2.0,6.0
Josh Richardson,2022-23,Regular,Mon 1/9,@MEM,L121-113,25.0,6-12,50.0,2-6,33.3,2-2,100.0,5.0,5.0,0.0,2.0,3.0,2.0,16.0,2.0,6.0
Josh Richardson,2022-23,Regular,Sat 1/7,vsBOS,L121-116,29.0,7-14,50.0,4-9,44.4,0-0,0.0,3.0,4.0,2.0,1.0,0.0,3.0,18.0,4.0,9.0
Josh Richardson,2022-23,Regular,Fri 1/6,vsDET,W121-109,20.0,3-6,50.0,1-4,25.0,2-2,100.0,2.0,5.0,0.0,1.0,2.0,1.0,9.0,1.0,4.0
Josh Richardson,2022-23,Regular,Wed 1/4,@NY,L117-114,29.0,9-14,64.3,2-5,40.0,0-0,0.0,3.0,4.0,0.0,1.0,3.0,2.0,20.0,2.0,5.0
