Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jrue Holiday,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,47.0,4-11,36.4,2-6,33.3,6-8,75.0,9.0,6.0,0.0,1.0,1.0,2.0,16.0,2.0,6.0
Jrue Holiday,2022-23,Postseason,Mon 4/24,@MIA,L119-114,41.0,6-19,31.6,2-11,18.2,0-0,0.0,7.0,4.0,1.0,2.0,4.0,1.0,14.0,2.0,11.0
Jrue Holiday,2022-23,Postseason,Sat 4/22,@MIA,L121-99,36.0,8-18,44.4,2-6,33.3,1-3,33.3,5.0,3.0,1.0,0.0,1.0,5.0,19.0,2.0,6.0
Jrue Holiday,2022-23,Postseason,Wed 4/19,vsMIA,W138-122,33.0,10-19,52.6,4-10,40.0,0-0,0.0,5.0,11.0,0.0,1.0,3.0,3.0,24.0,4.0,10.0
Jrue Holiday,2022-23,Postseason,Sun 4/16,vsMIA,L130-117,35.0,6-18,33.3,2-9,22.2,2-2,100.0,7.0,16.0,0.0,1.0,3.0,1.0,16.0,2.0,9.0
Jrue Holiday,2022-23,Regular,Wed 4/5,vsCHI,W105-92,36.0,8-17,47.1,4-8,50.0,0-0,0.0,8.0,15.0,0.0,2.0,0.0,7.0,20.0,4.0,8.0
Jrue Holiday,2022-23,Regular,Tue 4/4,@WSH,W140-128,30.0,12-21,57.1,2-6,33.3,0-1,0.0,9.0,10.0,0.0,0.0,4.0,2.0,26.0,2.0,6.0
Jrue Holiday,2022-23,Regular,Sun 4/2,vsPHI,W117-104,35.0,7-11,63.6,2-4,50.0,2-2,100.0,3.0,3.0,0.0,4.0,1.0,2.0,18.0,2.0,4.0
Jrue Holiday,2022-23,Regular,Thu 3/30,vsBOS,L140-99,24.0,2-8,25.0,2-4,50.0,0-0,0.0,6.0,4.0,0.0,0.0,0.0,3.0,6.0,2.0,4.0
Jrue Holiday,2022-23,Regular,Wed 3/29,@IND,W149-136,32.0,20-30,66.7,3-6,50.0,8-10,80.0,8.0,8.0,1.0,1.0,3.0,6.0,51.0,3.0,6.0
Jrue Holiday,2022-23,Regular,Sat 3/25,@DEN,L129-106,30.0,3-11,27.3,1-5,20.0,2-2,100.0,2.0,7.0,0.0,1.0,2.0,0.0,9.0,1.0,5.0
