Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Julian Champagnie,2022-23,Regular,Sun 4/9,@DAL,W138-117,33.0,5-16,31.3,3-10,30.0,3-4,75.0,10.0,3.0,0.0,0.0,0.0,0.0,16.0,3.0,10.0
Julian Champagnie,2022-23,Regular,Sat 4/8,vsMIN,L151-131,32.0,8-16,50.0,5-9,55.6,3-3,100.0,4.0,1.0,0.0,0.0,3.0,2.0,24.0,5.0,9.0
Julian Champagnie,2022-23,Regular,Thu 4/6,vsPOR,W129-127,25.0,8-14,57.1,5-9,55.6,3-4,75.0,5.0,1.0,0.0,2.0,2.0,2.0,24.0,5.0,9.0
Julian Champagnie,2022-23,Regular,Tue 4/4,@PHX,L115-94,28.0,4-11,36.4,2-7,28.6,0-0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,10.0,2.0,7.0
Julian Champagnie,2022-23,Regular,Sun 4/2,@SAC,W142-134 OT,28.0,9-14,64.3,4-7,57.1,4-5,80.0,6.0,0.0,0.0,1.0,2.0,2.0,26.0,4.0,7.0
Julian Champagnie,2022-23,Regular,Fri 3/31,@GS,L130-115,20.0,3-8,37.5,2-6,33.3,0-0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,8.0,2.0,6.0
Julian Champagnie,2022-23,Regular,Wed 3/29,vsUTAH,L128-117,25.0,1-6,16.7,0-3,0.0,0-0,0.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0
Julian Champagnie,2022-23,Regular,Sun 3/26,@BOS,L137-93,9.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0
Julian Champagnie,2022-23,Regular,Fri 3/24,@WSH,L136-124,18.0,5-8,62.5,1-4,25.0,1-1,100.0,3.0,0.0,2.0,0.0,2.0,0.0,12.0,1.0,4.0
Julian Champagnie,2022-23,Regular,Wed 3/22,@MIL,L130-94,28.0,3-9,33.3,2-5,40.0,0-0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,8.0,2.0,5.0
Julian Champagnie,2022-23,Regular,Tue 3/21,@NO,L119-84,18.0,2-5,40.0,2-5,40.0,0-0,0.0,6.0,0.0,1.0,0.0,3.0,1.0,6.0,2.0,5.0
Julian Champagnie,2022-23,Regular,Sun 3/19,vsATL,W126-118,18.0,4-8,50.0,3-6,50.0,0-0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,11.0,3.0,6.0
Julian Champagnie,2022-23,Regular,Tue 3/14,vsORL,W132-114,7.0,1-2,50.0,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Julian Champagnie,2022-23,Regular,Sun 3/5,@HOU,L142-110,12.0,3-4,75.0,1-2,50.0,0-0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0
Julian Champagnie,2022-23,Regular,Sat 3/4,vsHOU,L122-110,12.0,2-5,40.0,2-5,40.0,0-0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,6.0,2.0,5.0
Julian Champagnie,2022-23,Regular,Sun 11/27,@ORL,W133-103,5.0,0-1,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Julian Champagnie,2022-23,Regular,Tue 11/22,vsBKN,W115-106,1.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Champagnie,2022-23,Preseason,Wed 10/12,vsCHA,W99-94,8.0,2-4,50.0,1-2,50.0,0-0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,2.0
Julian Champagnie,2022-23,Preseason,Mon 10/10,@CLE,W113-97,6.0,1-2,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
Julian Champagnie,2022-23,Preseason,Wed 10/5,vsCLE,W113-112,5.0,0-2,0.0,0-2,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Julian Champagnie,2022-23,Preseason,Mon 10/3,@BKN,W127-108,18.0,5-10,50.0,3-7,42.9,2-2,100.0,7.0,3.0,0.0,2.0,0.0,0.0,15.0,3.0,7.0
