Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Justin Holiday,2022-23,Regular,Sun 4/9,vsSA,L138-117,23.0,2-9,22.2,1-5,20.0,0-0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,5.0,1.0,5.0
Justin Holiday,2022-23,Regular,Fri 4/7,vsCHI,L115-112,26.0,5-11,45.5,1-6,16.7,0-1,0.0,6.0,3.0,1.0,2.0,2.0,1.0,11.0,1.0,6.0
Justin Holiday,2022-23,Regular,Sat 4/1,@MIA,L129-122,4.0,0-1,0.0,0-1,0.0,3-3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
Justin Holiday,2022-23,Regular,Mon 3/27,@IND,W127-104,9.0,1-2,50.0,0-1,0.0,2-2,100.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0
Justin Holiday,2022-23,Regular,Sun 3/26,@CHA,L110-104,14.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
Justin Holiday,2022-23,Regular,Fri 3/24,vsCHA,L117-109,1.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Justin Holiday,2022-23,Regular,Wed 3/22,vsGS,L127-125,23.0,2-6,33.3,1-5,20.0,0-0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,5.0,1.0,5.0
Justin Holiday,2022-23,Regular,Fri 3/17,@LAL,W111-110,16.0,1-1,100.0,0-0,0.0,0-0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0
Justin Holiday,2022-23,Regular,Wed 3/15,@SA,W137-128 OT,12.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Justin Holiday,2022-23,Regular,Mon 3/13,vsMEM,L104-88,17.0,4-7,57.1,1-3,33.3,0-0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,9.0,1.0,3.0
Justin Holiday,2022-23,Regular,Sat 3/11,@MEM,L112-108,13.0,1-4,25.0,1-3,33.3,0-0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0
Justin Holiday,2022-23,Regular,Wed 3/8,@NO,L113-106,16.0,0-5,0.0,0-5,0.0,0-0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
Justin Holiday,2022-23,Regular,Tue 3/7,vsUTAH,W120-116,31.0,4-9,44.4,3-7,42.9,0-0,0.0,2.0,2.0,3.0,2.0,4.0,2.0,11.0,3.0,7.0
Justin Holiday,2022-23,Regular,Sun 3/5,vsPHX,L130-126,13.0,2-2,100.0,1-1,100.0,0-0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,5.0,1.0,1.0
Justin Holiday,2022-23,Regular,Thu 3/2,vsPHI,W133-126,11.0,0-2,0.0,0-2,0.0,0-0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
