Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Jusuf Nurkic,2022-23,Regular,Wed 3/22,@UTAH,W127-115,31.0,7-12,58.3,2-5,40.0,4-6,66.7,4.0,4.0,1.0,1.0,3.0,0.0,20.0,2.0,5.0
Jusuf Nurkic,2022-23,Regular,Sun 3/19,vsLAC,L117-102,27.0,9-14,64.3,2-3,66.7,3-4,75.0,11.0,5.0,2.0,0.0,3.0,2.0,23.0,2.0,3.0
Jusuf Nurkic,2022-23,Regular,Fri 3/17,vsBOS,L126-112,25.0,2-6,33.3,0-2,0.0,2-3,66.7,8.0,0.0,1.0,1.0,3.0,2.0,6.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Tue 3/14,vsNY,L123-107,28.0,5-11,45.5,0-2,0.0,0-1,0.0,10.0,3.0,1.0,0.0,5.0,1.0,10.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Sun 3/12,@NO,L127-110,10.0,0-5,0.0,0-2,0.0,0-0,0.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Fri 3/10,@PHI,L120-119,26.0,5-8,62.5,0-2,0.0,1-5,20.0,5.0,5.0,0.0,1.0,4.0,0.0,11.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Wed 3/8,@BOS,L115-93,17.0,2-6,33.3,0-3,0.0,1-4,25.0,6.0,2.0,0.0,0.0,3.0,2.0,5.0,0.0,3.0
Jusuf Nurkic,2022-23,Regular,Wed 2/1,@MEM,W122-112,2.0,0-1,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Jusuf Nurkic,2022-23,Regular,Mon 1/30,vsATL,W129-125,26.0,5-7,71.4,2-3,66.7,0-1,0.0,5.0,1.0,1.0,1.0,2.0,2.0,12.0,2.0,3.0
Jusuf Nurkic,2022-23,Regular,Wed 1/25,vsUTAH,W134-124,18.0,4-10,40.0,1-3,33.3,1-1,100.0,4.0,4.0,0.0,0.0,2.0,0.0,10.0,1.0,3.0
Jusuf Nurkic,2022-23,Regular,Mon 1/23,vsSA,W147-127,27.0,10-14,71.4,2-4,50.0,3-5,60.0,11.0,7.0,0.0,3.0,3.0,3.0,25.0,2.0,4.0
Jusuf Nurkic,2022-23,Regular,Sun 1/22,vsLAL,L121-112,16.0,1-3,33.3,0-0,0.0,0-0,0.0,3.0,2.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0
Jusuf Nurkic,2022-23,Regular,Thu 1/19,vsPHI,L105-95,24.0,2-10,20.0,0-3,0.0,0-0,0.0,11.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,3.0
Jusuf Nurkic,2022-23,Regular,Tue 1/17,@DEN,L122-113,29.0,2-9,22.2,1-4,25.0,1-1,100.0,10.0,2.0,2.0,0.0,5.0,4.0,6.0,1.0,4.0
Jusuf Nurkic,2022-23,Regular,Sun 1/15,vsDAL,W140-123,20.0,5-8,62.5,2-4,50.0,8-8,100.0,4.0,4.0,0.0,0.0,4.0,0.0,20.0,2.0,4.0
Jusuf Nurkic,2022-23,Regular,Sat 1/14,vsDAL,W136-119,23.0,9-15,60.0,3-5,60.0,1-1,100.0,11.0,3.0,0.0,1.0,3.0,3.0,22.0,3.0,5.0
Jusuf Nurkic,2022-23,Regular,Thu 1/12,vsCLE,L119-113,32.0,6-10,60.0,0-3,0.0,0-1,0.0,12.0,4.0,0.0,1.0,5.0,4.0,12.0,0.0,3.0
Jusuf Nurkic,2022-23,Regular,Tue 1/10,vsORL,L109-106,34.0,7-14,50.0,1-4,25.0,7-9,77.8,10.0,1.0,2.0,4.0,5.0,5.0,22.0,1.0,4.0
Jusuf Nurkic,2022-23,Regular,Sun 1/8,@TOR,L117-105,38.0,5-9,55.6,0-2,0.0,4-6,66.7,18.0,4.0,1.0,1.0,4.0,4.0,14.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Fri 1/6,@IND,L108-99,33.0,6-15,40.0,1-4,25.0,1-1,100.0,19.0,4.0,1.0,1.0,4.0,2.0,14.0,1.0,4.0
Jusuf Nurkic,2022-23,Regular,Wed 1/4,@MIN,L113-106,25.0,4-10,40.0,0-3,0.0,2-5,40.0,8.0,3.0,3.0,1.0,6.0,4.0,10.0,0.0,3.0
Jusuf Nurkic,2022-23,Regular,Mon 1/2,vsDET,W135-106,14.0,1-3,33.3,0-1,0.0,1-2,50.0,2.0,1.0,0.0,1.0,3.0,2.0,3.0,0.0,1.0
Jusuf Nurkic,2022-23,Regular,Mon 12/26,vsCHA,W124-113,36.0,8-12,66.7,5-7,71.4,7-10,70.0,15.0,6.0,3.0,2.0,4.0,4.0,28.0,5.0,7.0
Jusuf Nurkic,2022-23,Regular,Fri 12/23,@DEN,L120-107,21.0,4-10,40.0,1-2,50.0,2-4,50.0,7.0,3.0,2.0,1.0,6.0,4.0,11.0,1.0,2.0
Jusuf Nurkic,2022-23,Regular,Wed 12/21,@OKC,L101-98,23.0,5-7,71.4,1-2,50.0,1-2,50.0,6.0,4.0,0.0,1.0,1.0,1.0,12.0,1.0,2.0
Jusuf Nurkic,2022-23,Regular,Sat 12/17,@HOU,W107-95,27.0,6-11,54.5,1-1,100.0,1-2,50.0,5.0,2.0,1.0,0.0,5.0,2.0,14.0,1.0,1.0
Jusuf Nurkic,2022-23,Regular,Fri 12/16,@DAL,L130-110,22.0,6-8,75.0,1-1,100.0,3-5,60.0,6.0,1.0,0.0,1.0,4.0,2.0,16.0,1.0,1.0
Jusuf Nurkic,2022-23,Regular,Wed 12/14,@SA,W128-112,30.0,5-8,62.5,0-1,0.0,5-7,71.4,7.0,6.0,1.0,0.0,4.0,2.0,15.0,0.0,1.0
Jusuf Nurkic,2022-23,Regular,Mon 12/12,vsMIN,W133-112,25.0,4-8,50.0,0-2,0.0,6-9,66.7,16.0,4.0,0.0,1.0,4.0,2.0,14.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Sat 12/10,vsMIN,W124-118,26.0,3-6,50.0,0-2,0.0,2-4,50.0,15.0,2.0,2.0,0.0,4.0,2.0,8.0,0.0,2.0
Jusuf Nurkic,2022-23,Regular,Thu 12/8,vsDEN,L121-120,31.0,9-10,90.0,2-3,66.7,1-1,100.0,9.0,2.0,2.0,2.0,5.0,3.0,21.0,2.0,3.0
Jusuf Nurkic,2022-23,Regular,Sun 12/4,vsIND,W116-100,28.0,7-12,58.3,2-3,66.7,3-7,42.9,6.0,4.0,1.0,1.0,2.0,1.0,19.0,2.0,3.0
Jusuf Nurkic,2022-23,Regular,Sat 12/3,@UTAH,W116-111,39.0,6-12,50.0,0-1,0.0,3-6,50.0,14.0,4.0,1.0,0.0,4.0,1.0,15.0,0.0,1.0
Jusuf Nurkic,2022-23,Regular,Wed 11/30,@LAL,L128-109,32.0,2-8,25.0,0-1,0.0,4-6,66.7,10.0,1.0,1.0,1.0,3.0,2.0,8.0,0.0,1.0
