Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kawhi Leonard,2022-23,Postseason,Tue 4/18,@PHX,L123-109,39.0,11-20,55.0,3-5,60.0,6-7,85.7,8.0,7.0,0.0,3.0,1.0,3.0,31.0,3.0,5.0
Kawhi Leonard,2022-23,Postseason,Sun 4/16,@PHX,W115-110,42.0,13-24,54.2,3-5,60.0,9-10,90.0,5.0,5.0,1.0,1.0,4.0,3.0,38.0,3.0,5.0
Kawhi Leonard,2022-23,Regular,Sun 4/9,@PHX,W119-114,36.0,11-21,52.4,0-3,0.0,3-5,60.0,15.0,6.0,0.0,0.0,4.0,4.0,25.0,0.0,3.0
Kawhi Leonard,2022-23,Regular,Sat 4/8,vsPOR,W136-125,29.0,7-17,41.2,3-8,37.5,10-10,100.0,8.0,4.0,1.0,0.0,0.0,2.0,27.0,3.0,8.0
Kawhi Leonard,2022-23,Regular,Wed 4/5,vsLAL,W125-118,43.0,9-17,52.9,4-7,57.1,3-4,75.0,7.0,4.0,0.0,0.0,2.0,1.0,25.0,4.0,7.0
Kawhi Leonard,2022-23,Regular,Sat 4/1,@NO,L122-114,41.0,15-28,53.6,4-8,50.0,6-6,100.0,8.0,4.0,1.0,0.0,1.0,2.0,40.0,4.0,8.0
Kawhi Leonard,2022-23,Regular,Fri 3/31,@MEM,L108-94,18.0,4-9,44.4,2-4,50.0,2-2,100.0,3.0,0.0,2.0,1.0,1.0,2.0,12.0,2.0,4.0
Kawhi Leonard,2022-23,Regular,Mon 3/27,vsCHI,W124-112,33.0,8-13,61.5,3-5,60.0,3-3,100.0,7.0,6.0,1.0,1.0,3.0,1.0,22.0,3.0,5.0
Kawhi Leonard,2022-23,Regular,Sat 3/25,vsNO,L131-110,27.0,4-16,25.0,0-6,0.0,4-6,66.7,6.0,4.0,0.0,2.0,1.0,2.0,12.0,0.0,6.0
Kawhi Leonard,2022-23,Regular,Thu 3/23,vsOKC,W127-105,35.0,13-15,86.7,3-4,75.0,3-4,75.0,6.0,6.0,0.0,4.0,2.0,2.0,32.0,3.0,4.0
Kawhi Leonard,2022-23,Regular,Tue 3/21,vsOKC,L101-100,38.0,7-16,43.8,2-5,40.0,5-7,71.4,6.0,5.0,0.0,2.0,2.0,3.0,21.0,2.0,5.0
Kawhi Leonard,2022-23,Regular,Sun 3/19,@POR,W117-102,40.0,10-20,50.0,2-7,28.6,2-2,100.0,5.0,2.0,0.0,2.0,1.0,0.0,24.0,2.0,7.0
Kawhi Leonard,2022-23,Regular,Wed 3/15,vsGS,W134-126,36.0,10-19,52.6,3-7,42.9,7-7,100.0,8.0,5.0,0.0,2.0,2.0,2.0,30.0,3.0,7.0
Kawhi Leonard,2022-23,Regular,Sat 3/11,vsNY,W106-95,37.0,14-22,63.6,3-6,50.0,7-7,100.0,4.0,2.0,0.0,1.0,2.0,1.0,38.0,3.0,6.0
Kawhi Leonard,2022-23,Regular,Wed 3/8,vsTOR,W108-100,40.0,8-15,53.3,1-1,100.0,7-9,77.8,12.0,4.0,0.0,3.0,3.0,4.0,24.0,1.0,1.0
Kawhi Leonard,2022-23,Regular,Sun 3/5,vsMEM,W135-129,38.0,9-20,45.0,3-7,42.9,13-13,100.0,10.0,4.0,0.0,1.0,1.0,3.0,34.0,3.0,7.0
Kawhi Leonard,2022-23,Regular,Thu 3/2,@GS,L115-91,32.0,8-12,66.7,2-3,66.7,3-5,60.0,7.0,0.0,2.0,2.0,1.0,1.0,21.0,2.0,3.0
Kawhi Leonard,2022-23,Regular,Tue 2/28,vsMIN,L108-101,39.0,7-19,36.8,3-6,50.0,6-6,100.0,5.0,5.0,0.0,1.0,2.0,3.0,23.0,3.0,6.0
Kawhi Leonard,2022-23,Regular,Sun 2/26,@DEN,L134-124 OT,39.0,12-19,63.2,3-4,75.0,6-8,75.0,6.0,2.0,1.0,0.0,4.0,2.0,33.0,3.0,4.0
Kawhi Leonard,2022-23,Regular,Fri 2/24,vsSAC,L176-175 2OT,46.0,16-22,72.7,6-9,66.7,6-6,100.0,4.0,4.0,2.0,3.0,4.0,2.0,44.0,6.0,9.0
Kawhi Leonard,2022-23,Regular,Thu 2/16,@PHX,W116-107,35.0,5-18,27.8,0-5,0.0,6-6,100.0,9.0,4.0,1.0,1.0,0.0,2.0,16.0,0.0,5.0
Kawhi Leonard,2022-23,Regular,Tue 2/14,vsGS,W134-124,34.0,12-17,70.6,7-9,77.8,2-2,100.0,7.0,4.0,1.0,1.0,1.0,1.0,33.0,7.0,9.0
Kawhi Leonard,2022-23,Regular,Wed 2/8,vsDAL,L110-104,32.0,7-12,58.3,1-1,100.0,3-4,75.0,4.0,4.0,1.0,2.0,1.0,0.0,18.0,1.0,1.0
Kawhi Leonard,2022-23,Regular,Mon 2/6,@BKN,W124-116,34.0,8-17,47.1,3-4,75.0,5-6,83.3,4.0,6.0,0.0,1.0,2.0,1.0,24.0,3.0,4.0
Kawhi Leonard,2022-23,Regular,Sat 2/4,@NY,W134-128 OT,41.0,11-23,47.8,1-3,33.3,12-12,100.0,5.0,3.0,0.0,4.0,3.0,2.0,35.0,1.0,3.0
Kawhi Leonard,2022-23,Regular,Thu 2/2,@MIL,L106-105,40.0,7-26,26.9,1-6,16.7,2-2,100.0,11.0,5.0,2.0,1.0,3.0,1.0,17.0,1.0,6.0
Kawhi Leonard,2022-23,Regular,Tue 1/31,@CHI,W108-103,40.0,11-24,45.8,3-6,50.0,8-9,88.9,4.0,5.0,2.0,5.0,0.0,1.0,33.0,3.0,6.0
Kawhi Leonard,2022-23,Regular,Sat 1/28,@ATL,W120-113,39.0,12-20,60.0,5-10,50.0,3-3,100.0,8.0,4.0,1.0,1.0,1.0,2.0,32.0,5.0,10.0
Kawhi Leonard,2022-23,Regular,Thu 1/26,vsSA,W138-100,31.0,10-16,62.5,2-6,33.3,5-6,83.3,3.0,7.0,0.0,1.0,2.0,0.0,27.0,2.0,6.0
Kawhi Leonard,2022-23,Regular,Tue 1/24,@LAL,W133-115,35.0,11-16,68.8,0-4,0.0,3-4,75.0,9.0,3.0,2.0,2.0,3.0,1.0,25.0,0.0,4.0
Kawhi Leonard,2022-23,Regular,Sun 1/22,@DAL,W112-98,39.0,10-18,55.6,3-4,75.0,7-7,100.0,9.0,3.0,0.0,1.0,1.0,0.0,30.0,3.0,4.0
Kawhi Leonard,2022-23,Regular,Fri 1/20,@SA,W131-126,38.0,13-18,72.2,4-5,80.0,6-6,100.0,4.0,7.0,0.0,2.0,0.0,2.0,36.0,4.0,5.0
Kawhi Leonard,2022-23,Regular,Tue 1/17,vsPHI,L120-110,36.0,10-20,50.0,2-6,33.3,5-7,71.4,4.0,1.0,1.0,1.0,2.0,3.0,27.0,2.0,6.0
Kawhi Leonard,2022-23,Regular,Sun 1/15,vsHOU,W121-100,32.0,12-24,50.0,3-5,60.0,3-3,100.0,6.0,4.0,1.0,2.0,2.0,4.0,30.0,3.0,5.0
Kawhi Leonard,2022-23,Regular,Fri 1/13,vsDEN,L115-103,38.0,10-20,50.0,0-3,0.0,4-4,100.0,8.0,4.0,0.0,1.0,1.0,3.0,24.0,0.0,3.0
Kawhi Leonard,2022-23,Regular,Tue 1/10,vsDAL,W113-101,36.0,9-12,75.0,3-5,60.0,12-12,100.0,9.0,4.0,1.0,4.0,0.0,2.0,33.0,3.0,5.0
Kawhi Leonard,2022-23,Regular,Sun 1/8,vsATL,L112-108,38.0,9-23,39.1,2-4,50.0,9-10,90.0,7.0,4.0,0.0,2.0,2.0,0.0,29.0,2.0,4.0
Kawhi Leonard,2022-23,Regular,Thu 1/5,@DEN,L122-91,18.0,2-7,28.6,0-2,0.0,2-2,100.0,3.0,2.0,0.0,1.0,0.0,1.0,6.0,0.0,2.0
Kawhi Leonard,2022-23,Regular,Sat 12/31,@IND,L131-130,35.0,8-17,47.1,1-5,20.0,7-7,100.0,5.0,7.0,0.0,2.0,0.0,2.0,24.0,1.0,5.0
Kawhi Leonard,2022-23,Regular,Thu 12/29,@BOS,L116-110,37.0,11-16,68.8,3-6,50.0,1-1,100.0,8.0,3.0,1.0,0.0,4.0,3.0,26.0,3.0,6.0
Kawhi Leonard,2022-23,Regular,Tue 12/27,@TOR,W124-113,35.0,5-12,41.7,1-2,50.0,4-5,80.0,7.0,8.0,1.0,1.0,3.0,1.0,15.0,1.0,2.0
Kawhi Leonard,2022-23,Regular,Fri 12/23,@PHI,L119-114,34.0,12-19,63.2,1-2,50.0,3-4,75.0,3.0,5.0,0.0,0.0,0.0,2.0,28.0,1.0,2.0
Kawhi Leonard,2022-23,Regular,Wed 12/21,vsCHA,W126-105,31.0,5-12,41.7,1-4,25.0,5-6,83.3,7.0,4.0,0.0,1.0,0.0,1.0,16.0,1.0,4.0
Kawhi Leonard,2022-23,Regular,Sat 12/17,vsWSH,W102-93,32.0,12-26,46.2,2-5,40.0,5-8,62.5,9.0,1.0,1.0,3.0,1.0,3.0,31.0,2.0,5.0
Kawhi Leonard,2022-23,Regular,Wed 12/14,vsMIN,W99-88,31.0,7-18,38.9,1-6,16.7,4-6,66.7,8.0,1.0,1.0,2.0,3.0,1.0,19.0,1.0,6.0
Kawhi Leonard,2022-23,Regular,Mon 12/12,vsBOS,W113-93,29.0,10-12,83.3,2-3,66.7,3-6,50.0,9.0,6.0,0.0,1.0,2.0,2.0,25.0,2.0,3.0
Kawhi Leonard,2022-23,Regular,Sat 12/10,@WSH,W114-107,30.0,5-13,38.5,1-5,20.0,2-2,100.0,8.0,6.0,0.0,1.0,0.0,0.0,13.0,1.0,5.0
Kawhi Leonard,2022-23,Regular,Wed 12/7,@ORL,L116-111 OT,30.0,4-15,26.7,2-6,33.3,4-4,100.0,7.0,3.0,0.0,0.0,1.0,4.0,14.0,2.0,6.0
Kawhi Leonard,2022-23,Regular,Mon 12/5,@CHA,W119-117,28.0,7-15,46.7,0-3,0.0,2-2,100.0,6.0,2.0,0.0,0.0,3.0,1.0,16.0,0.0,3.0
Kawhi Leonard,2022-23,Regular,Mon 11/21,vsUTAH,W121-114,23.0,4-11,36.4,0-3,0.0,0-0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,8.0,0.0,3.0
Kawhi Leonard,2022-23,Regular,Sat 11/19,vsSA,W119-97,22.0,5-8,62.5,1-3,33.3,0-0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,11.0,1.0,3.0
Kawhi Leonard,2022-23,Regular,Thu 11/17,vsDET,W96-91,25.0,2-8,25.0,0-3,0.0,2-4,50.0,5.0,4.0,0.0,0.0,2.0,0.0,6.0,0.0,3.0
Kawhi Leonard,2022-23,Regular,Sun 10/23,vsPHX,L112-95,21.0,2-6,33.3,0-2,0.0,7-7,100.0,6.0,2.0,0.0,2.0,2.0,2.0,11.0,0.0,2.0
Kawhi Leonard,2022-23,Regular,Thu 10/20,@LAL,W103-97,21.0,6-12,50.0,1-4,25.0,1-2,50.0,7.0,2.0,0.0,1.0,3.0,2.0,14.0,1.0,4.0
Kawhi Leonard,2022-23,Preseason,Sun 10/9,vsMIN,L119-117,17.0,4-8,50.0,0-3,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0
Kawhi Leonard,2022-23,Preseason,Mon 10/3,vsPOR,W102-97,16.0,3-8,37.5,1-1,100.0,4-4,100.0,4.0,2.0,0.0,2.0,2.0,0.0,11.0,1.0,1.0
