Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Keldon Johnson,2022-23,Regular,Thu 4/6,vsPOR,W129-127,32.0,10-24,41.7,1-8,12.5,3-3,100.0,5.0,4.0,0.0,1.0,2.0,2.0,24.0,1.0,8.0
Keldon Johnson,2022-23,Regular,Fri 3/31,@GS,L130-115,32.0,7-17,41.2,3-7,42.9,5-7,71.4,1.0,4.0,0.0,1.0,2.0,1.0,22.0,3.0,7.0
Keldon Johnson,2022-23,Regular,Fri 3/24,@WSH,L136-124,31.0,11-17,64.7,3-5,60.0,5-9,55.6,10.0,4.0,0.0,0.0,0.0,1.0,30.0,3.0,5.0
Keldon Johnson,2022-23,Regular,Sun 3/19,vsATL,W126-118,33.0,13-21,61.9,2-3,66.7,1-5,20.0,12.0,5.0,0.0,1.0,1.0,3.0,29.0,2.0,3.0
Keldon Johnson,2022-23,Regular,Fri 3/17,vsMEM,L126-120 OT,38.0,8-21,38.1,4-11,36.4,1-1,100.0,5.0,0.0,0.0,3.0,4.0,1.0,21.0,4.0,11.0
Keldon Johnson,2022-23,Regular,Wed 3/15,vsDAL,L137-128 OT,36.0,11-25,44.0,3-8,37.5,2-6,33.3,8.0,2.0,0.0,0.0,6.0,2.0,27.0,3.0,8.0
Keldon Johnson,2022-23,Regular,Fri 3/10,vsDEN,W128-120,36.0,8-17,47.1,3-5,60.0,4-4,100.0,8.0,6.0,0.0,2.0,1.0,3.0,23.0,3.0,5.0
Keldon Johnson,2022-23,Regular,Sun 3/5,@HOU,L142-110,27.0,3-10,30.0,1-4,25.0,1-2,50.0,4.0,5.0,1.0,0.0,2.0,5.0,8.0,1.0,4.0
Keldon Johnson,2022-23,Regular,Tue 2/28,@UTAH,W102-94,35.0,12-19,63.2,0-4,0.0,1-3,33.3,4.0,3.0,0.0,0.0,4.0,1.0,25.0,0.0,4.0
Keldon Johnson,2022-23,Regular,Sat 2/25,@UTAH,L118-102,37.0,9-22,40.9,0-5,0.0,0-0,0.0,7.0,3.0,1.0,0.0,2.0,1.0,18.0,0.0,5.0
Keldon Johnson,2022-23,Regular,Thu 2/23,@DAL,L142-116,31.0,8-13,61.5,1-3,33.3,5-8,62.5,8.0,7.0,0.0,1.0,2.0,6.0,22.0,1.0,3.0
Keldon Johnson,2022-23,Regular,Wed 2/15,@CHA,L120-110,35.0,6-20,30.0,1-6,16.7,8-9,88.9,8.0,4.0,0.0,0.0,2.0,1.0,21.0,1.0,6.0
Keldon Johnson,2022-23,Regular,Mon 2/13,@CLE,L117-109,35.0,8-13,61.5,2-3,66.7,7-11,63.6,2.0,4.0,0.0,1.0,1.0,4.0,25.0,2.0,3.0
Keldon Johnson,2022-23,Regular,Sat 2/11,@ATL,L125-106,29.0,9-14,64.3,0-2,0.0,7-9,77.8,2.0,2.0,0.0,1.0,3.0,2.0,25.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Wed 2/8,@TOR,L112-98,36.0,8-17,47.1,1-6,16.7,5-7,71.4,7.0,3.0,0.0,1.0,2.0,2.0,22.0,1.0,6.0
Keldon Johnson,2022-23,Regular,Mon 2/6,@CHI,L128-104,29.0,8-12,66.7,0-2,0.0,5-5,100.0,2.0,2.0,0.0,1.0,2.0,3.0,21.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Fri 2/3,vsPHI,L137-125,31.0,5-11,45.5,0-2,0.0,8-8,100.0,3.0,3.0,0.0,1.0,1.0,4.0,18.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Wed 2/1,vsSAC,L119-109,37.0,8-18,44.4,1-5,20.0,1-2,50.0,8.0,5.0,0.0,0.0,1.0,2.0,18.0,1.0,5.0
Keldon Johnson,2022-23,Regular,Mon 1/30,vsWSH,L127-106,34.0,12-21,57.1,2-7,28.6,0-2,0.0,4.0,4.0,0.0,2.0,1.0,1.0,26.0,2.0,7.0
Keldon Johnson,2022-23,Regular,Sat 1/28,vsPHX,L128-118 OT,41.0,15-26,57.7,3-9,33.3,1-2,50.0,3.0,5.0,0.0,0.0,1.0,0.0,34.0,3.0,9.0
Keldon Johnson,2022-23,Regular,Thu 1/26,@LAC,L138-100,31.0,7-13,53.8,0-2,0.0,5-6,83.3,3.0,3.0,0.0,0.0,1.0,0.0,19.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Wed 1/25,@LAL,L113-104,33.0,9-20,45.0,3-6,50.0,4-4,100.0,5.0,0.0,0.0,0.0,3.0,1.0,25.0,3.0,6.0
Keldon Johnson,2022-23,Regular,Mon 1/23,@POR,L147-127,30.0,8-15,53.3,3-7,42.9,1-2,50.0,4.0,1.0,1.0,1.0,1.0,2.0,20.0,3.0,7.0
Keldon Johnson,2022-23,Regular,Fri 1/20,vsLAC,L131-126,35.0,9-16,56.3,3-7,42.9,2-3,66.7,3.0,2.0,0.0,0.0,4.0,1.0,23.0,3.0,7.0
Keldon Johnson,2022-23,Regular,Tue 1/17,vsBKN,W106-98,38.0,11-26,42.3,3-11,27.3,11-12,91.7,11.0,1.0,0.0,4.0,2.0,1.0,36.0,3.0,11.0
Keldon Johnson,2022-23,Regular,Sun 1/15,vsSAC,L132-119,35.0,8-25,32.0,2-10,20.0,2-3,66.7,7.0,3.0,0.0,0.0,2.0,3.0,20.0,2.0,10.0
Keldon Johnson,2022-23,Regular,Fri 1/13,vsGS,L144-113,31.0,5-11,45.5,1-2,50.0,6-6,100.0,2.0,1.0,1.0,1.0,1.0,2.0,17.0,1.0,2.0
Keldon Johnson,2022-23,Regular,Wed 1/11,@MEM,L135-129,35.0,6-17,35.3,1-7,14.3,11-12,91.7,4.0,3.0,1.0,0.0,2.0,2.0,24.0,1.0,7.0
Keldon Johnson,2022-23,Regular,Fri 1/6,vsDET,W121-109,13.0,3-6,50.0,0-3,0.0,2-2,100.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,0.0,3.0
Keldon Johnson,2022-23,Regular,Wed 1/4,@NY,L117-114,35.0,7-16,43.8,2-6,33.3,10-12,83.3,7.0,2.0,0.0,0.0,3.0,3.0,26.0,2.0,6.0
Keldon Johnson,2022-23,Regular,Mon 1/2,@BKN,L139-103,25.0,7-13,53.8,2-6,33.3,6-7,85.7,4.0,1.0,1.0,0.0,2.0,3.0,22.0,2.0,6.0
Keldon Johnson,2022-23,Regular,Sat 12/31,vsDAL,L126-125,36.0,10-19,52.6,4-5,80.0,6-7,85.7,4.0,0.0,0.0,0.0,4.0,0.0,30.0,4.0,5.0
Keldon Johnson,2022-23,Regular,Thu 12/29,vsNY,W122-115,32.0,11-21,52.4,3-8,37.5,5-5,100.0,3.0,1.0,2.0,0.0,3.0,2.0,30.0,3.0,8.0
Keldon Johnson,2022-23,Regular,Tue 12/27,@OKC,L130-114,31.0,7-18,38.9,2-6,33.3,3-4,75.0,3.0,2.0,0.0,0.0,1.0,2.0,19.0,2.0,6.0
Keldon Johnson,2022-23,Regular,Mon 12/26,vsUTAH,W126-122,36.0,9-14,64.3,0-2,0.0,3-4,75.0,3.0,5.0,0.0,2.0,3.0,2.0,21.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Fri 12/23,@ORL,L133-113,31.0,5-14,35.7,2-7,28.6,5-9,55.6,4.0,4.0,0.0,1.0,2.0,2.0,17.0,2.0,7.0
Keldon Johnson,2022-23,Regular,Sat 12/17,vsMIA,L111-101,33.0,6-14,42.9,3-5,60.0,7-7,100.0,2.0,3.0,0.0,1.0,3.0,2.0,22.0,3.0,5.0
Keldon Johnson,2022-23,Regular,Wed 12/14,vsPOR,L128-112,33.0,10-16,62.5,1-3,33.3,4-8,50.0,7.0,2.0,0.0,0.0,1.0,1.0,25.0,1.0,3.0
Keldon Johnson,2022-23,Regular,Mon 12/12,vsCLE,W112-111,34.0,8-25,32.0,1-6,16.7,4-5,80.0,6.0,2.0,1.0,0.0,1.0,2.0,21.0,1.0,6.0
Keldon Johnson,2022-23,Regular,Sat 12/10,@MIA,W115-111,36.0,7-15,46.7,0-2,0.0,7-7,100.0,6.0,2.0,0.0,0.0,1.0,5.0,21.0,0.0,2.0
Keldon Johnson,2022-23,Regular,Thu 12/8,vsHOU,W118-109,35.0,14-21,66.7,3-6,50.0,1-3,33.3,7.0,1.0,0.0,0.0,1.0,3.0,32.0,3.0,6.0
Keldon Johnson,2022-23,Regular,Sun 12/4,vsPHX,L133-95,33.0,11-23,47.8,1-5,20.0,4-6,66.7,5.0,2.0,0.0,1.0,5.0,1.0,27.0,1.0,5.0
Keldon Johnson,2022-23,Regular,Fri 12/2,vsNO,L117-99,36.0,7-23,30.4,1-8,12.5,0-1,0.0,6.0,3.0,0.0,0.0,3.0,2.0,15.0,1.0,8.0
Keldon Johnson,2022-23,Regular,Wed 11/30,@OKC,L119-111,36.0,5-22,22.7,4-13,30.8,5-8,62.5,7.0,6.0,0.0,0.0,2.0,1.0,19.0,4.0,13.0
Keldon Johnson,2022-23,Regular,Sat 11/26,vsLAL,L143-138,37.0,10-28,35.7,3-9,33.3,3-5,60.0,10.0,3.0,1.0,2.0,6.0,0.0,26.0,3.0,9.0
Keldon Johnson,2022-23,Regular,Fri 11/25,vsLAL,L105-94,35.0,6-23,26.1,1-8,12.5,2-3,66.7,9.0,2.0,0.0,1.0,2.0,2.0,15.0,1.0,8.0
Keldon Johnson,2022-23,Regular,Wed 11/23,vsNO,L129-110,16.0,2-9,22.2,0-4,0.0,1-1,100.0,1.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,4.0
Keldon Johnson,2022-23,Regular,Sun 11/20,@LAL,L123-92,31.0,4-20,20.0,1-10,10.0,3-5,60.0,3.0,1.0,0.0,1.0,2.0,2.0,12.0,1.0,10.0
Keldon Johnson,2022-23,Regular,Sat 11/19,@LAC,L119-97,28.0,5-15,33.3,1-5,20.0,0-0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,11.0,1.0,5.0
Keldon Johnson,2022-23,Regular,Tue 11/15,@POR,L117-110,34.0,6-14,42.9,4-9,44.4,4-5,80.0,5.0,5.0,0.0,2.0,1.0,4.0,20.0,4.0,9.0
Keldon Johnson,2022-23,Regular,Mon 11/14,@GS,L132-95,19.0,5-15,33.3,3-9,33.3,2-2,100.0,1.0,1.0,0.0,0.0,0.0,1.0,15.0,3.0,9.0
Keldon Johnson,2022-23,Regular,Fri 11/11,vsMIL,W111-93,32.0,9-17,52.9,5-8,62.5,6-6,100.0,2.0,2.0,0.0,1.0,2.0,4.0,29.0,5.0,8.0
Keldon Johnson,2022-23,Regular,Wed 11/9,vsMEM,L124-122 OT,40.0,4-15,26.7,2-8,25.0,6-10,60.0,8.0,4.0,0.0,0.0,1.0,3.0,16.0,2.0,8.0
Keldon Johnson,2022-23,Regular,Mon 11/7,vsDEN,L115-109,36.0,12-20,60.0,5-11,45.5,1-2,50.0,5.0,2.0,0.0,2.0,2.0,6.0,30.0,5.0,11.0
Keldon Johnson,2022-23,Regular,Sat 11/5,@DEN,L126-101,31.0,8-14,57.1,4-7,57.1,5-6,83.3,3.0,4.0,0.0,0.0,0.0,3.0,25.0,4.0,7.0
Keldon Johnson,2022-23,Regular,Fri 11/4,vsLAC,L113-106,34.0,7-19,36.8,2-9,22.2,0-1,0.0,7.0,3.0,0.0,0.0,3.0,0.0,16.0,2.0,9.0
