Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kelly Olynyk,2022-23,Regular,Sun 4/9,@LAL,L128-117,29.0,9-13,69.2,3-4,75.0,2-2,100.0,5.0,4.0,2.0,0.0,1.0,4.0,23.0,3.0,4.0
Kelly Olynyk,2022-23,Regular,Thu 4/6,vsOKC,L114-98,32.0,6-10,60.0,0-2,0.0,4-6,66.7,14.0,8.0,0.0,1.0,2.0,7.0,16.0,0.0,2.0
Kelly Olynyk,2022-23,Regular,Tue 4/4,vsLAL,L135-133 OT,35.0,7-10,70.0,4-4,100.0,5-6,83.3,7.0,7.0,0.0,0.0,5.0,3.0,23.0,4.0,4.0
Kelly Olynyk,2022-23,Regular,Sun 4/2,@BKN,L111-110,33.0,2-7,28.6,0-2,0.0,3-4,75.0,15.0,5.0,0.0,1.0,5.0,3.0,7.0,0.0,2.0
Kelly Olynyk,2022-23,Regular,Fri 3/31,@BOS,L122-114,31.0,3-9,33.3,1-3,33.3,1-1,100.0,8.0,3.0,1.0,0.0,3.0,3.0,8.0,1.0,3.0
Kelly Olynyk,2022-23,Regular,Mon 3/27,vsPHX,L117-103,29.0,3-6,50.0,0-3,0.0,4-4,100.0,7.0,7.0,0.0,0.0,2.0,3.0,10.0,0.0,3.0
Kelly Olynyk,2022-23,Regular,Sat 3/25,@SAC,L121-113,32.0,7-12,58.3,0-2,0.0,3-3,100.0,8.0,10.0,0.0,1.0,3.0,4.0,17.0,0.0,2.0
Kelly Olynyk,2022-23,Regular,Fri 3/24,vsMIL,L144-116,22.0,5-10,50.0,2-4,50.0,4-4,100.0,7.0,3.0,0.0,2.0,1.0,2.0,16.0,2.0,4.0
Kelly Olynyk,2022-23,Regular,Wed 3/22,vsPOR,L127-115,31.0,2-8,25.0,0-4,0.0,8-8,100.0,10.0,2.0,0.0,2.0,3.0,5.0,12.0,0.0,4.0
Kelly Olynyk,2022-23,Regular,Mon 3/20,vsSAC,W128-120,31.0,6-12,50.0,4-7,57.1,3-3,100.0,10.0,8.0,0.0,1.0,3.0,3.0,19.0,4.0,7.0
Kelly Olynyk,2022-23,Regular,Sat 3/18,vsBOS,W118-117,29.0,4-10,40.0,0-3,0.0,5-5,100.0,13.0,6.0,0.0,0.0,2.0,2.0,13.0,0.0,3.0
Kelly Olynyk,2022-23,Regular,Mon 3/13,@MIA,L119-115,24.0,1-3,33.3,1-3,33.3,0-0,0.0,5.0,7.0,1.0,0.0,4.0,2.0,3.0,1.0,3.0
Kelly Olynyk,2022-23,Regular,Sat 3/11,@CHA,W119-111,30.0,7-9,77.8,2-3,66.7,1-1,100.0,6.0,0.0,0.0,1.0,2.0,2.0,17.0,2.0,3.0
Kelly Olynyk,2022-23,Regular,Thu 3/9,@ORL,W131-124,29.0,4-7,57.1,1-3,33.3,1-1,100.0,5.0,7.0,1.0,0.0,2.0,2.0,10.0,1.0,3.0
Kelly Olynyk,2022-23,Regular,Tue 3/7,@DAL,L120-116,28.0,3-8,37.5,0-3,0.0,6-7,85.7,7.0,3.0,0.0,2.0,2.0,3.0,12.0,0.0,3.0
Kelly Olynyk,2022-23,Regular,Sun 3/5,@OKC,L129-119,31.0,4-8,50.0,1-3,33.3,6-7,85.7,10.0,5.0,0.0,0.0,2.0,2.0,15.0,1.0,3.0
Kelly Olynyk,2022-23,Regular,Fri 3/3,@OKC,L130-103,27.0,4-5,80.0,1-1,100.0,6-6,100.0,3.0,3.0,3.0,0.0,1.0,4.0,15.0,1.0,1.0
Kelly Olynyk,2022-23,Regular,Tue 2/28,vsSA,L102-94,30.0,0-4,0.0,0-4,0.0,8-12,66.7,10.0,1.0,0.0,1.0,1.0,4.0,8.0,0.0,4.0
Kelly Olynyk,2022-23,Regular,Sat 2/25,vsSA,W118-102,23.0,3-6,50.0,1-2,50.0,2-5,40.0,8.0,2.0,1.0,0.0,2.0,1.0,9.0,1.0,2.0
Kelly Olynyk,2022-23,Regular,Thu 2/23,vsOKC,W120-119 OT,32.0,3-7,42.9,2-3,66.7,4-4,100.0,7.0,3.0,1.0,2.0,2.0,4.0,12.0,2.0,3.0
