Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kendall Brown,2022-23,Regular,Wed 12/7,@MIN,L121-115,5.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
Kendall Brown,2022-23,Regular,Mon 12/5,@GS,W112-104,18.0,1-3,33.3,0-1,0.0,1-2,50.0,5.0,2.0,0.0,0.0,3.0,1.0,3.0,0.0,1.0
Kendall Brown,2022-23,Regular,Sun 12/4,@POR,L116-100,2.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendall Brown,2022-23,Regular,Fri 12/2,@UTAH,L139-119,7.0,2-2,100.0,0-0,0.0,0-0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0
Kendall Brown,2022-23,Regular,Sun 11/27,@LAC,L114-100,6.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Kendall Brown,2022-23,Regular,Wed 11/23,vsMIN,L115-101,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0
Kendall Brown,2022-23,Preseason,Fri 10/14,vsHOU,L122-114,18.0,3-4,75.0,0-1,0.0,2-2,100.0,0.0,2.0,2.0,1.0,1.0,0.0,8.0,0.0,1.0
Kendall Brown,2022-23,Preseason,Wed 10/12,vsNY,W109-100,13.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kendall Brown,2022-23,Preseason,Fri 10/7,@NY,L131-114,10.0,2-4,50.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0
Kendall Brown,2022-23,Preseason,Wed 10/5,@CHA,W122-97,14.0,1-2,50.0,0-1,0.0,0-0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
