Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kenrich Williams,2022-23,Regular,Tue 2/28,vsSAC,L123-117,29.0,5-9,55.6,0-2,0.0,1-2,50.0,4.0,0.0,0.0,5.0,5.0,3.0,11.0,0.0,2.0
Kenrich Williams,2022-23,Regular,Sun 2/26,vsSAC,L124-115,20.0,3-8,37.5,0-3,0.0,1-3,33.3,5.0,2.0,0.0,2.0,4.0,2.0,7.0,0.0,3.0
Kenrich Williams,2022-23,Regular,Fri 2/24,@PHX,L124-115,28.0,3-9,33.3,1-2,50.0,1-2,50.0,5.0,3.0,0.0,1.0,5.0,0.0,8.0,1.0,2.0
Kenrich Williams,2022-23,Regular,Thu 2/23,@UTAH,L120-119 OT,28.0,7-10,70.0,2-4,50.0,0-0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,16.0,2.0,4.0
Kenrich Williams,2022-23,Regular,Wed 2/15,vsHOU,W133-96,18.0,3-7,42.9,0-2,0.0,0-0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,6.0,0.0,2.0
Kenrich Williams,2022-23,Regular,Mon 2/13,vsNO,L103-100,31.0,4-7,57.1,1-1,100.0,0-0,0.0,8.0,3.0,1.0,1.0,2.0,2.0,9.0,1.0,1.0
Kenrich Williams,2022-23,Regular,Fri 2/10,@POR,W138-129,27.0,4-9,44.4,0-3,0.0,0-0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,8.0,0.0,3.0
Kenrich Williams,2022-23,Regular,Tue 2/7,@LAL,W133-130,30.0,3-6,50.0,1-4,25.0,1-2,50.0,4.0,5.0,0.0,1.0,2.0,1.0,8.0,1.0,4.0
Kenrich Williams,2022-23,Regular,Mon 2/6,@GS,L141-114,19.0,4-8,50.0,1-5,20.0,0-0,0.0,4.0,2.0,0.0,0.0,0.0,2.0,9.0,1.0,5.0
Kenrich Williams,2022-23,Regular,Sat 2/4,vsHOU,W153-121,11.0,4-5,80.0,2-2,100.0,0-0,0.0,3.0,4.0,0.0,1.0,2.0,0.0,10.0,2.0,2.0
Kenrich Williams,2022-23,Regular,Wed 2/1,@HOU,L112-106,30.0,6-12,50.0,1-5,20.0,0-0,0.0,6.0,2.0,0.0,3.0,3.0,1.0,13.0,1.0,5.0
Kenrich Williams,2022-23,Regular,Mon 1/30,vsGS,L128-120,33.0,3-9,33.3,0-2,0.0,1-2,50.0,8.0,2.0,0.0,3.0,1.0,2.0,7.0,0.0,2.0
Kenrich Williams,2022-23,Regular,Fri 1/27,vsCLE,W112-100,20.0,3-5,60.0,1-2,50.0,0-0,0.0,7.0,1.0,1.0,0.0,1.0,0.0,7.0,1.0,2.0
Kenrich Williams,2022-23,Regular,Wed 1/25,vsATL,L137-132,30.0,4-10,40.0,1-6,16.7,0-0,0.0,7.0,7.0,0.0,0.0,3.0,1.0,9.0,1.0,6.0
Kenrich Williams,2022-23,Regular,Sun 1/22,@DEN,W101-99,25.0,4-7,57.1,3-5,60.0,0-0,0.0,6.0,4.0,0.0,1.0,4.0,0.0,11.0,3.0,5.0
Kenrich Williams,2022-23,Regular,Fri 1/20,@SAC,L118-113,26.0,1-8,12.5,1-6,16.7,0-2,0.0,6.0,3.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0
Kenrich Williams,2022-23,Regular,Wed 1/18,vsIND,W126-106,22.0,5-8,62.5,2-4,50.0,0-0,0.0,5.0,10.0,2.0,1.0,2.0,1.0,12.0,2.0,4.0
Kenrich Williams,2022-23,Regular,Sun 1/15,@BKN,W112-102,23.0,1-3,33.3,0-1,0.0,0-0,0.0,4.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0
