Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Keon Johnson,2022-23,Regular,Mon 3/27,vsNO,L124-90,31.0,7-15,46.7,3-7,42.9,3-4,75.0,3.0,6.0,0.0,0.0,1.0,4.0,20.0,3.0,7.0
Keon Johnson,2022-23,Regular,Sun 3/26,vsOKC,L118-112,21.0,4-9,44.4,2-4,50.0,4-6,66.7,1.0,5.0,0.0,0.0,1.0,3.0,14.0,2.0,4.0
Keon Johnson,2022-23,Regular,Fri 3/24,vsCHI,L124-96,26.0,4-9,44.4,1-4,25.0,3-3,100.0,2.0,6.0,0.0,4.0,4.0,2.0,12.0,1.0,4.0
Keon Johnson,2022-23,Regular,Fri 3/17,vsBOS,L126-112,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Tue 3/14,vsNY,L123-107,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Keon Johnson,2022-23,Regular,Sun 3/12,@NO,L127-110,12.0,0-6,0.0,0-4,0.0,1-2,50.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,4.0
Keon Johnson,2022-23,Regular,Wed 3/8,@BOS,L115-93,6.0,0-2,0.0,0-1,0.0,4-4,100.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0
Keon Johnson,2022-23,Regular,Fri 3/3,@ATL,L129-111,2.0,1-1,100.0,0-0,0.0,0-1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Keon Johnson,2022-23,Regular,Wed 3/1,vsNO,L121-110,1.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Tue 2/28,@GS,L123-105,13.0,2-4,50.0,0-1,0.0,0-0,0.0,0.0,3.0,0.0,0.0,4.0,3.0,4.0,0.0,1.0
Keon Johnson,2022-23,Regular,Sun 2/26,vsHOU,W131-114,9.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Keon Johnson,2022-23,Regular,Thu 2/23,@SAC,L133-116,19.0,5-10,50.0,3-3,100.0,3-4,75.0,1.0,3.0,0.0,2.0,1.0,1.0,16.0,3.0,3.0
Keon Johnson,2022-23,Regular,Tue 2/14,vsWSH,L126-101,3.0,0-2,0.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Keon Johnson,2022-23,Regular,Mon 2/13,vsLAL,W127-115,7.0,1-4,25.0,0-1,0.0,0-0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0
Keon Johnson,2022-23,Regular,Fri 2/10,vsOKC,L138-129,2.0,1-1,100.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
Keon Johnson,2022-23,Regular,Sat 1/28,vsTOR,L123-105,2.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Keon Johnson,2022-23,Regular,Mon 1/23,vsSA,W147-127,5.0,1-2,50.0,1-1,100.0,0-0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0
Keon Johnson,2022-23,Regular,Tue 1/17,@DEN,L122-113,2.0,0-1,0.0,0-1,0.0,4-4,100.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0
Keon Johnson,2022-23,Regular,Sun 1/15,vsDAL,W140-123,4.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Sat 1/14,vsDAL,W136-119,6.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Tue 1/10,vsORL,L109-106,0.0,0-0,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Sun 1/8,@TOR,L117-105,4.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Keon Johnson,2022-23,Regular,Fri 1/6,@IND,L108-99,8.0,0-1,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Keon Johnson,2022-23,Regular,Wed 1/4,@MIN,L113-106,15.0,1-6,16.7,1-2,50.0,0-0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,2.0
Keon Johnson,2022-23,Regular,Mon 1/2,vsDET,W135-106,9.0,2-4,50.0,0-0,0.0,0-2,0.0,2.0,1.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0
Keon Johnson,2022-23,Regular,Mon 12/26,vsCHA,W124-113,18.0,4-10,40.0,0-4,0.0,0-0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,8.0,0.0,4.0
Keon Johnson,2022-23,Regular,Fri 12/23,@DEN,L120-107,16.0,2-4,50.0,0-2,0.0,2-3,66.7,1.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,2.0
Keon Johnson,2022-23,Regular,Wed 12/21,@OKC,L101-98,8.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0
Keon Johnson,2022-23,Regular,Mon 12/19,@OKC,L123-121,14.0,3-11,27.3,3-5,60.0,0-0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,5.0
Keon Johnson,2022-23,Regular,Sat 12/17,@HOU,W107-95,17.0,3-6,50.0,0-2,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,6.0,0.0,2.0
Keon Johnson,2022-23,Regular,Fri 12/16,@DAL,L130-110,19.0,5-11,45.5,2-7,28.6,1-2,50.0,3.0,3.0,0.0,0.0,2.0,1.0,13.0,2.0,7.0
Keon Johnson,2022-23,Regular,Wed 12/14,@SA,W128-112,3.0,1-2,50.0,1-2,50.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0
Keon Johnson,2022-23,Regular,Mon 12/12,vsMIN,W133-112,6.0,0-2,0.0,0-1,0.0,0-0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0
Keon Johnson,2022-23,Regular,Thu 12/8,vsDEN,L121-120,0.0,1-1,100.0,1-1,100.0,0-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0
Keon Johnson,2022-23,Regular,Sat 11/5,@PHX,L102-82,31.0,3-12,25.0,2-3,66.7,0-2,0.0,2.0,3.0,0.0,1.0,2.0,4.0,8.0,2.0,3.0
Keon Johnson,2022-23,Regular,Fri 11/4,@PHX,W108-106,23.0,4-13,30.8,2-8,25.0,1-2,50.0,2.0,1.0,0.0,2.0,4.0,3.0,11.0,2.0,8.0
Keon Johnson,2022-23,Regular,Wed 11/2,vsMEM,L111-106,18.0,4-9,44.4,2-5,40.0,0-0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,10.0,2.0,5.0
Keon Johnson,2022-23,Regular,Fri 10/28,vsHOU,W125-111,17.0,3-7,42.9,1-4,25.0,1-2,50.0,1.0,1.0,0.0,2.0,1.0,0.0,8.0,1.0,4.0
Keon Johnson,2022-23,Regular,Wed 10/26,vsMIA,L119-98,8.0,1-2,50.0,0-1,0.0,0-0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0
Keon Johnson,2022-23,Regular,Mon 10/24,vsDEN,W135-110,10.0,1-2,50.0,1-2,50.0,0-0,0.0,2.0,1.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0
Keon Johnson,2022-23,Preseason,Tue 10/11,@GS,L131-98,23.0,1-8,12.5,0-4,0.0,2-4,50.0,3.0,5.0,0.0,1.0,1.0,3.0,4.0,0.0,4.0
Keon Johnson,2022-23,Preseason,Sun 10/9,@SAC,L126-94,22.0,2-6,33.3,1-4,25.0,0-2,0.0,1.0,2.0,0.0,1.0,0.0,3.0,5.0,1.0,4.0
Keon Johnson,2022-23,Preseason,Thu 10/6,vsMRC,W138-85,31.0,7-13,53.8,4-5,80.0,0-0,0.0,5.0,11.0,0.0,3.0,1.0,4.0,18.0,4.0,5.0
Keon Johnson,2022-23,Preseason,Tue 10/4,vsUTAH,L118-101,24.0,3-9,33.3,0-3,0.0,1-4,25.0,4.0,1.0,0.0,2.0,2.0,2.0,7.0,0.0,3.0
Keon Johnson,2022-23,Preseason,Mon 10/3,vsLAC,L102-97,18.0,3-6,50.0,1-1,100.0,1-1,100.0,0.0,3.0,0.0,1.0,2.0,1.0,8.0,1.0,1.0
