Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Kevin Huerter,2022-23,Postseason,Sun 4/30,vsGS,L120-100,28.0,2-9,22.2,1-6,16.7,2-2,100.0,9.0,0.0,2.0,1.0,3.0,0.0,7.0,1.0,6.0
Kevin Huerter,2022-23,Postseason,Fri 4/28,@GS,W118-99,29.0,3-11,27.3,3-8,37.5,3-4,75.0,1.0,0.0,2.0,0.0,5.0,1.0,12.0,3.0,8.0
Kevin Huerter,2022-23,Postseason,Wed 4/26,vsGS,L123-116,16.0,4-10,40.0,1-4,25.0,0-0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,9.0,1.0,4.0
Kevin Huerter,2022-23,Postseason,Sun 4/23,@GS,L126-125,20.0,1-4,25.0,0-1,0.0,0-0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
Kevin Huerter,2022-23,Postseason,Thu 4/20,@GS,L114-97,29.0,6-12,50.0,1-6,16.7,0-0,0.0,4.0,2.0,1.0,1.0,5.0,1.0,13.0,1.0,6.0
Kevin Huerter,2022-23,Postseason,Mon 4/17,vsGS,W114-106,30.0,6-14,42.9,2-9,22.2,1-2,50.0,5.0,0.0,2.0,1.0,5.0,2.0,15.0,2.0,9.0
Kevin Huerter,2022-23,Postseason,Sat 4/15,vsGS,W126-123,31.0,3-12,25.0,0-5,0.0,0-0,0.0,5.0,2.0,1.0,0.0,2.0,0.0,6.0,0.0,5.0
Kevin Huerter,2022-23,Regular,Sun 4/9,@DEN,L109-95,21.0,5-9,55.6,2-4,50.0,0-0,0.0,1.0,3.0,1.0,1.0,4.0,2.0,12.0,2.0,4.0
Kevin Huerter,2022-23,Regular,Wed 4/5,@DAL,L123-119,32.0,6-15,40.0,2-7,28.6,0-0,0.0,6.0,3.0,0.0,3.0,2.0,1.0,14.0,2.0,7.0
Kevin Huerter,2022-23,Regular,Tue 4/4,@NO,W121-103,22.0,5-10,50.0,1-5,20.0,0-0,0.0,3.0,4.0,1.0,2.0,3.0,1.0,11.0,1.0,5.0
Kevin Huerter,2022-23,Regular,Sun 4/2,vsSA,L142-134 OT,36.0,5-17,29.4,2-12,16.7,1-1,100.0,4.0,3.0,0.0,0.0,1.0,1.0,13.0,2.0,12.0
Kevin Huerter,2022-23,Regular,Fri 3/31,@POR,W138-114,22.0,5-9,55.6,4-8,50.0,0-0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,14.0,4.0,8.0
Kevin Huerter,2022-23,Regular,Wed 3/29,@POR,W120-80,21.0,7-14,50.0,3-7,42.9,0-0,0.0,4.0,4.0,1.0,0.0,1.0,0.0,17.0,3.0,7.0
Kevin Huerter,2022-23,Regular,Mon 3/27,vsMIN,L119-115,27.0,4-7,57.1,3-5,60.0,2-2,100.0,3.0,1.0,0.0,0.0,5.0,1.0,13.0,3.0,5.0
Kevin Huerter,2022-23,Regular,Sat 3/25,vsUTAH,W121-113,38.0,10-21,47.6,2-9,22.2,5-6,83.3,7.0,4.0,0.0,3.0,1.0,1.0,27.0,2.0,9.0
Kevin Huerter,2022-23,Regular,Fri 3/24,vsPHX,W135-127,32.0,10-18,55.6,6-12,50.0,3-4,75.0,9.0,5.0,1.0,1.0,2.0,1.0,29.0,6.0,12.0
