Player,Season,Type,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,3PT_SA,3PT_A
Khris Middleton,2022-23,Postseason,Wed 4/26,vsMIA,L128-126 OT,41.0,10-24,41.7,4-10,40.0,9-9,100.0,6.0,6.0,0.0,0.0,5.0,3.0,33.0,4.0,10.0
Khris Middleton,2022-23,Postseason,Mon 4/24,@MIA,L119-114,37.0,4-12,33.3,2-5,40.0,4-4,100.0,6.0,8.0,0.0,1.0,6.0,3.0,14.0,2.0,5.0
Khris Middleton,2022-23,Postseason,Sat 4/22,@MIA,L121-99,34.0,8-14,57.1,3-5,60.0,4-5,80.0,5.0,6.0,0.0,2.0,3.0,5.0,23.0,3.0,5.0
Khris Middleton,2022-23,Postseason,Wed 4/19,vsMIA,W138-122,28.0,6-16,37.5,2-5,40.0,2-2,100.0,6.0,7.0,0.0,0.0,0.0,1.0,16.0,2.0,5.0
Khris Middleton,2022-23,Postseason,Sun 4/16,vsMIA,L130-117,33.0,12-20,60.0,2-7,28.6,7-10,70.0,9.0,4.0,0.0,0.0,1.0,5.0,33.0,2.0,7.0
Khris Middleton,2022-23,Regular,Wed 4/5,vsCHI,W105-92,8.0,0-3,0.0,0-1,0.0,0-0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Khris Middleton,2022-23,Regular,Sun 4/2,vsPHI,W117-104,32.0,6-14,42.9,3-8,37.5,4-4,100.0,3.0,9.0,0.0,0.0,2.0,1.0,19.0,3.0,8.0
Khris Middleton,2022-23,Regular,Thu 3/30,vsBOS,L140-99,20.0,5-13,38.5,1-4,25.0,2-2,100.0,5.0,4.0,0.0,0.0,2.0,1.0,13.0,1.0,4.0
Khris Middleton,2022-23,Regular,Mon 3/27,@DET,W126-117,33.0,13-23,56.5,1-7,14.3,7-8,87.5,8.0,5.0,0.0,0.0,2.0,2.0,34.0,1.0,7.0
Khris Middleton,2022-23,Regular,Sat 3/25,@DEN,L129-106,29.0,6-14,42.9,1-5,20.0,0-0,0.0,8.0,5.0,0.0,2.0,0.0,2.0,13.0,1.0,5.0
Khris Middleton,2022-23,Regular,Wed 3/22,vsSA,W130-94,29.0,8-15,53.3,1-6,16.7,2-2,100.0,3.0,10.0,0.0,1.0,1.0,6.0,19.0,1.0,6.0
Khris Middleton,2022-23,Regular,Sun 3/19,vsTOR,W118-111,32.0,7-13,53.8,5-8,62.5,1-2,50.0,8.0,5.0,1.0,0.0,3.0,4.0,20.0,5.0,8.0
Khris Middleton,2022-23,Regular,Thu 3/16,vsIND,L139-123,33.0,6-15,40.0,0-5,0.0,4-4,100.0,1.0,7.0,1.0,0.0,2.0,1.0,16.0,0.0,5.0
Khris Middleton,2022-23,Regular,Mon 3/13,@SAC,W133-124,34.0,9-15,60.0,5-8,62.5,8-8,100.0,3.0,9.0,0.0,0.0,2.0,0.0,31.0,5.0,8.0
Khris Middleton,2022-23,Regular,Sat 3/11,@GS,L125-116 OT,34.0,7-14,50.0,3-4,75.0,2-4,50.0,3.0,5.0,0.0,4.0,5.0,4.0,19.0,3.0,4.0
Khris Middleton,2022-23,Regular,Thu 3/9,vsBKN,W118-113,29.0,5-19,26.3,1-4,25.0,0-0,0.0,7.0,7.0,0.0,0.0,2.0,2.0,11.0,1.0,4.0
Khris Middleton,2022-23,Regular,Tue 3/7,@ORL,W134-123,31.0,5-9,55.6,1-3,33.3,13-14,92.9,4.0,11.0,0.0,1.0,0.0,3.0,24.0,1.0,3.0
Khris Middleton,2022-23,Regular,Sat 3/4,vsPHI,L133-130,27.0,2-8,25.0,0-2,0.0,2-2,100.0,3.0,2.0,0.0,1.0,5.0,1.0,6.0,0.0,2.0
Khris Middleton,2022-23,Regular,Tue 2/28,@BKN,W118-104,23.0,7-13,53.8,3-7,42.9,1-2,50.0,4.0,6.0,0.0,2.0,1.0,3.0,18.0,3.0,7.0
Khris Middleton,2022-23,Regular,Sun 2/26,vsPHX,W104-101,25.0,4-13,30.8,0-3,0.0,3-4,75.0,10.0,6.0,0.0,0.0,3.0,4.0,11.0,0.0,3.0
